matrix: instance=c7g.2xlarge arch=aarch64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=3200000
  -> /home/ec2-user/libumem-iso-cmp-f2a8267df758/docs/results/2026-09-23-c7g.2xlarge-aarch64/frag-big/matrix.toml
  libc frag 1024:4096 t=1 rep=1  17:06:57
  umem frag 1024:4096 t=1 rep=1  17:07:15
  umem@null frag 1024:4096 t=1 rep=1  17:07:28
  umem-preload frag 1024:4096 t=1 rep=1  17:07:41
  umem-preload@null frag 1024:4096 t=1 rep=1  17:07:59
  jemalloc frag 1024:4096 t=1 rep=1  17:08:16
  tcmalloc frag 1024:4096 t=1 rep=1  17:08:26
  mimalloc frag 1024:4096 t=1 rep=1  17:08:37
  snmalloc frag 1024:4096 t=1 rep=1  17:08:54
  scudo frag 1024:4096 t=1 rep=1  17:09:04
  rpmalloc frag 1024:4096 t=1 rep=1  17:09:17
  libc frag 1024:4096 t=1 rep=2  17:09:29
  umem frag 1024:4096 t=1 rep=2  17:09:47
  umem@null frag 1024:4096 t=1 rep=2  17:10:00
  umem-preload frag 1024:4096 t=1 rep=2  17:10:13
  umem-preload@null frag 1024:4096 t=1 rep=2  17:10:31
  jemalloc frag 1024:4096 t=1 rep=2  17:10:48
  tcmalloc frag 1024:4096 t=1 rep=2  17:10:58
  mimalloc frag 1024:4096 t=1 rep=2  17:11:09
  snmalloc frag 1024:4096 t=1 rep=2  17:11:26
  scudo frag 1024:4096 t=1 rep=2  17:11:36
  rpmalloc frag 1024:4096 t=1 rep=2  17:11:49
  libc frag 1024:4096 t=2 rep=1  17:12:01
  umem frag 1024:4096 t=2 rep=1  17:12:11
  umem@null frag 1024:4096 t=2 rep=1  17:12:19
  umem-preload frag 1024:4096 t=2 rep=1  17:12:27
  umem-preload@null frag 1024:4096 t=2 rep=1  17:12:41
  jemalloc frag 1024:4096 t=2 rep=1  17:12:54
  tcmalloc frag 1024:4096 t=2 rep=1  17:12:59
  mimalloc frag 1024:4096 t=2 rep=1  17:13:05
  snmalloc frag 1024:4096 t=2 rep=1  17:13:12
  scudo frag 1024:4096 t=2 rep=1  17:13:17
  rpmalloc frag 1024:4096 t=2 rep=1  17:13:26
  libc frag 1024:4096 t=2 rep=2  17:13:32
  umem frag 1024:4096 t=2 rep=2  17:13:42
  umem@null frag 1024:4096 t=2 rep=2  17:13:50
  umem-preload frag 1024:4096 t=2 rep=2  17:13:58
  umem-preload@null frag 1024:4096 t=2 rep=2  17:14:10
  jemalloc frag 1024:4096 t=2 rep=2  17:14:23
  tcmalloc frag 1024:4096 t=2 rep=2  17:14:28
  mimalloc frag 1024:4096 t=2 rep=2  17:14:34
  snmalloc frag 1024:4096 t=2 rep=2  17:14:41
  scudo frag 1024:4096 t=2 rep=2  17:14:47
  rpmalloc frag 1024:4096 t=2 rep=2  17:14:55
  libc frag 1024:4096 t=4 rep=1  17:15:01
  umem frag 1024:4096 t=4 rep=1  17:15:07
  umem@null frag 1024:4096 t=4 rep=1  17:15:12
  umem-preload frag 1024:4096 t=4 rep=1  17:15:17
  umem-preload@null frag 1024:4096 t=4 rep=1  17:15:28
  jemalloc frag 1024:4096 t=4 rep=1  17:15:40
  tcmalloc frag 1024:4096 t=4 rep=1  17:15:43
  mimalloc frag 1024:4096 t=4 rep=1  17:15:47
  snmalloc frag 1024:4096 t=4 rep=1  17:15:50
  scudo frag 1024:4096 t=4 rep=1  17:15:53
  rpmalloc frag 1024:4096 t=4 rep=1  17:15:58
  libc frag 1024:4096 t=4 rep=2  17:16:01
  umem frag 1024:4096 t=4 rep=2  17:16:07
  umem@null frag 1024:4096 t=4 rep=2  17:16:12
  umem-preload frag 1024:4096 t=4 rep=2  17:16:17
  umem-preload@null frag 1024:4096 t=4 rep=2  17:16:29
  jemalloc frag 1024:4096 t=4 rep=2  17:16:41
  tcmalloc frag 1024:4096 t=4 rep=2  17:16:44
  mimalloc frag 1024:4096 t=4 rep=2  17:16:47
  snmalloc frag 1024:4096 t=4 rep=2  17:16:50
  scudo frag 1024:4096 t=4 rep=2  17:16:53
  rpmalloc frag 1024:4096 t=4 rep=2  17:16:58
  libc frag 1024:4096 t=8 rep=1  17:17:02
  umem frag 1024:4096 t=8 rep=1  17:17:05
  umem@null frag 1024:4096 t=8 rep=1  17:17:09
  umem-preload frag 1024:4096 t=8 rep=1  17:17:12
  umem-preload@null frag 1024:4096 t=8 rep=1  17:17:23
  jemalloc frag 1024:4096 t=8 rep=1  17:17:35
  tcmalloc frag 1024:4096 t=8 rep=1  17:17:37
  mimalloc frag 1024:4096 t=8 rep=1  17:17:39
  snmalloc frag 1024:4096 t=8 rep=1  17:17:41
  scudo frag 1024:4096 t=8 rep=1  17:17:42
  rpmalloc frag 1024:4096 t=8 rep=1  17:17:45
  libc frag 1024:4096 t=8 rep=2  17:17:47
  umem frag 1024:4096 t=8 rep=2  17:17:51
  umem@null frag 1024:4096 t=8 rep=2  17:17:55
  umem-preload frag 1024:4096 t=8 rep=2  17:17:58
  umem-preload@null frag 1024:4096 t=8 rep=2  17:18:09
  jemalloc frag 1024:4096 t=8 rep=2  17:18:20
  tcmalloc frag 1024:4096 t=8 rep=2  17:18:22
  mimalloc frag 1024:4096 t=8 rep=2  17:18:24
  snmalloc frag 1024:4096 t=8 rep=2  17:18:26
  scudo frag 1024:4096 t=8 rep=2  17:18:28
  rpmalloc frag 1024:4096 t=8 rep=2  17:18:31
matrix complete -> /home/ec2-user/libumem-iso-cmp-f2a8267df758/docs/results/2026-09-23-c7g.2xlarge-aarch64/frag-big/matrix.toml
