matrix: instance=c7g.2xlarge arch=aarch64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp-f2a8267df758/docs/results/2026-09-23-c7g.2xlarge-aarch64/single/matrix.toml
  libc single 16:64 t=1 rep=1  12:18:56
  umem single 16:64 t=1 rep=1  12:19:10
  umem@null single 16:64 t=1 rep=1  12:19:23
  umem-preload single 16:64 t=1 rep=1  12:19:36
  umem-preload@null single 16:64 t=1 rep=1  12:20:16
  jemalloc single 16:64 t=1 rep=1  12:20:56
  tcmalloc single 16:64 t=1 rep=1  12:21:09
  mimalloc single 16:64 t=1 rep=1  12:21:22
  snmalloc single 16:64 t=1 rep=1  12:21:37
  scudo single 16:64 t=1 rep=1  12:21:51
  rpmalloc single 16:64 t=1 rep=1  12:22:06
  libc single 16:64 t=1 rep=2  12:22:20
  umem single 16:64 t=1 rep=2  12:22:33
  umem@null single 16:64 t=1 rep=2  12:22:46
  umem-preload single 16:64 t=1 rep=2  12:22:59
  umem-preload@null single 16:64 t=1 rep=2  12:23:39
  jemalloc single 16:64 t=1 rep=2  12:24:19
  tcmalloc single 16:64 t=1 rep=2  12:24:33
  mimalloc single 16:64 t=1 rep=2  12:24:45
  snmalloc single 16:64 t=1 rep=2  12:25:00
  scudo single 16:64 t=1 rep=2  12:25:14
  rpmalloc single 16:64 t=1 rep=2  12:25:29
  libc single 64:256 t=1 rep=1  12:25:42
  umem single 64:256 t=1 rep=1  12:25:56
  umem@null single 64:256 t=1 rep=1  12:26:09
  umem-preload single 64:256 t=1 rep=1  12:26:22
  umem-preload@null single 64:256 t=1 rep=1  12:27:03
  jemalloc single 64:256 t=1 rep=1  12:27:43
  tcmalloc single 64:256 t=1 rep=1  12:27:57
  mimalloc single 64:256 t=1 rep=1  12:28:10
  snmalloc single 64:256 t=1 rep=1  12:28:23
  scudo single 64:256 t=1 rep=1  12:28:37
  rpmalloc single 64:256 t=1 rep=1  12:28:53
  libc single 64:256 t=1 rep=2  12:29:06
  umem single 64:256 t=1 rep=2  12:29:19
  umem@null single 64:256 t=1 rep=2  12:29:33
  umem-preload single 64:256 t=1 rep=2  12:29:46
  umem-preload@null single 64:256 t=1 rep=2  12:30:26
  jemalloc single 64:256 t=1 rep=2  12:31:07
  tcmalloc single 64:256 t=1 rep=2  12:31:21
  mimalloc single 64:256 t=1 rep=2  12:31:33
  snmalloc single 64:256 t=1 rep=2  12:31:47
  scudo single 64:256 t=1 rep=2  12:32:01
  rpmalloc single 64:256 t=1 rep=2  12:32:17
  libc single 256:1024 t=1 rep=1  12:32:30
  umem single 256:1024 t=1 rep=1  12:32:43
  umem@null single 256:1024 t=1 rep=1  12:32:57
  umem-preload single 256:1024 t=1 rep=1  12:33:11
  umem-preload@null single 256:1024 t=1 rep=1  12:33:52
  jemalloc single 256:1024 t=1 rep=1  12:34:33
  tcmalloc single 256:1024 t=1 rep=1  12:34:47
  mimalloc single 256:1024 t=1 rep=1  12:35:01
  snmalloc single 256:1024 t=1 rep=1  12:35:14
  scudo single 256:1024 t=1 rep=1  12:35:28
  rpmalloc single 256:1024 t=1 rep=1  12:35:44
  libc single 256:1024 t=1 rep=2  12:35:58
  umem single 256:1024 t=1 rep=2  12:36:12
  umem@null single 256:1024 t=1 rep=2  12:36:26
  umem-preload single 256:1024 t=1 rep=2  12:36:40
  umem-preload@null single 256:1024 t=1 rep=2  12:37:21
  jemalloc single 256:1024 t=1 rep=2  12:38:02
  tcmalloc single 256:1024 t=1 rep=2  12:38:16
  mimalloc single 256:1024 t=1 rep=2  12:38:29
  snmalloc single 256:1024 t=1 rep=2  12:38:43
  scudo single 256:1024 t=1 rep=2  12:38:57
  rpmalloc single 256:1024 t=1 rep=2  12:39:13
  libc single 1024:4096 t=1 rep=1  12:39:27
  umem single 1024:4096 t=1 rep=1  12:39:44
  umem@null single 1024:4096 t=1 rep=1  12:40:01
  umem-preload single 1024:4096 t=1 rep=1  12:40:18
  umem-preload@null single 1024:4096 t=1 rep=1  12:41:04
  jemalloc single 1024:4096 t=1 rep=1  12:41:49
  tcmalloc single 1024:4096 t=1 rep=1  12:42:05
  mimalloc single 1024:4096 t=1 rep=1  12:42:20
  snmalloc single 1024:4096 t=1 rep=1  12:42:36
  scudo single 1024:4096 t=1 rep=1  12:42:52
  rpmalloc single 1024:4096 t=1 rep=1  12:43:10
  libc single 1024:4096 t=1 rep=2  12:43:26
  umem single 1024:4096 t=1 rep=2  12:43:43
  umem@null single 1024:4096 t=1 rep=2  12:44:01
  umem-preload single 1024:4096 t=1 rep=2  12:44:18
  umem-preload@null single 1024:4096 t=1 rep=2  12:45:03
  jemalloc single 1024:4096 t=1 rep=2  12:45:48
  tcmalloc single 1024:4096 t=1 rep=2  12:46:04
  mimalloc single 1024:4096 t=1 rep=2  12:46:19
  snmalloc single 1024:4096 t=1 rep=2  12:46:35
  scudo single 1024:4096 t=1 rep=2  12:46:51
  rpmalloc single 1024:4096 t=1 rep=2  12:47:09
matrix complete -> /home/ec2-user/libumem-iso-cmp-f2a8267df758/docs/results/2026-09-23-c7g.2xlarge-aarch64/single/matrix.toml
