matrix: instance=c7i.2xlarge arch=x86_64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=10000000
  -> /home/ec2-user/libumem-iso-cmp-f2a8267df758/docs/results/2026-09-23-c7i.2xlarge-x86_64/prodcons/matrix.toml
  libc prodcons 16:64 t=1 rep=1  14:02:43
  umem prodcons 16:64 t=1 rep=1  14:02:56
  umem@null prodcons 16:64 t=1 rep=1  14:03:08
  umem-preload prodcons 16:64 t=1 rep=1  14:03:21
  umem-preload@null prodcons 16:64 t=1 rep=1  14:03:41
  jemalloc prodcons 16:64 t=1 rep=1  14:04:01
  tcmalloc prodcons 16:64 t=1 rep=1  14:04:16
  mimalloc prodcons 16:64 t=1 rep=1  14:04:29
  snmalloc prodcons 16:64 t=1 rep=1  14:04:41
  scudo prodcons 16:64 t=1 rep=1  14:04:54
  rpmalloc prodcons 16:64 t=1 rep=1  14:05:10
  libc prodcons 16:64 t=1 rep=2  14:05:23
  umem prodcons 16:64 t=1 rep=2  14:05:36
  umem@null prodcons 16:64 t=1 rep=2  14:05:49
  umem-preload prodcons 16:64 t=1 rep=2  14:06:02
  umem-preload@null prodcons 16:64 t=1 rep=2  14:06:23
  jemalloc prodcons 16:64 t=1 rep=2  14:06:44
  tcmalloc prodcons 16:64 t=1 rep=2  14:06:59
  mimalloc prodcons 16:64 t=1 rep=2  14:07:13
  snmalloc prodcons 16:64 t=1 rep=2  14:07:24
  scudo prodcons 16:64 t=1 rep=2  14:07:38
  rpmalloc prodcons 16:64 t=1 rep=2  14:07:53
  libc prodcons 16:64 t=2 rep=1  14:08:06
  umem prodcons 16:64 t=2 rep=1  14:08:19
  umem@null prodcons 16:64 t=2 rep=1  14:08:27
  umem-preload prodcons 16:64 t=2 rep=1  14:08:37
  umem-preload@null prodcons 16:64 t=2 rep=1  14:08:56
  jemalloc prodcons 16:64 t=2 rep=1  14:09:17
  tcmalloc prodcons 16:64 t=2 rep=1  14:09:26
  mimalloc prodcons 16:64 t=2 rep=1  14:09:38
  snmalloc prodcons 16:64 t=2 rep=1  14:09:48
  scudo prodcons 16:64 t=2 rep=1  14:09:56
  rpmalloc prodcons 16:64 t=2 rep=1  14:10:06
  libc prodcons 16:64 t=2 rep=2  14:10:16
  umem prodcons 16:64 t=2 rep=2  14:10:29
  umem@null prodcons 16:64 t=2 rep=2  14:10:39
  umem-preload prodcons 16:64 t=2 rep=2  14:10:47
  umem-preload@null prodcons 16:64 t=2 rep=2  14:11:06
  jemalloc prodcons 16:64 t=2 rep=2  14:11:26
  tcmalloc prodcons 16:64 t=2 rep=2  14:11:35
  mimalloc prodcons 16:64 t=2 rep=2  14:11:47
  snmalloc prodcons 16:64 t=2 rep=2  14:11:56
  scudo prodcons 16:64 t=2 rep=2  14:12:04
  rpmalloc prodcons 16:64 t=2 rep=2  14:12:14
  libc prodcons 16:64 t=4 rep=1  14:12:24
  umem prodcons 16:64 t=4 rep=1  14:12:32
  umem@null prodcons 16:64 t=4 rep=1  14:12:40
  umem-preload prodcons 16:64 t=4 rep=1  14:12:47
  umem-preload@null prodcons 16:64 t=4 rep=1  14:13:04
  jemalloc prodcons 16:64 t=4 rep=1  14:13:20
  tcmalloc prodcons 16:64 t=4 rep=1  14:13:29
  mimalloc prodcons 16:64 t=4 rep=1  14:13:39
  snmalloc prodcons 16:64 t=4 rep=1  14:13:47
  scudo prodcons 16:64 t=4 rep=1  14:13:52
  rpmalloc prodcons 16:64 t=4 rep=1  14:14:03
  libc prodcons 16:64 t=4 rep=2  14:14:10
  umem prodcons 16:64 t=4 rep=2  14:14:19
  umem@null prodcons 16:64 t=4 rep=2  14:14:26
  umem-preload prodcons 16:64 t=4 rep=2  14:14:33
  umem-preload@null prodcons 16:64 t=4 rep=2  14:14:49
  jemalloc prodcons 16:64 t=4 rep=2  14:15:06
  tcmalloc prodcons 16:64 t=4 rep=2  14:15:14
  mimalloc prodcons 16:64 t=4 rep=2  14:15:25
  snmalloc prodcons 16:64 t=4 rep=2  14:15:32
  scudo prodcons 16:64 t=4 rep=2  14:15:37
  rpmalloc prodcons 16:64 t=4 rep=2  14:15:48
  libc prodcons 16:64 t=8 rep=1  14:15:56
  umem prodcons 16:64 t=8 rep=1  14:16:03
  umem@null prodcons 16:64 t=8 rep=1  14:16:09
  umem-preload prodcons 16:64 t=8 rep=1  14:16:18
  umem-preload@null prodcons 16:64 t=8 rep=1  14:16:47
  jemalloc prodcons 16:64 t=8 rep=1  14:17:14
  tcmalloc prodcons 16:64 t=8 rep=1  14:17:21
  mimalloc prodcons 16:64 t=8 rep=1  14:17:30
  snmalloc prodcons 16:64 t=8 rep=1  14:17:38
  scudo prodcons 16:64 t=8 rep=1  14:17:44
  rpmalloc prodcons 16:64 t=8 rep=1  14:17:56
  libc prodcons 16:64 t=8 rep=2  14:18:03
  umem prodcons 16:64 t=8 rep=2  14:18:11
  umem@null prodcons 16:64 t=8 rep=2  14:18:19
  umem-preload prodcons 16:64 t=8 rep=2  14:18:25
  umem-preload@null prodcons 16:64 t=8 rep=2  14:18:52
  jemalloc prodcons 16:64 t=8 rep=2  14:19:21
  tcmalloc prodcons 16:64 t=8 rep=2  14:19:31
  mimalloc prodcons 16:64 t=8 rep=2  14:19:40
  snmalloc prodcons 16:64 t=8 rep=2  14:19:48
  scudo prodcons 16:64 t=8 rep=2  14:19:55
  rpmalloc prodcons 16:64 t=8 rep=2  14:20:09
  libc prodcons 64:256 t=1 rep=1  14:20:16
  umem prodcons 64:256 t=1 rep=1  14:20:29
  umem@null prodcons 64:256 t=1 rep=1  14:20:44
  umem-preload prodcons 64:256 t=1 rep=1  14:20:58
  umem-preload@null prodcons 64:256 t=1 rep=1  14:21:21
  jemalloc prodcons 64:256 t=1 rep=1  14:21:43
  tcmalloc prodcons 64:256 t=1 rep=1  14:21:58
  mimalloc prodcons 64:256 t=1 rep=1  14:22:11
  snmalloc prodcons 64:256 t=1 rep=1  14:22:23
  scudo prodcons 64:256 t=1 rep=1  14:22:37
  rpmalloc prodcons 64:256 t=1 rep=1  14:22:52
  libc prodcons 64:256 t=1 rep=2  14:23:05
  umem prodcons 64:256 t=1 rep=2  14:23:18
  umem@null prodcons 64:256 t=1 rep=2  14:23:33
  umem-preload prodcons 64:256 t=1 rep=2  14:23:47
  umem-preload@null prodcons 64:256 t=1 rep=2  14:24:09
  jemalloc prodcons 64:256 t=1 rep=2  14:24:32
  tcmalloc prodcons 64:256 t=1 rep=2  14:24:47
  mimalloc prodcons 64:256 t=1 rep=2  14:25:00
  snmalloc prodcons 64:256 t=1 rep=2  14:25:12
  scudo prodcons 64:256 t=1 rep=2  14:25:25
  rpmalloc prodcons 64:256 t=1 rep=2  14:25:40
  libc prodcons 64:256 t=2 rep=1  14:25:53
  umem prodcons 64:256 t=2 rep=1  14:26:26
  umem@null prodcons 64:256 t=2 rep=1  14:26:35
  umem-preload prodcons 64:256 t=2 rep=1  14:26:43
  umem-preload@null prodcons 64:256 t=2 rep=1  14:27:03
  jemalloc prodcons 64:256 t=2 rep=1  14:27:21
  tcmalloc prodcons 64:256 t=2 rep=1  14:27:30
  mimalloc prodcons 64:256 t=2 rep=1  14:27:41
  snmalloc prodcons 64:256 t=2 rep=1  14:27:52
  scudo prodcons 64:256 t=2 rep=1  14:28:00
  rpmalloc prodcons 64:256 t=2 rep=1  14:28:12
  libc prodcons 64:256 t=2 rep=2  14:28:22
  umem prodcons 64:256 t=2 rep=2  14:28:56
  umem@null prodcons 64:256 t=2 rep=2  14:29:05
  umem-preload prodcons 64:256 t=2 rep=2  14:29:15
  umem-preload@null prodcons 64:256 t=2 rep=2  14:29:33
  jemalloc prodcons 64:256 t=2 rep=2  14:29:52
  tcmalloc prodcons 64:256 t=2 rep=2  14:30:01
  mimalloc prodcons 64:256 t=2 rep=2  14:30:12
  snmalloc prodcons 64:256 t=2 rep=2  14:30:23
  scudo prodcons 64:256 t=2 rep=2  14:30:32
  rpmalloc prodcons 64:256 t=2 rep=2  14:30:43
  libc prodcons 64:256 t=4 rep=1  14:30:52
  umem prodcons 64:256 t=4 rep=1  14:31:13
  umem@null prodcons 64:256 t=4 rep=1  14:31:20
  umem-preload prodcons 64:256 t=4 rep=1  14:31:27
  umem-preload@null prodcons 64:256 t=4 rep=1  14:31:45
  jemalloc prodcons 64:256 t=4 rep=1  14:32:03
  tcmalloc prodcons 64:256 t=4 rep=1  14:32:11
  mimalloc prodcons 64:256 t=4 rep=1  14:32:19
  snmalloc prodcons 64:256 t=4 rep=1  14:32:27
  scudo prodcons 64:256 t=4 rep=1  14:32:33
  rpmalloc prodcons 64:256 t=4 rep=1  14:32:45
  libc prodcons 64:256 t=4 rep=2  14:32:52
  umem prodcons 64:256 t=4 rep=2  14:33:13
  umem@null prodcons 64:256 t=4 rep=2  14:33:20
  umem-preload prodcons 64:256 t=4 rep=2  14:33:28
  umem-preload@null prodcons 64:256 t=4 rep=2  14:33:46
  jemalloc prodcons 64:256 t=4 rep=2  14:34:03
  tcmalloc prodcons 64:256 t=4 rep=2  14:34:11
  mimalloc prodcons 64:256 t=4 rep=2  14:34:20
  snmalloc prodcons 64:256 t=4 rep=2  14:34:28
  scudo prodcons 64:256 t=4 rep=2  14:34:34
  rpmalloc prodcons 64:256 t=4 rep=2  14:34:46
  libc prodcons 64:256 t=8 rep=1  14:34:53
  umem prodcons 64:256 t=8 rep=1  14:35:04
  umem@null prodcons 64:256 t=8 rep=1  14:35:11
  umem-preload prodcons 64:256 t=8 rep=1  14:35:18
  umem-preload@null prodcons 64:256 t=8 rep=1  14:35:45
  jemalloc prodcons 64:256 t=8 rep=1  14:36:12
  tcmalloc prodcons 64:256 t=8 rep=1  14:36:18
  mimalloc prodcons 64:256 t=8 rep=1  14:36:27
  snmalloc prodcons 64:256 t=8 rep=1  14:36:35
  scudo prodcons 64:256 t=8 rep=1  14:36:43
  rpmalloc prodcons 64:256 t=8 rep=1  14:36:55
  libc prodcons 64:256 t=8 rep=2  14:37:02
  umem prodcons 64:256 t=8 rep=2  14:37:14
  umem@null prodcons 64:256 t=8 rep=2  14:37:21
  umem-preload prodcons 64:256 t=8 rep=2  14:37:29
  umem-preload@null prodcons 64:256 t=8 rep=2  14:37:57
  jemalloc prodcons 64:256 t=8 rep=2  14:38:24
  tcmalloc prodcons 64:256 t=8 rep=2  14:38:32
  mimalloc prodcons 64:256 t=8 rep=2  14:38:41
  snmalloc prodcons 64:256 t=8 rep=2  14:38:48
  scudo prodcons 64:256 t=8 rep=2  14:38:57
  rpmalloc prodcons 64:256 t=8 rep=2  14:39:12
  libc prodcons 256:1024 t=1 rep=1  14:39:19
  umem prodcons 256:1024 t=1 rep=1  14:39:34
  umem@null prodcons 256:1024 t=1 rep=1  14:39:49
  umem-preload prodcons 256:1024 t=1 rep=1  14:40:04
  umem-preload@null prodcons 256:1024 t=1 rep=1  14:40:27
  jemalloc prodcons 256:1024 t=1 rep=1  14:40:51
  tcmalloc prodcons 256:1024 t=1 rep=1  14:41:07
  mimalloc prodcons 256:1024 t=1 rep=1  14:41:22
  snmalloc prodcons 256:1024 t=1 rep=1  14:41:36
  scudo prodcons 256:1024 t=1 rep=1  14:41:52
  rpmalloc prodcons 256:1024 t=1 rep=1  14:42:11
  libc prodcons 256:1024 t=1 rep=2  14:42:28
  umem prodcons 256:1024 t=1 rep=2  14:42:44
  umem@null prodcons 256:1024 t=1 rep=2  14:42:59
  umem-preload prodcons 256:1024 t=1 rep=2  14:43:13
  umem-preload@null prodcons 256:1024 t=1 rep=2  14:43:37
  jemalloc prodcons 256:1024 t=1 rep=2  14:44:00
  tcmalloc prodcons 256:1024 t=1 rep=2  14:44:16
  mimalloc prodcons 256:1024 t=1 rep=2  14:44:30
  snmalloc prodcons 256:1024 t=1 rep=2  14:44:44
  scudo prodcons 256:1024 t=1 rep=2  14:44:59
  rpmalloc prodcons 256:1024 t=1 rep=2  14:45:17
  libc prodcons 256:1024 t=2 rep=1  14:45:34
  umem prodcons 256:1024 t=2 rep=1  14:46:19
  umem@null prodcons 256:1024 t=2 rep=1  14:46:27
  umem-preload prodcons 256:1024 t=2 rep=1  14:46:36
  umem-preload@null prodcons 256:1024 t=2 rep=1  14:46:55
  jemalloc prodcons 256:1024 t=2 rep=1  14:47:13
  tcmalloc prodcons 256:1024 t=2 rep=1  14:47:23
  mimalloc prodcons 256:1024 t=2 rep=1  14:47:34
  snmalloc prodcons 256:1024 t=2 rep=1  14:47:45
  scudo prodcons 256:1024 t=2 rep=1  14:47:54
  rpmalloc prodcons 256:1024 t=2 rep=1  14:48:08
  libc prodcons 256:1024 t=2 rep=2  14:48:17
  umem prodcons 256:1024 t=2 rep=2  14:49:05
  umem@null prodcons 256:1024 t=2 rep=2  14:49:14
  umem-preload prodcons 256:1024 t=2 rep=2  14:49:22
  umem-preload@null prodcons 256:1024 t=2 rep=2  14:49:40
  jemalloc prodcons 256:1024 t=2 rep=2  14:49:58
  tcmalloc prodcons 256:1024 t=2 rep=2  14:50:08
  mimalloc prodcons 256:1024 t=2 rep=2  14:50:19
  snmalloc prodcons 256:1024 t=2 rep=2  14:50:30
  scudo prodcons 256:1024 t=2 rep=2  14:50:39
  rpmalloc prodcons 256:1024 t=2 rep=2  14:50:52
  libc prodcons 256:1024 t=4 rep=1  14:51:01
  umem prodcons 256:1024 t=4 rep=1  14:51:27
  umem@null prodcons 256:1024 t=4 rep=1  14:51:34
  umem-preload prodcons 256:1024 t=4 rep=1  14:51:41
  umem-preload@null prodcons 256:1024 t=4 rep=1  14:51:59
  jemalloc prodcons 256:1024 t=4 rep=1  14:52:16
  tcmalloc prodcons 256:1024 t=4 rep=1  14:52:25
  mimalloc prodcons 256:1024 t=4 rep=1  14:52:35
  snmalloc prodcons 256:1024 t=4 rep=1  14:52:42
  scudo prodcons 256:1024 t=4 rep=1  14:52:49
  rpmalloc prodcons 256:1024 t=4 rep=1  14:53:04
  libc prodcons 256:1024 t=4 rep=2  14:53:11
  umem prodcons 256:1024 t=4 rep=2  14:53:38
  umem@null prodcons 256:1024 t=4 rep=2  14:53:45
  umem-preload prodcons 256:1024 t=4 rep=2  14:53:51
  umem-preload@null prodcons 256:1024 t=4 rep=2  14:54:09
  jemalloc prodcons 256:1024 t=4 rep=2  14:54:26
  tcmalloc prodcons 256:1024 t=4 rep=2  14:54:34
  mimalloc prodcons 256:1024 t=4 rep=2  14:54:44
  snmalloc prodcons 256:1024 t=4 rep=2  14:54:52
  scudo prodcons 256:1024 t=4 rep=2  14:54:58
  rpmalloc prodcons 256:1024 t=4 rep=2  14:55:13
  libc prodcons 256:1024 t=8 rep=1  14:55:20
  umem prodcons 256:1024 t=8 rep=1  14:55:35
  umem@null prodcons 256:1024 t=8 rep=1  14:55:42
  umem-preload prodcons 256:1024 t=8 rep=1  14:55:50
  umem-preload@null prodcons 256:1024 t=8 rep=1  14:56:18
  jemalloc prodcons 256:1024 t=8 rep=1  14:56:46
  tcmalloc prodcons 256:1024 t=8 rep=1  14:56:53
  mimalloc prodcons 256:1024 t=8 rep=1  14:57:01
  snmalloc prodcons 256:1024 t=8 rep=1  14:57:07
  scudo prodcons 256:1024 t=8 rep=1  14:57:15
  rpmalloc prodcons 256:1024 t=8 rep=1  14:57:35
  libc prodcons 256:1024 t=8 rep=2  14:57:42
  umem prodcons 256:1024 t=8 rep=2  14:57:58
  umem@null prodcons 256:1024 t=8 rep=2  14:58:06
  umem-preload prodcons 256:1024 t=8 rep=2  14:58:11
  umem-preload@null prodcons 256:1024 t=8 rep=2  14:58:40
  jemalloc prodcons 256:1024 t=8 rep=2  14:59:05
  tcmalloc prodcons 256:1024 t=8 rep=2  14:59:12
  mimalloc prodcons 256:1024 t=8 rep=2  14:59:21
  snmalloc prodcons 256:1024 t=8 rep=2  14:59:30
  scudo prodcons 256:1024 t=8 rep=2  14:59:36
  rpmalloc prodcons 256:1024 t=8 rep=2  14:59:53
  libc prodcons 1024:4096 t=1 rep=1  15:00:00
  umem prodcons 1024:4096 t=1 rep=1  15:00:20
  umem@null prodcons 1024:4096 t=1 rep=1  15:00:39
  umem-preload prodcons 1024:4096 t=1 rep=1  15:00:59
  umem-preload@null prodcons 1024:4096 t=1 rep=1  15:01:25
  jemalloc prodcons 1024:4096 t=1 rep=1  15:01:52
  tcmalloc prodcons 1024:4096 t=1 rep=1  15:02:11
  mimalloc prodcons 1024:4096 t=1 rep=1  15:02:29
  snmalloc prodcons 1024:4096 t=1 rep=1  15:02:47
  scudo prodcons 1024:4096 t=1 rep=1  15:03:07
  rpmalloc prodcons 1024:4096 t=1 rep=1  15:03:30
  libc prodcons 1024:4096 t=1 rep=2  15:04:15
  umem prodcons 1024:4096 t=1 rep=2  15:04:34
  umem@null prodcons 1024:4096 t=1 rep=2  15:04:53
  umem-preload prodcons 1024:4096 t=1 rep=2  15:05:11
  umem-preload@null prodcons 1024:4096 t=1 rep=2  15:05:37
  jemalloc prodcons 1024:4096 t=1 rep=2  15:06:04
  tcmalloc prodcons 1024:4096 t=1 rep=2  15:06:24
  mimalloc prodcons 1024:4096 t=1 rep=2  15:06:43
