# umem frag t=192 size=16:64 ops=38171775 alloc_failures=0
throughput_mops = 2.028
lat_p50_ns = 234
lat_p99_ns = 2242161
lat_p999_ns = 5686372
lat_max_ns = 106659826
# umem contention dump
# rseq_enabled=1 asm_safe=1 ncpus=192
cache                          cc_alloc  full_reload   empty_reld    dep_local   dep_remote   dep_conten     rseq_alloc      rseq_free   rseq_rstrt
umem_magazine_3                       0            0            0            0            0            0              0              0            0
umem_magazine_255                     0            0            0            0            0           88              0              0            0
umem_slab_cache                       0            0            0            0            0            0              0              0            0
umem_bufctl_cache                     0            0            0            0            0            1              0              0            0
umem_va_4096                          0            0            0            0            0            2              0              0            0
umem_va_32768                         0            0            0            0            0            0              0              0            0
umem_alloc_32                    145828            0            0          576           77          118              0              0            0
umem_alloc_48                     98584            0            0        18837        22728        11288              0              0            0
umem_alloc_64                     94512            0            0        18855        22807        10170              0              0            0
umem_alloc_80                     94216            0            0        18863        22828        11112              0              0            0
umem_alloc_32768                      0            0            0          188            0            0              0              0            0
