# umem-preload frag t=192 size=64:256 ops=38171775 alloc_failures=0
throughput_mops = 1.065
lat_p50_ns = 59894
lat_p99_ns = 1336557
lat_p999_ns = 4302288
lat_max_ns = 52914996
# umem contention dump
# rseq_enabled=1 asm_safe=1 ncpus=192
cache                          cc_alloc  full_reload   empty_reld    dep_local   dep_remote   dep_conten     rseq_alloc      rseq_free   rseq_rstrt
umem_magazine_1                       0            0            0            0            0            0              0              0            0
umem_magazine_3                       0            0            0            0            0            0              0              0            0
umem_magazine_7                       0            0            0            0            0            0              0              0            0
umem_magazine_15                      0            0            0            0            0            0              0              0            0
umem_magazine_63                      0            0            0            0            0            0              0              0            0
umem_magazine_127                     0            0            0            0            0            0              0              0            0
umem_magazine_255                    12            0            0            2            0           10              0              0            0
umem_slab_cache                       0            0            0            0            0            4              0              0            0
umem_bufctl_cache                     0            0            0            0            0         2597              0              0            0
umem_va_4096                          0            0            0            0            0          352              0              0            0
umem_va_12288                         0            0            0            0            0            0              0              0            0
umem_va_16384                         0            0            0            0            0            0              0              0            0
umem_va_20480                         0            0            0            0            0            0              0              0            0
umem_va_32768                         0            0            0            0            0            0              0              0            0
umem_alloc_16                         0            0            0            0            0            0              0              0            0
umem_alloc_32                         0            0            0            0            0            0              0              0            0
umem_alloc_48                         0            0            0            0            0            0              0              0            0
umem_alloc_64                         0            0            0            0            0            0              0              0            0
umem_alloc_80                         0            0            0          215            0            6              0              0            0
umem_alloc_96                    254741            0            0         3240         3971         2021              0              0            0
umem_alloc_112                   251220            0            0         3279         3957         1829              0              0            0
umem_alloc_128                   256965            0            0         3196         4011         2006              0              0            0
umem_alloc_160                   407147            0            0         7555        11030         7507              0              0            0
umem_alloc_192                   437437            0            0         7502        11170         6663              0              0            0
umem_alloc_224                   432430            0            0         7576        11033         7190              0              0            0
umem_alloc_256                   441144            0            0         7500        11086         7528              0              0            0
umem_alloc_320                   260449            0            0         3296         4463         2158              0              0            0
umem_alloc_384                        0            0            0            0            0            0              0              0            0
umem_alloc_512                        0            0            0          159            0            0              0              0            0
umem_alloc_640                        0            0            0            0            0            0              0              0            0
umem_alloc_1024                       0            0            0            0            0            0              0              0            0
umem_alloc_1280                       0            0            0          157            0            0              0              0            0
umem_alloc_1792                       0            0            0            0            0            0              0              0            0
umem_alloc_2048                       0            0            0            0            0            0              0              0            0
umem_alloc_2560                       0            0            0            0            0            0              0              0            0
umem_alloc_4096                       0            0            0            0            0            0              0              0            0
umem_alloc_5120                       1            0            0           26            0            0              0              0            0
umem_alloc_12288                      0            0            0            1            0            0              0              0            0
umem_alloc_20480                      0            0            0            1            0            0              0              0            0
umem_alloc_32768                      0            0            0          157            0            0              0              0            0
umem_alloc_73728                      0            0            0            1            0            0              0              0            0
umem_alloc_81920                      0            0            0            0            0            0              0              0            0
