# umem-preload prodcons t=192 size=256:1024 ops=19200000 alloc_failures=0
throughput_mops = 1.249
lat_p50_ns = 1144
lat_p99_ns = 83206
lat_p999_ns = 542074
lat_max_ns = 101696817
# umem contention dump
# rseq_enabled=1 asm_safe=1 ncpus=192
cache                          cc_alloc  full_reload   empty_reld    dep_local   dep_remote   dep_conten     rseq_alloc      rseq_free   rseq_rstrt
umem_magazine_3                       0            0            0            0            0            4              0              0            0
umem_magazine_7                       0            0            0            0            0            0              0              0            0
umem_magazine_15                      0            0            0            0            0            0              0              0            0
umem_magazine_63                      0            0            0            0            0            0              0              0            0
umem_magazine_127                   125            0            0           96           23            1              0              0            0
umem_magazine_255                     0            0            0            0            0            0              0              0            0
umem_slab_cache                       0            0            0            0            0           43              0              0            0
umem_bufctl_cache                     0            0            0            0            0        21706              0              0            0
umem_va_4096                          0            0            0            0            0           64              0              0            0
umem_va_8192                          0            0            0            0            0            7              0              0            0
umem_va_12288                         0            0            0            0            0            0              0              0            0
umem_va_16384                         0            0            0            0            0            0              0              0            0
umem_va_20480                         0            0            0            0            0            0              0              0            0
umem_va_32768                         0            0            0            0            0            0              0              0            0
umem_alloc_16                         0            0            0            0            0            0              0              0            0
umem_alloc_32                         0            0            0            0            0            0              0              0            0
umem_alloc_48                         0            0            0            0            0            0              0              0            0
umem_alloc_64                         0            0            0            0            0            0              0              0            0
umem_alloc_80                         0            0            0            0            0            0              0              0            0
umem_alloc_96                         0            0            0            1            0            0              0              0            0
umem_alloc_112                        0            0            0            0            0            0              0              0            0
umem_alloc_128                        0            0            0            0            0            0              0              0            0
umem_alloc_160                        0            0            0            0            0            0              0              0            0
umem_alloc_192                        0            0            0            0            0            0              0              0            0
umem_alloc_320                   495742            0            0          884         7005           10              0              0            0
umem_alloc_384                   678716            0            0          750         5597           40              0              0            0
umem_alloc_448                   677727            0            0          761         5579           54              0              0            0
umem_alloc_512                   681190            0            0          759         5594           79              0              0            0
umem_alloc_640                  1411914            0            0          908        11949          184              0              0            0
umem_alloc_768                  1410611            0            0          903        11935          245              0              0            0
umem_alloc_896                  1411052            0            0          900        11948          208              0              0            0
umem_alloc_1024                 1456135            0            0          530        24450           19              0              0            0
umem_alloc_1280                  161925            0            0          455         5329            0              0              0            0
umem_alloc_1536                       0            0            0            0            0            0              0              0            0
umem_alloc_1792                       0            0            0            0            0            0              0              0            0
umem_alloc_2048                       0            0            0            0            0            0              0              0            0
umem_alloc_2560                       0            0            0            0            0            0              0              0            0
umem_alloc_4096                       0            0            0            0            0            0              0              0            0
umem_alloc_5120                       1            0            0           27            0            0              0              0            0
umem_alloc_16384                      0            0            0            1            0            0              0              0            0
umem_alloc_32768                      0            0            0          180            0            3              0              0            0
umem_alloc_73728                      0            0            0            0            0            0              0              0            0
umem_alloc_81920                      0            0            0            0            0            0              0              0            0
