arm,label,replicate,allocator,workload,threads,total_ops,ops_per_thread,elapsed_sec,ops_per_sec,lat_min,lat_p50,lat_p90,lat_p99,lat_p999,lat_max,lat_mean,rss_at_live_peak,vmhwm_bytes,allocated_bytes,live_bytes_at_peak,live_bytes_median,frag,frag_median,frag_samples,cpu_user_ms,cpu_sys_ms,ops_cov,runs,unstable,ops_floor_raised,alloc_failures
pre,null-preload-multi-1-16:64,1,umem-preload,multi-thread,1,20000000,20000000,6.627219,3017857.19,18,20,22,24,25,81811,21,9490432,9490432,789934599,0,0,,,0,6626.4,0.0,0.0017,3,0,0,0
nullB,null-preload-multi-1-16:64,1,umem-preload,multi-thread,1,20000000,20000000,6.597898,3031268.53,18,20,22,24,25,82515,21,9486336,9486336,789934599,0,0,,,0,6597.4,0.0,0.0018,3,0,0,0
pre,null-preload-multi-1-16:64,2,umem-preload,multi-thread,1,20000000,20000000,6.580054,3039488.59,18,20,22,24,25,93347,21,9490432,9490432,789934599,0,0,,,0,6579.7,0.0,0.0014,3,0,0,0
nullB,null-preload-multi-1-16:64,2,umem-preload,multi-thread,1,20000000,20000000,6.614260,3023769.96,18,20,22,24,25,54466,21,9478144,9478144,789934599,0,0,,,0,6613.7,0.0,0.0017,3,0,0,0
pre,null-preload-multi-1-16:64,3,umem-preload,multi-thread,1,20000000,20000000,6.636388,3013687.40,18,20,22,24,25,61818,21,9490432,9490432,789934599,0,0,,,0,6635.7,0.0,0.0016,3,0,0,0
nullB,null-preload-multi-1-16:64,3,umem-preload,multi-thread,1,20000000,20000000,6.611708,3024936.80,18,20,22,24,25,47524,21,9486336,9486336,789934599,0,0,,,0,6611.2,0.0,0.0042,3,0,0,0
pre,null-preload-multi-8-16:64,1,umem-preload,multi-thread,8,20000000,2500000,10.301426,1941478.72,15,23,36,185,365,92936,29,9486336,9486336,790104596,0,0,,,0,15774.8,56409.0,0.0010,3,0,0,0
nullB,null-preload-multi-8-16:64,1,umem-preload,multi-thread,8,20000000,2500000,10.573347,1891548.67,15,23,39,194,390,172169,30,9482240,9482240,790104596,0,0,,,0,16078.9,58336.9,0.0010,3,0,0,0
pre,null-preload-multi-8-16:64,2,umem-preload,multi-thread,8,20000000,2500000,9.754418,2050352.93,15,23,89,324,560,85252,42,9490432,9490432,790104596,0,0,,,0,13349.9,56522.5,0.0031,3,0,0,0
nullB,null-preload-multi-8-16:64,2,umem-preload,multi-thread,8,20000000,2500000,11.417993,1751621.32,15,23,39,191,375,180186,30,9490432,9490432,790104596,0,0,,,0,17332.0,63448.0,0.0007,3,0,0,0
pre,null-preload-multi-8-16:64,3,umem-preload,multi-thread,8,20000000,2500000,10.530220,1899295.63,14,23,25,103,252,109731,24,9490432,9490432,790104596,0,0,,,0,17399.6,54085.9,0.0001,3,0,0,0
nullB,null-preload-multi-8-16:64,3,umem-preload,multi-thread,8,20000000,2500000,9.646453,2073300.85,15,23,51,242,473,121904,33,9490432,9490432,790104596,0,0,,,0,13346.6,54683.7,0.0008,3,0,0,0
pre,null-preload-multi-192-16:64,1,umem-preload,multi-thread,192,19999872,104166,24.858166,804559.44,19,35,47,62,263,1299213,37,12615680,12615680,790070049,0,0,,,0,38725.5,4677183.6,0.0005,3,0,0,0
nullB,null-preload-multi-192-16:64,1,umem-preload,multi-thread,192,19999872,104166,24.441162,818286.46,18,35,46,62,133,6264899,40,12603392,12603392,790070049,0,0,,,0,37257.1,4596911.4,0.0008,3,0,0,0
pre,null-preload-multi-192-16:64,2,umem-preload,multi-thread,192,19999872,104166,25.031080,799001.55,19,35,46,61,163,8976397,47,12607488,12607488,790070049,0,0,,,0,39190.4,4708490.9,0.0005,3,0,0,0
nullB,null-preload-multi-192-16:64,2,umem-preload,multi-thread,192,19999872,104166,25.158611,794951.35,18,35,47,62,155,8707827,48,12619776,12619776,790070049,0,0,,,0,38180.5,4733451.4,0.0009,3,0,0,0
pre,null-preload-multi-192-16:64,3,umem-preload,multi-thread,192,19999872,104166,24.062384,831167.52,19,35,45,62,239,2100392,37,12607488,12607488,790070049,0,0,,,0,37323.5,4531235.6,0.0008,3,0,0,0
nullB,null-preload-multi-192-16:64,3,umem-preload,multi-thread,192,19999872,104166,24.924364,802422.56,18,35,46,61,150,11577439,55,12611584,12611584,790070049,0,0,,,0,39863.4,4683877.2,0.0004,3,0,0,0
pre,preload-multi-1-16:64,1,umem-preload,multi-thread,1,20000000,20000000,6.737786,2968333.97,18,20,21,24,24,58981,20,9490432,9490432,789934599,0,0,,,0,6737.0,0.0,0.0007,3,0,0,0
post,preload-multi-1-16:64,1,umem-preload,multi-thread,1,20000000,20000000,3.296791,6066506.18,18,20,21,23,24,51812,20,9490432,9490432,789934599,0,0,,,0,3296.6,0.0,0.0014,3,0,0,0
pre,preload-multi-1-16:64,2,umem-preload,multi-thread,1,20000000,20000000,6.566527,3045750.22,18,20,22,24,25,51180,21,9490432,9490432,789934599,0,0,,,0,6566.1,0.0,0.0006,3,0,0,0
post,preload-multi-1-16:64,2,umem-preload,multi-thread,1,20000000,20000000,3.289764,6079463.17,18,20,21,23,24,66485,20,9486336,9486336,789934599,0,0,,,0,3289.5,0.0,0.0057,3,0,0,0
pre,preload-multi-1-16:64,3,umem-preload,multi-thread,1,20000000,20000000,6.599591,3030490.89,18,20,22,24,25,46664,21,9469952,9469952,789934599,0,0,,,0,6599.2,0.0,0.0009,3,0,0,0
post,preload-multi-1-16:64,3,umem-preload,multi-thread,1,20000000,20000000,3.319802,6024456.08,18,20,21,23,24,68826,20,9465856,9465856,789934599,0,0,,,0,3319.5,0.0,0.0042,3,0,0,0
pre,preload-multi-8-16:64,1,umem-preload,multi-thread,8,20000000,2500000,10.358481,1930785.11,14,23,41,219,448,100945,32,9486336,9486336,790104596,0,0,,,0,14968.7,58314.1,0.0016,3,0,0,0
post,preload-multi-8-16:64,1,umem-preload,multi-thread,8,20000000,2500000,0.697549,28671834.92,18,20,21,24,84,164684,21,9486336,9486336,790104596,0,0,,,0,4499.5,0.1,0.0841,3,0,0,0
pre,preload-multi-8-16:64,2,umem-preload,multi-thread,8,20000000,2500000,10.276388,1946209.10,14,23,26,113,260,73104,25,9490432,9490432,790104596,0,0,,,0,16117.6,53529.8,0.0016,3,0,0,0
post,preload-multi-8-16:64,2,umem-preload,multi-thread,8,20000000,2500000,0.675995,29586020.19,18,20,21,24,76,10004844,22,9482240,9482240,790104596,0,0,,,0,4408.4,0.0,0.0228,3,0,0,0
pre,preload-multi-8-16:64,3,umem-preload,multi-thread,8,20000000,2500000,10.855959,1842306.09,14,23,33,189,378,192991,29,9486336,9486336,790104596,0,0,,,0,16281.8,60211.4,0.0012,3,0,0,0
post,preload-multi-8-16:64,3,umem-preload,multi-thread,8,20000000,2500000,0.693576,28836071.79,17,20,21,25,102,10005028,23,9490432,9490432,790104596,0,0,,,0,4425.3,0.0,0.0546,3,0,0,0
pre,preload-multi-32-16:64,1,umem-preload,multi-thread,32,20000000,625000,13.158096,1519976.71,18,24,32,163,367,207468,29,9490432,9490432,790066561,0,0,,,0,18673.7,384231.6,0.0011,3,0,0,0
post,preload-multi-32-16:64,1,umem-preload,multi-thread,32,20000000,625000,0.168462,118721014.71,18,22,23,28,103,2529240,22,9478144,9478144,790066561,0,0,,,0,4459.1,0.0,0.0711,3,0,0,0
pre,preload-multi-32-16:64,2,umem-preload,multi-thread,32,20000000,625000,12.223143,1636240.32,18,24,33,176,393,224352,29,9490432,9490432,790066561,0,0,,,0,17824.8,356289.0,0.0012,3,0,0,0
post,preload-multi-32-16:64,2,umem-preload,multi-thread,32,20000000,625000,0.179282,111556375.99,18,21,22,39,110,418440,22,9490432,9490432,790066561,0,0,,,0,4690.2,0.0,0.0495,3,0,0,0
pre,preload-multi-32-16:64,3,umem-preload,multi-thread,32,20000000,625000,12.631887,1583294.71,15,24,33,183,399,337160,30,9490432,9490432,790066561,0,0,,,0,18799.7,368041.3,0.0010,3,0,0,0
post,preload-multi-32-16:64,3,umem-preload,multi-thread,32,20000000,625000,0.174619,114535140.41,18,21,22,25,102,737894,22,9486336,9486336,790066561,0,0,,,0,4540.8,0.0,0.0318,3,0,0,0
pre,preload-multi-64-16:64,1,umem-preload,multi-thread,64,20000000,312500,19.553533,1022833.05,17,26,56,447,754,2110017,46,11046912,11046912,790072016,0,0,,,0,29986.5,1185614.5,0.0003,3,0,0,0
post,preload-multi-64-16:64,1,umem-preload,multi-thread,64,20000000,312500,0.129278,154705501.25,18,24,25,28,70,39887910,37,11030528,11030528,790072016,0,0,,,0,4186.3,0.0,0.0483,3,0,0,0
pre,preload-multi-64-16:64,2,umem-preload,multi-thread,64,20000000,312500,18.726332,1068014.80,17,26,66,456,779,408061,46,11038720,11038720,790072016,0,0,,,0,29565.8,1128784.9,0.0035,3,0,0,0
post,preload-multi-64-16:64,2,umem-preload,multi-thread,64,20000000,312500,0.125841,158930716.68,18,24,25,28,78,15871019,37,11046912,11046912,790072016,0,0,,,0,4178.3,0.0,0.0543,3,0,0,0
pre,preload-multi-64-16:64,3,umem-preload,multi-thread,64,20000000,312500,18.765853,1065765.58,17,27,84,540,828,1077043,53,11026432,11026432,790072016,0,0,,,0,28245.9,1139604.6,0.0022,3,0,0,0
post,preload-multi-64-16:64,3,umem-preload,multi-thread,64,20000000,312500,0.133878,149389539.81,18,24,25,30,106,63789572,59,11042816,11042816,790072016,0,0,,,0,4196.1,21.4,0.0492,3,0,0,0
