# umem prodcons t=8 size=16:64 ops=20000000 alloc_failures=0
throughput_mops = 23.956
lat_p50_ns = 41
lat_p99_ns = 192
lat_p999_ns = 952
lat_max_ns = 3040799
# umem contention dump
# rseq_enabled=1 asm_safe=1 ncpus=8
cache                          cc_alloc  full_reload   empty_reld    dep_local   dep_remote   dep_conten     rseq_alloc      rseq_free   rseq_rstrt
umem_magazine_3                       0            0            0            0            0            0              0              0            0
umem_magazine_255                     0            0            0            0            0            0              0              0            0
umem_slab_cache                       0            0            0            0            0            0              0              0            0
umem_bufctl_cache                     0            0            0            0            0            8              0              0            0
umem_va_4096                          0            0            0            0            0            0              0              0            0
umem_va_24576                         0            0            0            0            0            0              0              0            0
umem_alloc_32                         0            0            0           29         1605            3              0              0            0
umem_alloc_48                     10577            0            0           40        25928           23              0              0            0
umem_alloc_64                      8508            0            0           43        25941           52              0              0            0
umem_alloc_80                      7971            0            0           44        24330           48              0              0            0
umem_alloc_24576                      0            0            0            8            0            0              0              0            0
