matrix: instance=c7g.2xlarge arch=aarch64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      256:1024
  runs=3 warmups=1 replicates=2 pin=1 ops=8000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7g.2xlarge-aarch64/frag-mid/matrix.toml
  libc frag 256:1024 t=1 rep=1  10:31:54
  umem frag 256:1024 t=1 rep=1  10:32:26
  umem@null frag 256:1024 t=1 rep=1  10:32:48
  umem-preload frag 256:1024 t=1 rep=1  10:33:10
  umem-preload@null frag 256:1024 t=1 rep=1  10:33:32
  jemalloc frag 256:1024 t=1 rep=1  10:33:54
  tcmalloc frag 256:1024 t=1 rep=1  10:34:08
  mimalloc frag 256:1024 t=1 rep=1  10:34:29
  snmalloc frag 256:1024 t=1 rep=1  10:34:46
  scudo frag 256:1024 t=1 rep=1  10:35:02
  rpmalloc frag 256:1024 t=1 rep=1  10:35:28
  libc frag 256:1024 t=1 rep=2  10:35:46
  umem frag 256:1024 t=1 rep=2  10:36:18
  umem@null frag 256:1024 t=1 rep=2  10:36:40
  umem-preload frag 256:1024 t=1 rep=2  10:37:02
  umem-preload@null frag 256:1024 t=1 rep=2  10:37:23
  jemalloc frag 256:1024 t=1 rep=2  10:37:45
  tcmalloc frag 256:1024 t=1 rep=2  10:37:59
  mimalloc frag 256:1024 t=1 rep=2  10:38:21
  snmalloc frag 256:1024 t=1 rep=2  10:38:38
  scudo frag 256:1024 t=1 rep=2  10:38:54
  rpmalloc frag 256:1024 t=1 rep=2  10:39:20
  libc frag 256:1024 t=2 rep=1  10:39:38
  umem frag 256:1024 t=2 rep=1  10:39:54
  umem@null frag 256:1024 t=2 rep=1  10:40:09
  umem-preload frag 256:1024 t=2 rep=1  10:40:23
  umem-preload@null frag 256:1024 t=2 rep=1  10:40:37
  jemalloc frag 256:1024 t=2 rep=1  10:40:52
  tcmalloc frag 256:1024 t=2 rep=1  10:41:00
  mimalloc frag 256:1024 t=2 rep=1  10:41:11
  snmalloc frag 256:1024 t=2 rep=1  10:41:21
  scudo frag 256:1024 t=2 rep=1  10:41:29
  rpmalloc frag 256:1024 t=2 rep=1  10:41:45
  libc frag 256:1024 t=2 rep=2  10:41:55
  umem frag 256:1024 t=2 rep=2  10:42:11
  umem@null frag 256:1024 t=2 rep=2  10:42:25
  umem-preload frag 256:1024 t=2 rep=2  10:42:39
  umem-preload@null frag 256:1024 t=2 rep=2  10:42:53
  jemalloc frag 256:1024 t=2 rep=2  10:43:08
  tcmalloc frag 256:1024 t=2 rep=2  10:43:15
  mimalloc frag 256:1024 t=2 rep=2  10:43:27
  snmalloc frag 256:1024 t=2 rep=2  10:43:36
  scudo frag 256:1024 t=2 rep=2  10:43:45
  rpmalloc frag 256:1024 t=2 rep=2  10:44:01
  libc frag 256:1024 t=4 rep=1  10:44:11
  umem frag 256:1024 t=4 rep=1  10:44:19
  umem@null frag 256:1024 t=4 rep=1  10:44:27
  umem-preload frag 256:1024 t=4 rep=1  10:44:35
  umem-preload@null frag 256:1024 t=4 rep=1  10:44:43
  jemalloc frag 256:1024 t=4 rep=1  10:44:51
  tcmalloc frag 256:1024 t=4 rep=1  10:44:55
  mimalloc frag 256:1024 t=4 rep=1  10:45:02
  snmalloc frag 256:1024 t=4 rep=1  10:45:07
  scudo frag 256:1024 t=4 rep=1  10:45:11
  rpmalloc frag 256:1024 t=4 rep=1  10:45:20
  libc frag 256:1024 t=4 rep=2  10:45:26
  umem frag 256:1024 t=4 rep=2  10:45:34
  umem@null frag 256:1024 t=4 rep=2  10:45:42
  umem-preload frag 256:1024 t=4 rep=2  10:45:50
  umem-preload@null frag 256:1024 t=4 rep=2  10:45:58
  jemalloc frag 256:1024 t=4 rep=2  10:46:06
  tcmalloc frag 256:1024 t=4 rep=2  10:46:10
  mimalloc frag 256:1024 t=4 rep=2  10:46:16
  snmalloc frag 256:1024 t=4 rep=2  10:46:21
  scudo frag 256:1024 t=4 rep=2  10:46:26
  rpmalloc frag 256:1024 t=4 rep=2  10:46:35
  libc frag 256:1024 t=8 rep=1  10:46:41
  umem frag 256:1024 t=8 rep=1  10:46:46
  umem@null frag 256:1024 t=8 rep=1  10:46:50
  umem-preload frag 256:1024 t=8 rep=1  10:46:55
  umem-preload@null frag 256:1024 t=8 rep=1  10:47:00
  jemalloc frag 256:1024 t=8 rep=1  10:47:04
  tcmalloc frag 256:1024 t=8 rep=1  10:47:07
  mimalloc frag 256:1024 t=8 rep=1  10:47:11
  snmalloc frag 256:1024 t=8 rep=1  10:47:14
  scudo frag 256:1024 t=8 rep=1  10:47:17
  rpmalloc frag 256:1024 t=8 rep=1  10:47:23
  libc frag 256:1024 t=8 rep=2  10:47:25
  umem frag 256:1024 t=8 rep=2  10:47:31
  umem@null frag 256:1024 t=8 rep=2  10:47:35
  umem-preload frag 256:1024 t=8 rep=2  10:47:40
  umem-preload@null frag 256:1024 t=8 rep=2  10:47:44
  jemalloc frag 256:1024 t=8 rep=2  10:47:48
  tcmalloc frag 256:1024 t=8 rep=2  10:47:51
  mimalloc frag 256:1024 t=8 rep=2  10:47:55
  snmalloc frag 256:1024 t=8 rep=2  10:47:58
  scudo frag 256:1024 t=8 rep=2  10:48:01
  rpmalloc frag 256:1024 t=8 rep=2  10:48:06
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7g.2xlarge-aarch64/frag-mid/matrix.toml
