matrix: instance=c7g.2xlarge arch=aarch64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      16:64 64:256
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7g.2xlarge-aarch64/frag/matrix.toml
  libc frag 16:64 t=1 rep=1  09:32:55
  umem frag 16:64 t=1 rep=1  09:33:29
  umem@null frag 16:64 t=1 rep=1  09:34:08
  umem-preload frag 16:64 t=1 rep=1  09:34:46
  umem-preload@null frag 16:64 t=1 rep=1  09:35:26
  jemalloc frag 16:64 t=1 rep=1  09:36:06
  tcmalloc frag 16:64 t=1 rep=1  09:36:31
  mimalloc frag 16:64 t=1 rep=1  09:36:59
  snmalloc frag 16:64 t=1 rep=1  09:37:27
  scudo frag 16:64 t=1 rep=1  09:37:54
  rpmalloc frag 16:64 t=1 rep=1  09:38:33
  libc frag 16:64 t=1 rep=2  09:39:01
  umem frag 16:64 t=1 rep=2  09:39:34
  umem@null frag 16:64 t=1 rep=2  09:40:13
  umem-preload frag 16:64 t=1 rep=2  09:40:51
  umem-preload@null frag 16:64 t=1 rep=2  09:41:31
  jemalloc frag 16:64 t=1 rep=2  09:42:11
  tcmalloc frag 16:64 t=1 rep=2  09:42:36
  mimalloc frag 16:64 t=1 rep=2  09:43:04
  snmalloc frag 16:64 t=1 rep=2  09:43:32
  scudo frag 16:64 t=1 rep=2  09:43:59
  rpmalloc frag 16:64 t=1 rep=2  09:44:38
  libc frag 16:64 t=2 rep=1  09:45:06
  umem frag 16:64 t=2 rep=1  09:45:26
  umem@null frag 16:64 t=2 rep=1  09:45:52
  umem-preload frag 16:64 t=2 rep=1  09:46:17
  umem-preload@null frag 16:64 t=2 rep=1  09:46:42
  jemalloc frag 16:64 t=2 rep=1  09:47:07
  tcmalloc frag 16:64 t=2 rep=1  09:47:22
  mimalloc frag 16:64 t=2 rep=1  09:47:41
