matrix: instance=c7g.2xlarge arch=aarch64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7g.2xlarge-aarch64/multi/matrix.toml
  libc multi 16:64 t=1 rep=1  07:53:38
  umem multi 16:64 t=1 rep=1  07:53:50
  umem@null multi 16:64 t=1 rep=1  07:54:01
  umem-preload multi 16:64 t=1 rep=1  07:54:13
  umem-preload@null multi 16:64 t=1 rep=1  07:54:26
  jemalloc multi 16:64 t=1 rep=1  07:54:40
  tcmalloc multi 16:64 t=1 rep=1  07:54:51
  mimalloc multi 16:64 t=1 rep=1  07:55:02
  snmalloc multi 16:64 t=1 rep=1  07:55:14
  scudo multi 16:64 t=1 rep=1  07:55:26
  rpmalloc multi 16:64 t=1 rep=1  07:55:39
  libc multi 16:64 t=1 rep=2  07:55:51
  umem multi 16:64 t=1 rep=2  07:56:02
  umem@null multi 16:64 t=1 rep=2  07:56:14
  umem-preload multi 16:64 t=1 rep=2  07:56:25
  umem-preload@null multi 16:64 t=1 rep=2  07:56:39
  jemalloc multi 16:64 t=1 rep=2  07:56:52
  tcmalloc multi 16:64 t=1 rep=2  07:57:03
  mimalloc multi 16:64 t=1 rep=2  07:57:15
  snmalloc multi 16:64 t=1 rep=2  07:57:26
  scudo multi 16:64 t=1 rep=2  07:57:38
  rpmalloc multi 16:64 t=1 rep=2  07:57:51
  libc multi 16:64 t=2 rep=1  07:58:03
  umem multi 16:64 t=2 rep=1  07:58:09
  umem@null multi 16:64 t=2 rep=1  07:58:15
  umem-preload multi 16:64 t=2 rep=1  07:58:21
  umem-preload@null multi 16:64 t=2 rep=1  07:58:28
  jemalloc multi 16:64 t=2 rep=1  07:58:36
  tcmalloc multi 16:64 t=2 rep=1  07:58:41
  mimalloc multi 16:64 t=2 rep=1  07:58:47
  snmalloc multi 16:64 t=2 rep=1  07:58:53
  scudo multi 16:64 t=2 rep=1  07:58:59
  rpmalloc multi 16:64 t=2 rep=1  07:59:07
  libc multi 16:64 t=2 rep=2  07:59:13
  umem multi 16:64 t=2 rep=2  07:59:19
  umem@null multi 16:64 t=2 rep=2  07:59:25
  umem-preload multi 16:64 t=2 rep=2  07:59:30
