matrix: instance=c7g.2xlarge arch=aarch64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=10000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7g.2xlarge-aarch64/prodcons/matrix.toml
  libc prodcons 16:64 t=1 rep=1  08:31:48
  umem prodcons 16:64 t=1 rep=1  08:32:00
  umem@null prodcons 16:64 t=1 rep=1  08:32:13
  umem-preload prodcons 16:64 t=1 rep=1  08:32:26
  umem-preload@null prodcons 16:64 t=1 rep=1  08:32:40
  jemalloc prodcons 16:64 t=1 rep=1  08:32:54
  tcmalloc prodcons 16:64 t=1 rep=1  08:33:07
  mimalloc prodcons 16:64 t=1 rep=1  08:33:20
  snmalloc prodcons 16:64 t=1 rep=1  08:33:32
  scudo prodcons 16:64 t=1 rep=1  08:33:44
  rpmalloc prodcons 16:64 t=1 rep=1  08:33:58
  libc prodcons 16:64 t=1 rep=2  08:34:11
  umem prodcons 16:64 t=1 rep=2  08:34:23
  umem@null prodcons 16:64 t=1 rep=2  08:34:36
  umem-preload prodcons 16:64 t=1 rep=2  08:34:49
  umem-preload@null prodcons 16:64 t=1 rep=2  08:35:02
  jemalloc prodcons 16:64 t=1 rep=2  08:35:16
  tcmalloc prodcons 16:64 t=1 rep=2  08:35:29
  mimalloc prodcons 16:64 t=1 rep=2  08:35:42
  snmalloc prodcons 16:64 t=1 rep=2  08:35:54
  scudo prodcons 16:64 t=1 rep=2  08:36:06
  rpmalloc prodcons 16:64 t=1 rep=2  08:36:20
  libc prodcons 16:64 t=2 rep=1  08:36:33
  umem prodcons 16:64 t=2 rep=1  08:36:43
  umem@null prodcons 16:64 t=2 rep=1  08:36:49
  umem-preload prodcons 16:64 t=2 rep=1  08:36:55
  umem-preload@null prodcons 16:64 t=2 rep=1  08:37:02
  jemalloc prodcons 16:64 t=2 rep=1  08:37:08
  tcmalloc prodcons 16:64 t=2 rep=1  08:37:16
  mimalloc prodcons 16:64 t=2 rep=1  08:37:28
  snmalloc prodcons 16:64 t=2 rep=1  08:37:36
  scudo prodcons 16:64 t=2 rep=1  08:37:43
  rpmalloc prodcons 16:64 t=2 rep=1  08:37:53
  libc prodcons 16:64 t=2 rep=2  08:38:02
  umem prodcons 16:64 t=2 rep=2  08:38:13
  umem@null prodcons 16:64 t=2 rep=2  08:38:18
  umem-preload prodcons 16:64 t=2 rep=2  08:38:24
  umem-preload@null prodcons 16:64 t=2 rep=2  08:38:31
  jemalloc prodcons 16:64 t=2 rep=2  08:38:38
  tcmalloc prodcons 16:64 t=2 rep=2  08:38:46
  mimalloc prodcons 16:64 t=2 rep=2  08:38:57
  snmalloc prodcons 16:64 t=2 rep=2  08:39:05
  scudo prodcons 16:64 t=2 rep=2  08:39:12
  rpmalloc prodcons 16:64 t=2 rep=2  08:39:22
  libc prodcons 16:64 t=4 rep=1  08:39:31
  umem prodcons 16:64 t=4 rep=1  08:39:38
  umem@null prodcons 16:64 t=4 rep=1  08:39:43
  umem-preload prodcons 16:64 t=4 rep=1  08:39:47
  umem-preload@null prodcons 16:64 t=4 rep=1  08:39:52
  jemalloc prodcons 16:64 t=4 rep=1  08:39:58
  tcmalloc prodcons 16:64 t=4 rep=1  08:40:06
  mimalloc prodcons 16:64 t=4 rep=1  08:40:15
  snmalloc prodcons 16:64 t=4 rep=1  08:40:22
  scudo prodcons 16:64 t=4 rep=1  08:40:26
  rpmalloc prodcons 16:64 t=4 rep=1  08:40:36
  libc prodcons 16:64 t=4 rep=2  08:40:42
  umem prodcons 16:64 t=4 rep=2  08:40:50
  umem@null prodcons 16:64 t=4 rep=2  08:40:54
  umem-preload prodcons 16:64 t=4 rep=2  08:40:59
  umem-preload@null prodcons 16:64 t=4 rep=2  08:41:04
  jemalloc prodcons 16:64 t=4 rep=2  08:41:09
  tcmalloc prodcons 16:64 t=4 rep=2  08:41:17
  mimalloc prodcons 16:64 t=4 rep=2  08:41:26
  snmalloc prodcons 16:64 t=4 rep=2  08:41:33
  scudo prodcons 16:64 t=4 rep=2  08:41:37
  rpmalloc prodcons 16:64 t=4 rep=2  08:41:48
  libc prodcons 16:64 t=8 rep=1  08:41:54
  umem prodcons 16:64 t=8 rep=1  08:41:59
  umem@null prodcons 16:64 t=8 rep=1  08:42:07
  umem-preload prodcons 16:64 t=8 rep=1  08:42:14
  umem-preload@null prodcons 16:64 t=8 rep=1  08:42:17
  jemalloc prodcons 16:64 t=8 rep=1  08:42:21
  tcmalloc prodcons 16:64 t=8 rep=1  08:42:29
  mimalloc prodcons 16:64 t=8 rep=1  08:42:37
  snmalloc prodcons 16:64 t=8 rep=1  08:42:45
  scudo prodcons 16:64 t=8 rep=1  08:42:53
  rpmalloc prodcons 16:64 t=8 rep=1  08:43:04
  libc prodcons 16:64 t=8 rep=2  08:43:11
  umem prodcons 16:64 t=8 rep=2  08:43:17
  umem@null prodcons 16:64 t=8 rep=2  08:43:22
  umem-preload prodcons 16:64 t=8 rep=2  08:43:31
  umem-preload@null prodcons 16:64 t=8 rep=2  08:43:36
  jemalloc prodcons 16:64 t=8 rep=2  08:43:40
  tcmalloc prodcons 16:64 t=8 rep=2  08:43:48
  mimalloc prodcons 16:64 t=8 rep=2  08:43:58
  snmalloc prodcons 16:64 t=8 rep=2  08:44:04
  scudo prodcons 16:64 t=8 rep=2  08:44:12
  rpmalloc prodcons 16:64 t=8 rep=2  08:44:20
  libc prodcons 64:256 t=1 rep=1  08:44:29
  umem prodcons 64:256 t=1 rep=1  08:44:42
  umem@null prodcons 64:256 t=1 rep=1  08:44:57
  umem-preload prodcons 64:256 t=1 rep=1  08:45:11
  umem-preload@null prodcons 64:256 t=1 rep=1  08:45:27
  jemalloc prodcons 64:256 t=1 rep=1  08:45:42
  tcmalloc prodcons 64:256 t=1 rep=1  08:45:56
  mimalloc prodcons 64:256 t=1 rep=1  08:46:08
  snmalloc prodcons 64:256 t=1 rep=1  08:46:20
  scudo prodcons 64:256 t=1 rep=1  08:46:33
  rpmalloc prodcons 64:256 t=1 rep=1  08:46:48
  libc prodcons 64:256 t=1 rep=2  08:47:01
  umem prodcons 64:256 t=1 rep=2  08:47:14
  umem@null prodcons 64:256 t=1 rep=2  08:47:29
  umem-preload prodcons 64:256 t=1 rep=2  08:47:44
  umem-preload@null prodcons 64:256 t=1 rep=2  08:47:59
  jemalloc prodcons 64:256 t=1 rep=2  08:48:14
  tcmalloc prodcons 64:256 t=1 rep=2  08:48:27
  mimalloc prodcons 64:256 t=1 rep=2  08:48:40
  snmalloc prodcons 64:256 t=1 rep=2  08:48:52
  scudo prodcons 64:256 t=1 rep=2  08:49:04
  rpmalloc prodcons 64:256 t=1 rep=2  08:49:20
  libc prodcons 64:256 t=2 rep=1  08:49:33
  umem prodcons 64:256 t=2 rep=1  08:49:53
  umem@null prodcons 64:256 t=2 rep=1  08:49:59
  umem-preload prodcons 64:256 t=2 rep=1  08:50:05
  umem-preload@null prodcons 64:256 t=2 rep=1  08:50:12
  jemalloc prodcons 64:256 t=2 rep=1  08:50:18
  tcmalloc prodcons 64:256 t=2 rep=1  08:50:26
  mimalloc prodcons 64:256 t=2 rep=1  08:50:36
  snmalloc prodcons 64:256 t=2 rep=1  08:50:45
  scudo prodcons 64:256 t=2 rep=1  08:50:51
  rpmalloc prodcons 64:256 t=2 rep=1  08:51:03
  libc prodcons 64:256 t=2 rep=2  08:51:11
  umem prodcons 64:256 t=2 rep=2  08:51:32
  umem@null prodcons 64:256 t=2 rep=2  08:51:38
  umem-preload prodcons 64:256 t=2 rep=2  08:51:44
  umem-preload@null prodcons 64:256 t=2 rep=2  08:51:51
  jemalloc prodcons 64:256 t=2 rep=2  08:51:57
  tcmalloc prodcons 64:256 t=2 rep=2  08:52:05
  mimalloc prodcons 64:256 t=2 rep=2  08:52:15
  snmalloc prodcons 64:256 t=2 rep=2  08:52:24
  scudo prodcons 64:256 t=2 rep=2  08:52:31
  rpmalloc prodcons 64:256 t=2 rep=2  08:52:42
  libc prodcons 64:256 t=4 rep=1  08:52:51
  umem prodcons 64:256 t=4 rep=1  08:53:04
  umem@null prodcons 64:256 t=4 rep=1  08:53:09
  umem-preload prodcons 64:256 t=4 rep=1  08:53:13
  umem-preload@null prodcons 64:256 t=4 rep=1  08:53:19
  jemalloc prodcons 64:256 t=4 rep=1  08:53:25
  tcmalloc prodcons 64:256 t=4 rep=1  08:53:32
  mimalloc prodcons 64:256 t=4 rep=1  08:53:41
  snmalloc prodcons 64:256 t=4 rep=1  08:53:47
  scudo prodcons 64:256 t=4 rep=1  08:53:52
  rpmalloc prodcons 64:256 t=4 rep=1  08:54:03
  libc prodcons 64:256 t=4 rep=2  08:54:10
  umem prodcons 64:256 t=4 rep=2  08:54:22
  umem@null prodcons 64:256 t=4 rep=2  08:54:27
  umem-preload prodcons 64:256 t=4 rep=2  08:54:33
  umem-preload@null prodcons 64:256 t=4 rep=2  08:54:38
  jemalloc prodcons 64:256 t=4 rep=2  08:54:44
  tcmalloc prodcons 64:256 t=4 rep=2  08:54:51
  mimalloc prodcons 64:256 t=4 rep=2  08:54:59
  snmalloc prodcons 64:256 t=4 rep=2  08:55:06
  scudo prodcons 64:256 t=4 rep=2  08:55:11
  rpmalloc prodcons 64:256 t=4 rep=2  08:55:22
  libc prodcons 64:256 t=8 rep=1  08:55:29
  umem prodcons 64:256 t=8 rep=1  08:55:36
  umem@null prodcons 64:256 t=8 rep=1  08:55:43
  umem-preload prodcons 64:256 t=8 rep=1  08:55:51
  umem-preload@null prodcons 64:256 t=8 rep=1  08:55:56
  jemalloc prodcons 64:256 t=8 rep=1  08:56:00
  tcmalloc prodcons 64:256 t=8 rep=1  08:56:06
  mimalloc prodcons 64:256 t=8 rep=1  08:56:11
  snmalloc prodcons 64:256 t=8 rep=1  08:56:18
  scudo prodcons 64:256 t=8 rep=1  08:56:27
  rpmalloc prodcons 64:256 t=8 rep=1  08:56:37
  libc prodcons 64:256 t=8 rep=2  08:56:46
  umem prodcons 64:256 t=8 rep=2  08:56:54
  umem@null prodcons 64:256 t=8 rep=2  08:57:00
  umem-preload prodcons 64:256 t=8 rep=2  08:57:07
  umem-preload@null prodcons 64:256 t=8 rep=2  08:57:12
  jemalloc prodcons 64:256 t=8 rep=2  08:57:16
  tcmalloc prodcons 64:256 t=8 rep=2  08:57:25
  mimalloc prodcons 64:256 t=8 rep=2  08:57:31
  snmalloc prodcons 64:256 t=8 rep=2  08:57:35
  scudo prodcons 64:256 t=8 rep=2  08:57:43
  rpmalloc prodcons 64:256 t=8 rep=2  08:57:52
  libc prodcons 256:1024 t=1 rep=1  08:57:59
  umem prodcons 256:1024 t=1 rep=1  08:58:14
  umem@null prodcons 256:1024 t=1 rep=1  08:58:28
  umem-preload prodcons 256:1024 t=1 rep=1  08:58:41
  umem-preload@null prodcons 256:1024 t=1 rep=1  08:58:56
  jemalloc prodcons 256:1024 t=1 rep=1  08:59:11
  tcmalloc prodcons 256:1024 t=1 rep=1  08:59:25
  mimalloc prodcons 256:1024 t=1 rep=1  08:59:39
  snmalloc prodcons 256:1024 t=1 rep=1  08:59:52
  scudo prodcons 256:1024 t=1 rep=1  09:00:06
  rpmalloc prodcons 256:1024 t=1 rep=1  09:00:28
  libc prodcons 256:1024 t=1 rep=2  09:00:46
  umem prodcons 256:1024 t=1 rep=2  09:01:01
  umem@null prodcons 256:1024 t=1 rep=2  09:01:15
  umem-preload prodcons 256:1024 t=1 rep=2  09:01:29
  umem-preload@null prodcons 256:1024 t=1 rep=2  09:01:43
  jemalloc prodcons 256:1024 t=1 rep=2  09:01:58
  tcmalloc prodcons 256:1024 t=1 rep=2  09:02:12
  mimalloc prodcons 256:1024 t=1 rep=2  09:02:26
  snmalloc prodcons 256:1024 t=1 rep=2  09:02:39
  scudo prodcons 256:1024 t=1 rep=2  09:02:53
  rpmalloc prodcons 256:1024 t=1 rep=2  09:03:14
  libc prodcons 256:1024 t=2 rep=1  09:03:33
  umem prodcons 256:1024 t=2 rep=1  09:03:58
  umem@null prodcons 256:1024 t=2 rep=1  09:04:05
  umem-preload prodcons 256:1024 t=2 rep=1  09:04:12
  umem-preload@null prodcons 256:1024 t=2 rep=1  09:04:19
  jemalloc prodcons 256:1024 t=2 rep=1  09:04:26
  tcmalloc prodcons 256:1024 t=2 rep=1  09:04:34
  mimalloc prodcons 256:1024 t=2 rep=1  09:04:45
  snmalloc prodcons 256:1024 t=2 rep=1  09:04:53
  scudo prodcons 256:1024 t=2 rep=1  09:05:01
  rpmalloc prodcons 256:1024 t=2 rep=1  09:05:16
  libc prodcons 256:1024 t=2 rep=2  09:05:24
  umem prodcons 256:1024 t=2 rep=2  09:05:48
  umem@null prodcons 256:1024 t=2 rep=2  09:05:55
  umem-preload prodcons 256:1024 t=2 rep=2  09:06:02
  umem-preload@null prodcons 256:1024 t=2 rep=2  09:06:09
  jemalloc prodcons 256:1024 t=2 rep=2  09:06:17
  tcmalloc prodcons 256:1024 t=2 rep=2  09:06:24
  mimalloc prodcons 256:1024 t=2 rep=2  09:06:35
  snmalloc prodcons 256:1024 t=2 rep=2  09:06:44
  scudo prodcons 256:1024 t=2 rep=2  09:06:51
  rpmalloc prodcons 256:1024 t=2 rep=2  09:07:06
  libc prodcons 256:1024 t=4 rep=1  09:07:14
  umem prodcons 256:1024 t=4 rep=1  09:07:29
  umem@null prodcons 256:1024 t=4 rep=1  09:07:35
  umem-preload prodcons 256:1024 t=4 rep=1  09:07:40
  umem-preload@null prodcons 256:1024 t=4 rep=1  09:07:46
  jemalloc prodcons 256:1024 t=4 rep=1  09:07:51
  tcmalloc prodcons 256:1024 t=4 rep=1  09:07:59
  mimalloc prodcons 256:1024 t=4 rep=1  09:08:08
  snmalloc prodcons 256:1024 t=4 rep=1  09:08:15
  scudo prodcons 256:1024 t=4 rep=1  09:08:20
  rpmalloc prodcons 256:1024 t=4 rep=1  09:08:33
  libc prodcons 256:1024 t=4 rep=2  09:08:40
  umem prodcons 256:1024 t=4 rep=2  09:08:55
  umem@null prodcons 256:1024 t=4 rep=2  09:09:00
  umem-preload prodcons 256:1024 t=4 rep=2  09:09:06
  umem-preload@null prodcons 256:1024 t=4 rep=2  09:09:12
  jemalloc prodcons 256:1024 t=4 rep=2  09:09:18
  tcmalloc prodcons 256:1024 t=4 rep=2  09:09:26
  mimalloc prodcons 256:1024 t=4 rep=2  09:09:34
  snmalloc prodcons 256:1024 t=4 rep=2  09:09:41
  scudo prodcons 256:1024 t=4 rep=2  09:09:46
  rpmalloc prodcons 256:1024 t=4 rep=2  09:10:01
  libc prodcons 256:1024 t=8 rep=1  09:10:07
  umem prodcons 256:1024 t=8 rep=1  09:10:15
  umem@null prodcons 256:1024 t=8 rep=1  09:10:21
  umem-preload prodcons 256:1024 t=8 rep=1  09:10:27
  umem-preload@null prodcons 256:1024 t=8 rep=1  09:10:32
  jemalloc prodcons 256:1024 t=8 rep=1  09:10:36
  tcmalloc prodcons 256:1024 t=8 rep=1  09:10:45
  mimalloc prodcons 256:1024 t=8 rep=1  09:10:51
  snmalloc prodcons 256:1024 t=8 rep=1  09:10:59
  scudo prodcons 256:1024 t=8 rep=1  09:11:05
  rpmalloc prodcons 256:1024 t=8 rep=1  09:11:21
  libc prodcons 256:1024 t=8 rep=2  09:11:26
  umem prodcons 256:1024 t=8 rep=2  09:11:34
  umem@null prodcons 256:1024 t=8 rep=2  09:11:41
  umem-preload prodcons 256:1024 t=8 rep=2  09:11:47
  umem-preload@null prodcons 256:1024 t=8 rep=2  09:11:51
  jemalloc prodcons 256:1024 t=8 rep=2  09:11:56
  tcmalloc prodcons 256:1024 t=8 rep=2  09:12:04
  mimalloc prodcons 256:1024 t=8 rep=2  09:12:10
  snmalloc prodcons 256:1024 t=8 rep=2  09:12:18
  scudo prodcons 256:1024 t=8 rep=2  09:12:24
  rpmalloc prodcons 256:1024 t=8 rep=2  09:12:40
  libc prodcons 1024:4096 t=1 rep=1  09:12:48
  umem prodcons 1024:4096 t=1 rep=1  09:13:13
  umem@null prodcons 1024:4096 t=1 rep=1  09:13:35
  umem-preload prodcons 1024:4096 t=1 rep=1  09:13:58
  umem-preload@null prodcons 1024:4096 t=1 rep=1  09:14:21
  jemalloc prodcons 1024:4096 t=1 rep=1  09:14:46
  tcmalloc prodcons 1024:4096 t=1 rep=1  09:15:04
  mimalloc prodcons 1024:4096 t=1 rep=1  09:15:27
  snmalloc prodcons 1024:4096 t=1 rep=1  09:15:48
  scudo prodcons 1024:4096 t=1 rep=1  09:16:10
  rpmalloc prodcons 1024:4096 t=1 rep=1  09:16:41
  libc prodcons 1024:4096 t=1 rep=2  09:17:37
  umem prodcons 1024:4096 t=1 rep=2  09:18:03
  umem@null prodcons 1024:4096 t=1 rep=2  09:18:25
  umem-preload prodcons 1024:4096 t=1 rep=2  09:18:47
  umem-preload@null prodcons 1024:4096 t=1 rep=2  09:19:11
  jemalloc prodcons 1024:4096 t=1 rep=2  09:19:35
  tcmalloc prodcons 1024:4096 t=1 rep=2  09:19:54
  mimalloc prodcons 1024:4096 t=1 rep=2  09:20:16
