matrix: instance=c7i.2xlarge arch=x86_64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=3200000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.2xlarge-x86_64/frag-big/matrix.toml
  libc frag 1024:4096 t=1 rep=1  11:14:21
  umem frag 1024:4096 t=1 rep=1  11:14:41
  umem@null frag 1024:4096 t=1 rep=1  11:14:53
  umem-preload frag 1024:4096 t=1 rep=1  11:15:06
  umem-preload@null frag 1024:4096 t=1 rep=1  11:15:18
  jemalloc frag 1024:4096 t=1 rep=1  11:15:31
  tcmalloc frag 1024:4096 t=1 rep=1  11:15:47
  mimalloc frag 1024:4096 t=1 rep=1  11:15:58
  snmalloc frag 1024:4096 t=1 rep=1  11:16:14
  scudo frag 1024:4096 t=1 rep=1  11:16:25
  rpmalloc frag 1024:4096 t=1 rep=1  11:16:39
  libc frag 1024:4096 t=1 rep=2  11:16:52
  umem frag 1024:4096 t=1 rep=2  11:17:11
  umem@null frag 1024:4096 t=1 rep=2  11:17:24
  umem-preload frag 1024:4096 t=1 rep=2  11:17:36
  umem-preload@null frag 1024:4096 t=1 rep=2  11:17:49
  jemalloc frag 1024:4096 t=1 rep=2  11:18:02
  tcmalloc frag 1024:4096 t=1 rep=2  11:18:17
  mimalloc frag 1024:4096 t=1 rep=2  11:18:29
  snmalloc frag 1024:4096 t=1 rep=2  11:18:44
  scudo frag 1024:4096 t=1 rep=2  11:18:55
  rpmalloc frag 1024:4096 t=1 rep=2  11:19:09
  libc frag 1024:4096 t=2 rep=1  11:19:22
  umem frag 1024:4096 t=2 rep=1  11:19:32
  umem@null frag 1024:4096 t=2 rep=1  11:19:39
  umem-preload frag 1024:4096 t=2 rep=1  11:19:46
  umem-preload@null frag 1024:4096 t=2 rep=1  11:19:54
  jemalloc frag 1024:4096 t=2 rep=1  11:20:02
  tcmalloc frag 1024:4096 t=2 rep=1  11:20:10
  mimalloc frag 1024:4096 t=2 rep=1  11:20:17
  snmalloc frag 1024:4096 t=2 rep=1  11:20:24
  scudo frag 1024:4096 t=2 rep=1  11:20:30
  rpmalloc frag 1024:4096 t=2 rep=1  11:20:39
  libc frag 1024:4096 t=2 rep=2  11:20:46
  umem frag 1024:4096 t=2 rep=2  11:20:56
  umem@null frag 1024:4096 t=2 rep=2  11:21:04
  umem-preload frag 1024:4096 t=2 rep=2  11:21:11
  umem-preload@null frag 1024:4096 t=2 rep=2  11:21:18
  jemalloc frag 1024:4096 t=2 rep=2  11:21:26
  tcmalloc frag 1024:4096 t=2 rep=2  11:21:34
  mimalloc frag 1024:4096 t=2 rep=2  11:21:41
  snmalloc frag 1024:4096 t=2 rep=2  11:21:48
  scudo frag 1024:4096 t=2 rep=2  11:21:54
  rpmalloc frag 1024:4096 t=2 rep=2  11:22:03
  libc frag 1024:4096 t=4 rep=1  11:22:09
  umem frag 1024:4096 t=4 rep=1  11:22:15
  umem@null frag 1024:4096 t=4 rep=1  11:22:20
  umem-preload frag 1024:4096 t=4 rep=1  11:22:24
  umem-preload@null frag 1024:4096 t=4 rep=1  11:22:29
  jemalloc frag 1024:4096 t=4 rep=1  11:22:33
  tcmalloc frag 1024:4096 t=4 rep=1  11:22:38
  mimalloc frag 1024:4096 t=4 rep=1  11:22:42
  snmalloc frag 1024:4096 t=4 rep=1  11:22:45
  scudo frag 1024:4096 t=4 rep=1  11:22:49
  rpmalloc frag 1024:4096 t=4 rep=1  11:22:54
  libc frag 1024:4096 t=4 rep=2  11:22:57
  umem frag 1024:4096 t=4 rep=2  11:23:04
  umem@null frag 1024:4096 t=4 rep=2  11:23:08
  umem-preload frag 1024:4096 t=4 rep=2  11:23:12
  umem-preload@null frag 1024:4096 t=4 rep=2  11:23:17
  jemalloc frag 1024:4096 t=4 rep=2  11:23:22
  tcmalloc frag 1024:4096 t=4 rep=2  11:23:26
  mimalloc frag 1024:4096 t=4 rep=2  11:23:30
  snmalloc frag 1024:4096 t=4 rep=2  11:23:33
  scudo frag 1024:4096 t=4 rep=2  11:23:37
  rpmalloc frag 1024:4096 t=4 rep=2  11:23:42
  libc frag 1024:4096 t=8 rep=1  11:23:46
  umem frag 1024:4096 t=8 rep=1  11:23:50
  umem@null frag 1024:4096 t=8 rep=1  11:23:53
  umem-preload frag 1024:4096 t=8 rep=1  11:23:56
  umem-preload@null frag 1024:4096 t=8 rep=1  11:23:59
  jemalloc frag 1024:4096 t=8 rep=1  11:24:02
  tcmalloc frag 1024:4096 t=8 rep=1  11:24:05
  mimalloc frag 1024:4096 t=8 rep=1  11:24:07
  snmalloc frag 1024:4096 t=8 rep=1  11:24:09
  scudo frag 1024:4096 t=8 rep=1  11:24:12
  rpmalloc frag 1024:4096 t=8 rep=1  11:24:15
  libc frag 1024:4096 t=8 rep=2  11:24:18
  umem frag 1024:4096 t=8 rep=2  11:24:22
  umem@null frag 1024:4096 t=8 rep=2  11:24:25
  umem-preload frag 1024:4096 t=8 rep=2  11:24:28
  umem-preload@null frag 1024:4096 t=8 rep=2  11:24:31
  jemalloc frag 1024:4096 t=8 rep=2  11:24:34
  tcmalloc frag 1024:4096 t=8 rep=2  11:24:37
  mimalloc frag 1024:4096 t=8 rep=2  11:24:39
  snmalloc frag 1024:4096 t=8 rep=2  11:24:41
  scudo frag 1024:4096 t=8 rep=2  11:24:44
  rpmalloc frag 1024:4096 t=8 rep=2  11:24:47
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.2xlarge-x86_64/frag-big/matrix.toml
