matrix: instance=c7i.2xlarge arch=x86_64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      256:1024
  runs=3 warmups=1 replicates=2 pin=1 ops=8000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.2xlarge-x86_64/frag-mid/matrix.toml
  libc frag 256:1024 t=1 rep=1  10:58:46
  umem frag 256:1024 t=1 rep=1  10:59:17
  umem@null frag 256:1024 t=1 rep=1  10:59:37
  umem-preload frag 256:1024 t=1 rep=1  10:59:57
  umem-preload@null frag 256:1024 t=1 rep=1  11:00:17
  jemalloc frag 256:1024 t=1 rep=1  11:00:38
  tcmalloc frag 256:1024 t=1 rep=1  11:00:54
  mimalloc frag 256:1024 t=1 rep=1  11:01:11
  snmalloc frag 256:1024 t=1 rep=1  11:01:26
  scudo frag 256:1024 t=1 rep=1  11:01:39
  rpmalloc frag 256:1024 t=1 rep=1  11:02:03
  libc frag 256:1024 t=1 rep=2  11:02:19
  umem frag 256:1024 t=1 rep=2  11:02:50
  umem@null frag 256:1024 t=1 rep=2  11:03:10
  umem-preload frag 256:1024 t=1 rep=2  11:03:30
  umem-preload@null frag 256:1024 t=1 rep=2  11:03:50
  jemalloc frag 256:1024 t=1 rep=2  11:04:10
  tcmalloc frag 256:1024 t=1 rep=2  11:04:27
  mimalloc frag 256:1024 t=1 rep=2  11:04:44
  snmalloc frag 256:1024 t=1 rep=2  11:04:58
  scudo frag 256:1024 t=1 rep=2  11:05:12
  rpmalloc frag 256:1024 t=1 rep=2  11:05:36
  libc frag 256:1024 t=2 rep=1  11:05:51
  umem frag 256:1024 t=2 rep=1  11:06:07
  umem@null frag 256:1024 t=2 rep=1  11:06:19
  umem-preload frag 256:1024 t=2 rep=1  11:06:32
  umem-preload@null frag 256:1024 t=2 rep=1  11:06:46
  jemalloc frag 256:1024 t=2 rep=1  11:07:01
  tcmalloc frag 256:1024 t=2 rep=1  11:07:11
  mimalloc frag 256:1024 t=2 rep=1  11:07:20
  snmalloc frag 256:1024 t=2 rep=1  11:07:29
  scudo frag 256:1024 t=2 rep=1  11:07:36
  rpmalloc frag 256:1024 t=2 rep=1  11:07:52
  libc frag 256:1024 t=2 rep=2  11:08:00
  umem frag 256:1024 t=2 rep=2  11:08:16
  umem@null frag 256:1024 t=2 rep=2  11:08:29
  umem-preload frag 256:1024 t=2 rep=2  11:08:42
  umem-preload@null frag 256:1024 t=2 rep=2  11:08:56
  jemalloc frag 256:1024 t=2 rep=2  11:09:11
  tcmalloc frag 256:1024 t=2 rep=2  11:09:20
  mimalloc frag 256:1024 t=2 rep=2  11:09:30
  snmalloc frag 256:1024 t=2 rep=2  11:09:38
  scudo frag 256:1024 t=2 rep=2  11:09:45
  rpmalloc frag 256:1024 t=2 rep=2  11:10:01
  libc frag 256:1024 t=4 rep=1  11:10:10
  umem frag 256:1024 t=4 rep=1  11:10:19
  umem@null frag 256:1024 t=4 rep=1  11:10:27
  umem-preload frag 256:1024 t=4 rep=1  11:10:33
  umem-preload@null frag 256:1024 t=4 rep=1  11:10:42
  jemalloc frag 256:1024 t=4 rep=1  11:10:51
  tcmalloc frag 256:1024 t=4 rep=1  11:10:56
  mimalloc frag 256:1024 t=4 rep=1  11:11:02
  snmalloc frag 256:1024 t=4 rep=1  11:11:07
  scudo frag 256:1024 t=4 rep=1  11:11:11
  rpmalloc frag 256:1024 t=4 rep=1  11:11:20
  libc frag 256:1024 t=4 rep=2  11:11:26
  umem frag 256:1024 t=4 rep=2  11:11:34
  umem@null frag 256:1024 t=4 rep=2  11:11:42
  umem-preload frag 256:1024 t=4 rep=2  11:11:48
  umem-preload@null frag 256:1024 t=4 rep=2  11:11:57
  jemalloc frag 256:1024 t=4 rep=2  11:12:06
  tcmalloc frag 256:1024 t=4 rep=2  11:12:11
  mimalloc frag 256:1024 t=4 rep=2  11:12:17
  snmalloc frag 256:1024 t=4 rep=2  11:12:22
  scudo frag 256:1024 t=4 rep=2  11:12:28
  rpmalloc frag 256:1024 t=4 rep=2  11:12:37
  libc frag 256:1024 t=8 rep=1  11:12:42
  umem frag 256:1024 t=8 rep=1  11:12:48
  umem@null frag 256:1024 t=8 rep=1  11:12:53
  umem-preload frag 256:1024 t=8 rep=1  11:12:58
  umem-preload@null frag 256:1024 t=8 rep=1  11:13:03
  jemalloc frag 256:1024 t=8 rep=1  11:13:09
  tcmalloc frag 256:1024 t=8 rep=1  11:13:12
  mimalloc frag 256:1024 t=8 rep=1  11:13:16
  snmalloc frag 256:1024 t=8 rep=1  11:13:19
  scudo frag 256:1024 t=8 rep=1  11:13:22
  rpmalloc frag 256:1024 t=8 rep=1  11:13:28
  libc frag 256:1024 t=8 rep=2  11:13:31
  umem frag 256:1024 t=8 rep=2  11:13:37
  umem@null frag 256:1024 t=8 rep=2  11:13:42
  umem-preload frag 256:1024 t=8 rep=2  11:13:47
  umem-preload@null frag 256:1024 t=8 rep=2  11:13:53
  jemalloc frag 256:1024 t=8 rep=2  11:13:58
  tcmalloc frag 256:1024 t=8 rep=2  11:14:02
  mimalloc frag 256:1024 t=8 rep=2  11:14:06
  snmalloc frag 256:1024 t=8 rep=2  11:14:09
  scudo frag 256:1024 t=8 rep=2  11:14:12
  rpmalloc frag 256:1024 t=8 rep=2  11:14:17
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.2xlarge-x86_64/frag-mid/matrix.toml
