matrix: instance=c7i.2xlarge arch=x86_64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      16:64 64:256
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.2xlarge-x86_64/frag/matrix.toml
  libc frag 16:64 t=1 rep=1  09:57:07
  umem frag 16:64 t=1 rep=1  09:57:48
  umem@null frag 16:64 t=1 rep=1  09:58:27
  umem-preload frag 16:64 t=1 rep=1  09:59:05
  umem-preload@null frag 16:64 t=1 rep=1  09:59:44
  jemalloc frag 16:64 t=1 rep=1  10:00:23
  tcmalloc frag 16:64 t=1 rep=1  10:00:55
  mimalloc frag 16:64 t=1 rep=1  10:01:29
  snmalloc frag 16:64 t=1 rep=1  10:01:56
  scudo frag 16:64 t=1 rep=1  10:02:24
  rpmalloc frag 16:64 t=1 rep=1  10:03:04
  libc frag 16:64 t=1 rep=2  10:03:31
  umem frag 16:64 t=1 rep=2  10:04:13
  umem@null frag 16:64 t=1 rep=2  10:04:51
  umem-preload frag 16:64 t=1 rep=2  10:05:30
  umem-preload@null frag 16:64 t=1 rep=2  10:06:09
  jemalloc frag 16:64 t=1 rep=2  10:06:47
  tcmalloc frag 16:64 t=1 rep=2  10:07:19
  mimalloc frag 16:64 t=1 rep=2  10:07:53
  snmalloc frag 16:64 t=1 rep=2  10:08:20
  scudo frag 16:64 t=1 rep=2  10:08:48
  rpmalloc frag 16:64 t=1 rep=2  10:09:27
  libc frag 16:64 t=2 rep=1  10:09:55
  umem frag 16:64 t=2 rep=1  10:10:19
  umem@null frag 16:64 t=2 rep=1  10:10:42
  umem-preload frag 16:64 t=2 rep=1  10:11:07
  umem-preload@null frag 16:64 t=2 rep=1  10:11:36
  jemalloc frag 16:64 t=2 rep=1  10:12:03
  tcmalloc frag 16:64 t=2 rep=1  10:12:21
  mimalloc frag 16:64 t=2 rep=1  10:12:41
