matrix: instance=c7i.2xlarge arch=x86_64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.2xlarge-x86_64/multi/matrix.toml
  libc multi 16:64 t=1 rep=1  07:55:53
  umem multi 16:64 t=1 rep=1  07:56:09
  umem@null multi 16:64 t=1 rep=1  07:56:24
  umem-preload multi 16:64 t=1 rep=1  07:56:39
  umem-preload@null multi 16:64 t=1 rep=1  07:56:54
  jemalloc multi 16:64 t=1 rep=1  07:57:10
  tcmalloc multi 16:64 t=1 rep=1  07:57:26
  mimalloc multi 16:64 t=1 rep=1  07:57:42
  snmalloc multi 16:64 t=1 rep=1  07:57:56
  scudo multi 16:64 t=1 rep=1  07:58:11
  rpmalloc multi 16:64 t=1 rep=1  07:58:28
  libc multi 16:64 t=1 rep=2  07:58:44
  umem multi 16:64 t=1 rep=2  07:59:00
  umem@null multi 16:64 t=1 rep=2  07:59:15
  umem-preload multi 16:64 t=1 rep=2  07:59:29
  umem-preload@null multi 16:64 t=1 rep=2  07:59:45
  jemalloc multi 16:64 t=1 rep=2  08:00:01
  tcmalloc multi 16:64 t=1 rep=2  08:00:17
  mimalloc multi 16:64 t=1 rep=2  08:00:33
  snmalloc multi 16:64 t=1 rep=2  08:00:47
  scudo multi 16:64 t=1 rep=2  08:01:02
  rpmalloc multi 16:64 t=1 rep=2  08:01:19
  libc multi 16:64 t=2 rep=1  08:01:35
  umem multi 16:64 t=2 rep=1  08:01:44
  umem@null multi 16:64 t=2 rep=1  08:01:52
  umem-preload multi 16:64 t=2 rep=1  08:02:00
  umem-preload@null multi 16:64 t=2 rep=1  08:02:11
  jemalloc multi 16:64 t=2 rep=1  08:02:22
  tcmalloc multi 16:64 t=2 rep=1  08:02:30
  mimalloc multi 16:64 t=2 rep=1  08:02:39
  snmalloc multi 16:64 t=2 rep=1  08:02:47
  scudo multi 16:64 t=2 rep=1  08:02:55
  rpmalloc multi 16:64 t=2 rep=1  08:03:06
  libc multi 16:64 t=2 rep=2  08:03:14
  umem multi 16:64 t=2 rep=2  08:03:23
  umem@null multi 16:64 t=2 rep=2  08:03:31
  umem-preload multi 16:64 t=2 rep=2  08:03:40
