matrix: instance=c7i.2xlarge arch=x86_64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.2xlarge-x86_64/single/matrix.toml
  libc single 16:64 t=1 rep=1  07:31:55
  umem single 16:64 t=1 rep=1  07:32:12
  umem@null single 16:64 t=1 rep=1  07:32:27
  umem-preload single 16:64 t=1 rep=1  07:32:43
  umem-preload@null single 16:64 t=1 rep=1  07:33:00
  jemalloc single 16:64 t=1 rep=1  07:33:17
  tcmalloc single 16:64 t=1 rep=1  07:33:33
  mimalloc single 16:64 t=1 rep=1  07:33:53
  snmalloc single 16:64 t=1 rep=1  07:34:08
  scudo single 16:64 t=1 rep=1  07:34:25
  rpmalloc single 16:64 t=1 rep=1  07:34:42
  libc single 16:64 t=1 rep=2  07:34:59
  umem single 16:64 t=1 rep=2  07:35:15
  umem@null single 16:64 t=1 rep=2  07:35:30
  umem-preload single 16:64 t=1 rep=2  07:35:45
  umem-preload@null single 16:64 t=1 rep=2  07:36:03
  jemalloc single 16:64 t=1 rep=2  07:36:20
  tcmalloc single 16:64 t=1 rep=2  07:36:36
  mimalloc single 16:64 t=1 rep=2  07:36:56
  snmalloc single 16:64 t=1 rep=2  07:37:11
  scudo single 16:64 t=1 rep=2  07:37:27
  rpmalloc single 16:64 t=1 rep=2  07:37:45
  libc single 64:256 t=1 rep=1  07:38:01
  umem single 64:256 t=1 rep=1  07:38:18
  umem@null single 64:256 t=1 rep=1  07:38:33
  umem-preload single 64:256 t=1 rep=1  07:38:47
  umem-preload@null single 64:256 t=1 rep=1  07:39:03
  jemalloc single 64:256 t=1 rep=1  07:39:18
  tcmalloc single 64:256 t=1 rep=1  07:39:35
  mimalloc single 64:256 t=1 rep=1  07:39:50
  snmalloc single 64:256 t=1 rep=1  07:40:03
  scudo single 64:256 t=1 rep=1  07:40:20
  rpmalloc single 64:256 t=1 rep=1  07:40:37
  libc single 64:256 t=1 rep=2  07:40:51
  umem single 64:256 t=1 rep=2  07:41:07
  umem@null single 64:256 t=1 rep=2  07:41:22
  umem-preload single 64:256 t=1 rep=2  07:41:36
  umem-preload@null single 64:256 t=1 rep=2  07:41:52
  jemalloc single 64:256 t=1 rep=2  07:42:07
  tcmalloc single 64:256 t=1 rep=2  07:42:24
  mimalloc single 64:256 t=1 rep=2  07:42:40
  snmalloc single 64:256 t=1 rep=2  07:42:53
  scudo single 64:256 t=1 rep=2  07:43:09
  rpmalloc single 64:256 t=1 rep=2  07:43:26
  libc single 256:1024 t=1 rep=1  07:43:40
  umem single 256:1024 t=1 rep=1  07:43:55
  umem@null single 256:1024 t=1 rep=1  07:44:10
  umem-preload single 256:1024 t=1 rep=1  07:44:25
  umem-preload@null single 256:1024 t=1 rep=1  07:44:41
  jemalloc single 256:1024 t=1 rep=1  07:44:57
  tcmalloc single 256:1024 t=1 rep=1  07:45:14
  mimalloc single 256:1024 t=1 rep=1  07:45:30
  snmalloc single 256:1024 t=1 rep=1  07:45:43
  scudo single 256:1024 t=1 rep=1  07:46:00
  rpmalloc single 256:1024 t=1 rep=1  07:46:20
  libc single 256:1024 t=1 rep=2  07:46:34
  umem single 256:1024 t=1 rep=2  07:46:50
  umem@null single 256:1024 t=1 rep=2  07:47:05
  umem-preload single 256:1024 t=1 rep=2  07:47:19
  umem-preload@null single 256:1024 t=1 rep=2  07:47:35
  jemalloc single 256:1024 t=1 rep=2  07:47:51
  tcmalloc single 256:1024 t=1 rep=2  07:48:08
  mimalloc single 256:1024 t=1 rep=2  07:48:24
  snmalloc single 256:1024 t=1 rep=2  07:48:37
  scudo single 256:1024 t=1 rep=2  07:48:54
  rpmalloc single 256:1024 t=1 rep=2  07:49:14
  libc single 1024:4096 t=1 rep=1  07:49:28
  umem single 1024:4096 t=1 rep=1  07:49:44
  umem@null single 1024:4096 t=1 rep=1  07:50:02
  umem-preload single 1024:4096 t=1 rep=1  07:50:19
  umem-preload@null single 1024:4096 t=1 rep=1  07:50:38
  jemalloc single 1024:4096 t=1 rep=1  07:50:56
  tcmalloc single 1024:4096 t=1 rep=1  07:51:14
  mimalloc single 1024:4096 t=1 rep=1  07:51:31
  snmalloc single 1024:4096 t=1 rep=1  07:51:47
  scudo single 1024:4096 t=1 rep=1  07:52:04
  rpmalloc single 1024:4096 t=1 rep=1  07:52:25
  libc single 1024:4096 t=1 rep=2  07:52:41
  umem single 1024:4096 t=1 rep=2  07:52:57
  umem@null single 1024:4096 t=1 rep=2  07:53:14
  umem-preload single 1024:4096 t=1 rep=2  07:53:32
  umem-preload@null single 1024:4096 t=1 rep=2  07:53:50
  jemalloc single 1024:4096 t=1 rep=2  07:54:08
  tcmalloc single 1024:4096 t=1 rep=2  07:54:26
  mimalloc single 1024:4096 t=1 rep=2  07:54:44
  snmalloc single 1024:4096 t=1 rep=2  07:54:59
  scudo single 1024:4096 t=1 rep=2  07:55:16
  rpmalloc single 1024:4096 t=1 rep=2  07:55:37
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.2xlarge-x86_64/single/matrix.toml
