matrix: instance=c7i.metal-48xl arch=x86_64 vcpu=192 governor=performance
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64
  sizes:      256:1024
  runs=3 warmups=1 replicates=2 pin=1 ops=8000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.metal-48xl-x86_64/frag-mid/matrix.toml
  libc frag 256:1024 t=1 rep=1  16:17:04
  umem frag 256:1024 t=1 rep=1  16:17:32
  umem@null frag 256:1024 t=1 rep=1  16:18:08
  umem-preload frag 256:1024 t=1 rep=1  16:18:44
  umem-preload@null frag 256:1024 t=1 rep=1  16:19:21
  jemalloc frag 256:1024 t=1 rep=1  16:19:58
  tcmalloc frag 256:1024 t=1 rep=1  16:20:12
  mimalloc frag 256:1024 t=1 rep=1  16:20:32
  snmalloc frag 256:1024 t=1 rep=1  16:20:50
  scudo frag 256:1024 t=1 rep=1  16:21:06
  rpmalloc frag 256:1024 t=1 rep=1  16:21:32
  libc frag 256:1024 t=1 rep=2  16:21:51
  umem frag 256:1024 t=1 rep=2  16:22:19
  umem@null frag 256:1024 t=1 rep=2  16:22:55
  umem-preload frag 256:1024 t=1 rep=2  16:23:31
  umem-preload@null frag 256:1024 t=1 rep=2  16:24:08
  jemalloc frag 256:1024 t=1 rep=2  16:24:44
  tcmalloc frag 256:1024 t=1 rep=2  16:24:59
  mimalloc frag 256:1024 t=1 rep=2  16:25:19
  snmalloc frag 256:1024 t=1 rep=2  16:25:36
  scudo frag 256:1024 t=1 rep=2  16:25:53
  rpmalloc frag 256:1024 t=1 rep=2  16:26:19
  libc frag 256:1024 t=8 rep=1  16:26:38
  umem frag 256:1024 t=8 rep=1  16:26:43
  umem@null frag 256:1024 t=8 rep=1  16:26:56
  umem-preload frag 256:1024 t=8 rep=1  16:27:10
  umem-preload@null frag 256:1024 t=8 rep=1  16:27:25
  jemalloc frag 256:1024 t=8 rep=1  16:27:39
  tcmalloc frag 256:1024 t=8 rep=1  16:27:42
  mimalloc frag 256:1024 t=8 rep=1  16:27:47
  snmalloc frag 256:1024 t=8 rep=1  16:27:53
  scudo frag 256:1024 t=8 rep=1  16:27:57
  rpmalloc frag 256:1024 t=8 rep=1  16:28:03
  libc frag 256:1024 t=8 rep=2  16:28:07
  umem frag 256:1024 t=8 rep=2  16:28:13
  umem@null frag 256:1024 t=8 rep=2  16:28:27
  umem-preload frag 256:1024 t=8 rep=2  16:28:41
  umem-preload@null frag 256:1024 t=8 rep=2  16:28:55
  jemalloc frag 256:1024 t=8 rep=2  16:29:08
  tcmalloc frag 256:1024 t=8 rep=2  16:29:12
  mimalloc frag 256:1024 t=8 rep=2  16:29:17
  snmalloc frag 256:1024 t=8 rep=2  16:29:20
  scudo frag 256:1024 t=8 rep=2  16:29:24
  rpmalloc frag 256:1024 t=8 rep=2  16:29:30
  libc frag 256:1024 t=32 rep=1  16:29:35
  umem frag 256:1024 t=32 rep=1  16:29:39
  umem@null frag 256:1024 t=32 rep=1  16:29:47
  umem-preload frag 256:1024 t=32 rep=1  16:29:54
  umem-preload@null frag 256:1024 t=32 rep=1  16:30:02
  jemalloc frag 256:1024 t=32 rep=1  16:30:10
  tcmalloc frag 256:1024 t=32 rep=1  16:30:14
  mimalloc frag 256:1024 t=32 rep=1  16:30:17
  snmalloc frag 256:1024 t=32 rep=1  16:30:21
  scudo frag 256:1024 t=32 rep=1  16:30:25
  rpmalloc frag 256:1024 t=32 rep=1  16:30:31
  libc frag 256:1024 t=32 rep=2  16:30:35
  umem frag 256:1024 t=32 rep=2  16:30:39
  umem@null frag 256:1024 t=32 rep=2  16:30:47
  umem-preload frag 256:1024 t=32 rep=2  16:30:55
  umem-preload@null frag 256:1024 t=32 rep=2  16:31:03
  jemalloc frag 256:1024 t=32 rep=2  16:31:10
  tcmalloc frag 256:1024 t=32 rep=2  16:31:14
  mimalloc frag 256:1024 t=32 rep=2  16:31:18
  snmalloc frag 256:1024 t=32 rep=2  16:31:21
  scudo frag 256:1024 t=32 rep=2  16:31:25
  rpmalloc frag 256:1024 t=32 rep=2  16:31:31
  libc frag 256:1024 t=64 rep=1  16:31:35
  umem frag 256:1024 t=64 rep=1  16:31:40
  umem@null frag 256:1024 t=64 rep=1  16:31:49
  umem-preload frag 256:1024 t=64 rep=1  16:31:59
  umem-preload@null frag 256:1024 t=64 rep=1  16:32:08
  jemalloc frag 256:1024 t=64 rep=1  16:32:17
  tcmalloc frag 256:1024 t=64 rep=1  16:32:22
  mimalloc frag 256:1024 t=64 rep=1  16:32:26
  snmalloc frag 256:1024 t=64 rep=1  16:32:31
  scudo frag 256:1024 t=64 rep=1  16:32:35
  rpmalloc frag 256:1024 t=64 rep=1  16:32:43
  libc frag 256:1024 t=64 rep=2  16:32:48
  umem frag 256:1024 t=64 rep=2  16:32:53
  umem@null frag 256:1024 t=64 rep=2  16:33:02
  umem-preload frag 256:1024 t=64 rep=2  16:33:11
  umem-preload@null frag 256:1024 t=64 rep=2  16:33:21
  jemalloc frag 256:1024 t=64 rep=2  16:33:30
  tcmalloc frag 256:1024 t=64 rep=2  16:33:35
  mimalloc frag 256:1024 t=64 rep=2  16:33:40
  snmalloc frag 256:1024 t=64 rep=2  16:33:44
  scudo frag 256:1024 t=64 rep=2  16:33:48
  rpmalloc frag 256:1024 t=64 rep=2  16:33:57
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.metal-48xl-x86_64/frag-mid/matrix.toml
