matrix: instance=c7i.metal-48xl arch=x86_64 vcpu=192 governor=performance
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  sizes:      16:64 64:256
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.metal-48xl-x86_64/frag/matrix.toml
  libc frag 16:64 t=1 rep=1  15:02:23
  umem frag 16:64 t=1 rep=1  15:02:57
  umem@null frag 16:64 t=1 rep=1  15:03:51
  umem-preload frag 16:64 t=1 rep=1  15:04:44
  umem-preload@null frag 16:64 t=1 rep=1  15:05:38
  jemalloc frag 16:64 t=1 rep=1  15:06:32
  tcmalloc frag 16:64 t=1 rep=1  15:06:58
  mimalloc frag 16:64 t=1 rep=1  15:07:26
  snmalloc frag 16:64 t=1 rep=1  15:07:50
  scudo frag 16:64 t=1 rep=1  15:08:14
  rpmalloc frag 16:64 t=1 rep=1  15:08:54
  libc frag 16:64 t=1 rep=2  15:09:17
  umem frag 16:64 t=1 rep=2  15:09:51
  umem@null frag 16:64 t=1 rep=2  15:10:45
  umem-preload frag 16:64 t=1 rep=2  15:11:38
  umem-preload@null frag 16:64 t=1 rep=2  15:12:32
  jemalloc frag 16:64 t=1 rep=2  15:13:26
  tcmalloc frag 16:64 t=1 rep=2  15:13:51
  mimalloc frag 16:64 t=1 rep=2  15:14:20
  snmalloc frag 16:64 t=1 rep=2  15:14:43
  scudo frag 16:64 t=1 rep=2  15:15:08
  rpmalloc frag 16:64 t=1 rep=2  15:15:47
  libc frag 16:64 t=8 rep=1  15:16:10
  umem frag 16:64 t=8 rep=1  15:16:22
  umem@null frag 16:64 t=8 rep=1  15:16:40
  umem-preload frag 16:64 t=8 rep=1  15:16:59
  umem-preload@null frag 16:64 t=8 rep=1  15:17:18
  jemalloc frag 16:64 t=8 rep=1  15:17:39
  tcmalloc frag 16:64 t=8 rep=1  15:17:47
  mimalloc frag 16:64 t=8 rep=1  15:17:56
