matrix: instance=c7i.metal-48xl arch=x86_64 vcpu=192 governor=performance
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=200000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.metal-48xl-x86_64/multi/matrix.toml
  libc multi 16:64 t=1 rep=1  07:58:20
  umem multi 16:64 t=1 rep=1  08:00:30
  umem@null multi 16:64 t=1 rep=1  08:02:13
  umem-preload multi 16:64 t=1 rep=1  08:03:57
  umem-preload@null multi 16:64 t=1 rep=1  08:05:56
  jemalloc multi 16:64 t=1 rep=1  08:07:54
  tcmalloc multi 16:64 t=1 rep=1  08:09:52
  mimalloc multi 16:64 t=1 rep=1  08:11:58
  snmalloc multi 16:64 t=1 rep=1  08:13:46
  scudo multi 16:64 t=1 rep=1  08:15:51
  rpmalloc multi 16:64 t=1 rep=1  08:18:01
  libc multi 16:64 t=1 rep=2  08:20:10
  umem multi 16:64 t=1 rep=2  08:22:19
  umem@null multi 16:64 t=1 rep=2  08:24:04
  umem-preload multi 16:64 t=1 rep=2  08:25:47
  umem-preload@null multi 16:64 t=1 rep=2  08:27:47
  jemalloc multi 16:64 t=1 rep=2  08:29:46
  tcmalloc multi 16:64 t=1 rep=2  08:31:43
  mimalloc multi 16:64 t=1 rep=2  08:33:49
  snmalloc multi 16:64 t=1 rep=2  08:35:37
  scudo multi 16:64 t=1 rep=2  08:37:43
  rpmalloc multi 16:64 t=1 rep=2  08:39:53
  libc multi 16:64 t=8 rep=1  08:42:02
  umem multi 16:64 t=8 rep=1  08:42:21
  umem@null multi 16:64 t=8 rep=1  08:42:41
  umem-preload multi 16:64 t=8 rep=1  08:43:01
  umem-preload@null multi 16:64 t=8 rep=1  08:43:28
  jemalloc multi 16:64 t=8 rep=1  08:43:55
  tcmalloc multi 16:64 t=8 rep=1  08:44:14
  mimalloc multi 16:64 t=8 rep=1  08:44:34
  snmalloc multi 16:64 t=8 rep=1  08:44:53
  scudo multi 16:64 t=8 rep=1  08:45:12
  rpmalloc multi 16:64 t=8 rep=1  08:45:34
  libc multi 16:64 t=8 rep=2  08:45:54
  umem multi 16:64 t=8 rep=2  08:46:13
  umem@null multi 16:64 t=8 rep=2  08:46:32
  umem-preload multi 16:64 t=8 rep=2  08:46:51
  umem-preload@null multi 16:64 t=8 rep=2  08:47:17
  jemalloc multi 16:64 t=8 rep=2  08:47:42
  tcmalloc multi 16:64 t=8 rep=2  08:48:00
  mimalloc multi 16:64 t=8 rep=2  08:48:20
  snmalloc multi 16:64 t=8 rep=2  08:48:39
  scudo multi 16:64 t=8 rep=2  08:48:58
  rpmalloc multi 16:64 t=8 rep=2  08:49:21
  libc multi 16:64 t=32 rep=1  08:49:40
  umem multi 16:64 t=32 rep=1  08:49:45
  umem@null multi 16:64 t=32 rep=1  08:49:50
  umem-preload multi 16:64 t=32 rep=1  08:49:55
  umem-preload@null multi 16:64 t=32 rep=1  08:50:03
  jemalloc multi 16:64 t=32 rep=1  08:50:09
  tcmalloc multi 16:64 t=32 rep=1  08:50:14
  mimalloc multi 16:64 t=32 rep=1  08:50:20
  snmalloc multi 16:64 t=32 rep=1  08:50:25
  scudo multi 16:64 t=32 rep=1  08:50:30
  rpmalloc multi 16:64 t=32 rep=1  08:50:36
  libc multi 16:64 t=32 rep=2  08:50:41
  umem multi 16:64 t=32 rep=2  08:50:46
  umem@null multi 16:64 t=32 rep=2  08:50:51
  umem-preload multi 16:64 t=32 rep=2  08:50:57
  umem-preload@null multi 16:64 t=32 rep=2  08:51:04
  jemalloc multi 16:64 t=32 rep=2  08:51:11
  tcmalloc multi 16:64 t=32 rep=2  08:51:16
  mimalloc multi 16:64 t=32 rep=2  08:51:21
  snmalloc multi 16:64 t=32 rep=2  08:51:26
  scudo multi 16:64 t=32 rep=2  08:51:31
  rpmalloc multi 16:64 t=32 rep=2  08:51:37
  libc multi 16:64 t=64 rep=1  08:51:42
  umem multi 16:64 t=64 rep=1  08:51:46
  umem@null multi 16:64 t=64 rep=1  08:51:50
  umem-preload multi 16:64 t=64 rep=1  08:51:54
  umem-preload@null multi 16:64 t=64 rep=1  08:51:59
  jemalloc multi 16:64 t=64 rep=1  08:52:04
  tcmalloc multi 16:64 t=64 rep=1  08:52:08
  mimalloc multi 16:64 t=64 rep=1  08:52:12
  snmalloc multi 16:64 t=64 rep=1  08:52:15
  scudo multi 16:64 t=64 rep=1  08:52:19
  rpmalloc multi 16:64 t=64 rep=1  08:52:24
  libc multi 16:64 t=64 rep=2  08:52:28
  umem multi 16:64 t=64 rep=2  08:52:32
  umem@null multi 16:64 t=64 rep=2  08:52:36
  umem-preload multi 16:64 t=64 rep=2  08:52:40
  umem-preload@null multi 16:64 t=64 rep=2  08:52:45
  jemalloc multi 16:64 t=64 rep=2  08:52:50
  tcmalloc multi 16:64 t=64 rep=2  08:52:54
  mimalloc multi 16:64 t=64 rep=2  08:52:58
  snmalloc multi 16:64 t=64 rep=2  08:53:02
  scudo multi 16:64 t=64 rep=2  08:53:05
  rpmalloc multi 16:64 t=64 rep=2  08:53:10
  libc multi 16:64 t=128 rep=1  08:53:14
  umem multi 16:64 t=128 rep=1  08:53:16
  umem@null multi 16:64 t=128 rep=1  08:53:19
  umem-preload multi 16:64 t=128 rep=1  08:53:21
  umem-preload@null multi 16:64 t=128 rep=1  08:53:24
  jemalloc multi 16:64 t=128 rep=1  08:53:28
  tcmalloc multi 16:64 t=128 rep=1  08:53:30
  mimalloc multi 16:64 t=128 rep=1  08:53:32
  snmalloc multi 16:64 t=128 rep=1  08:53:35
  scudo multi 16:64 t=128 rep=1  08:53:37
  rpmalloc multi 16:64 t=128 rep=1  08:53:40
  libc multi 16:64 t=128 rep=2  08:53:42
  umem multi 16:64 t=128 rep=2  08:53:45
  umem@null multi 16:64 t=128 rep=2  08:53:47
  umem-preload multi 16:64 t=128 rep=2  08:53:50
  umem-preload@null multi 16:64 t=128 rep=2  08:53:53
  jemalloc multi 16:64 t=128 rep=2  08:53:56
  tcmalloc multi 16:64 t=128 rep=2  08:53:58
  mimalloc multi 16:64 t=128 rep=2  08:54:01
  snmalloc multi 16:64 t=128 rep=2  08:54:03
  scudo multi 16:64 t=128 rep=2  08:54:06
  rpmalloc multi 16:64 t=128 rep=2  08:54:08
  libc multi 16:64 t=192 rep=1  08:54:11
  umem multi 16:64 t=192 rep=1  08:54:13
  umem@null multi 16:64 t=192 rep=1  08:54:15
  umem-preload multi 16:64 t=192 rep=1  08:54:17
  umem-preload@null multi 16:64 t=192 rep=1  08:54:20
  jemalloc multi 16:64 t=192 rep=1  08:54:22
  tcmalloc multi 16:64 t=192 rep=1  08:54:24
  mimalloc multi 16:64 t=192 rep=1  08:54:26
  snmalloc multi 16:64 t=192 rep=1  08:54:27
  scudo multi 16:64 t=192 rep=1  08:54:29
  rpmalloc multi 16:64 t=192 rep=1  08:54:31
  libc multi 16:64 t=192 rep=2  08:54:33
  umem multi 16:64 t=192 rep=2  08:54:34
  umem@null multi 16:64 t=192 rep=2  08:54:36
  umem-preload multi 16:64 t=192 rep=2  08:54:38
  umem-preload@null multi 16:64 t=192 rep=2  08:54:41
  jemalloc multi 16:64 t=192 rep=2  08:54:43
  tcmalloc multi 16:64 t=192 rep=2  08:54:44
  mimalloc multi 16:64 t=192 rep=2  08:54:46
  snmalloc multi 16:64 t=192 rep=2  08:54:48
  scudo multi 16:64 t=192 rep=2  08:54:49
  rpmalloc multi 16:64 t=192 rep=2  08:54:51
  libc multi 64:256 t=1 rep=1  08:54:53
  umem multi 64:256 t=1 rep=1  08:57:00
  umem@null multi 64:256 t=1 rep=1  08:58:41
  umem-preload multi 64:256 t=1 rep=1  09:00:21
  umem-preload@null multi 64:256 t=1 rep=1  09:02:07
  jemalloc multi 64:256 t=1 rep=1  09:03:53
  tcmalloc multi 64:256 t=1 rep=1  09:05:51
  mimalloc multi 64:256 t=1 rep=1  09:07:30
  snmalloc multi 64:256 t=1 rep=1  09:08:58
  scudo multi 64:256 t=1 rep=1  09:11:04
  rpmalloc multi 64:256 t=1 rep=1  09:13:10
  libc multi 64:256 t=1 rep=2  09:14:46
  umem multi 64:256 t=1 rep=2  09:16:53
  umem@null multi 64:256 t=1 rep=2  09:18:34
  umem-preload multi 64:256 t=1 rep=2  09:20:14
  umem-preload@null multi 64:256 t=1 rep=2  09:22:00
  jemalloc multi 64:256 t=1 rep=2  09:23:46
  tcmalloc multi 64:256 t=1 rep=2  09:25:42
  mimalloc multi 64:256 t=1 rep=2  09:27:22
  snmalloc multi 64:256 t=1 rep=2  09:28:51
  scudo multi 64:256 t=1 rep=2  09:30:52
  rpmalloc multi 64:256 t=1 rep=2  09:32:59
  libc multi 64:256 t=8 rep=1  09:34:35
  umem multi 64:256 t=8 rep=1  09:34:54
  umem@null multi 64:256 t=8 rep=1  09:35:13
  umem-preload multi 64:256 t=8 rep=1  09:35:32
  umem-preload@null multi 64:256 t=8 rep=1  09:35:56
  jemalloc multi 64:256 t=8 rep=1  09:36:23
  tcmalloc multi 64:256 t=8 rep=1  09:36:42
  mimalloc multi 64:256 t=8 rep=1  09:37:02
  snmalloc multi 64:256 t=8 rep=1  09:37:18
  scudo multi 64:256 t=8 rep=1  09:37:37
  rpmalloc multi 64:256 t=8 rep=1  09:38:01
  libc multi 64:256 t=8 rep=2  09:38:18
  umem multi 64:256 t=8 rep=2  09:38:38
  umem@null multi 64:256 t=8 rep=2  09:38:56
  umem-preload multi 64:256 t=8 rep=2  09:39:14
  umem-preload@null multi 64:256 t=8 rep=2  09:39:39
  jemalloc multi 64:256 t=8 rep=2  09:40:06
  tcmalloc multi 64:256 t=8 rep=2  09:40:24
  mimalloc multi 64:256 t=8 rep=2  09:40:44
  snmalloc multi 64:256 t=8 rep=2  09:41:01
  scudo multi 64:256 t=8 rep=2  09:41:20
  rpmalloc multi 64:256 t=8 rep=2  09:41:43
  libc multi 64:256 t=32 rep=1  09:42:01
  umem multi 64:256 t=32 rep=1  09:42:06
  umem@null multi 64:256 t=32 rep=1  09:42:11
  umem-preload multi 64:256 t=32 rep=1  09:42:16
  umem-preload@null multi 64:256 t=32 rep=1  09:42:22
  jemalloc multi 64:256 t=32 rep=1  09:42:29
  tcmalloc multi 64:256 t=32 rep=1  09:42:34
  mimalloc multi 64:256 t=32 rep=1  09:42:39
  snmalloc multi 64:256 t=32 rep=1  09:42:44
  scudo multi 64:256 t=32 rep=1  09:42:49
  rpmalloc multi 64:256 t=32 rep=1  09:42:55
  libc multi 64:256 t=32 rep=2  09:43:00
  umem multi 64:256 t=32 rep=2  09:43:05
  umem@null multi 64:256 t=32 rep=2  09:43:10
  umem-preload multi 64:256 t=32 rep=2  09:43:14
  umem-preload@null multi 64:256 t=32 rep=2  09:43:21
  jemalloc multi 64:256 t=32 rep=2  09:43:28
  tcmalloc multi 64:256 t=32 rep=2  09:43:33
  mimalloc multi 64:256 t=32 rep=2  09:43:38
  snmalloc multi 64:256 t=32 rep=2  09:43:43
  scudo multi 64:256 t=32 rep=2  09:43:47
  rpmalloc multi 64:256 t=32 rep=2  09:43:54
  libc multi 64:256 t=64 rep=1  09:43:58
  umem multi 64:256 t=64 rep=1  09:44:02
  umem@null multi 64:256 t=64 rep=1  09:44:06
  umem-preload multi 64:256 t=64 rep=1  09:44:10
  umem-preload@null multi 64:256 t=64 rep=1  09:44:14
  jemalloc multi 64:256 t=64 rep=1  09:44:18
  tcmalloc multi 64:256 t=64 rep=1  09:44:22
  mimalloc multi 64:256 t=64 rep=1  09:44:26
  snmalloc multi 64:256 t=64 rep=1  09:44:29
  scudo multi 64:256 t=64 rep=1  09:44:33
  rpmalloc multi 64:256 t=64 rep=1  09:44:37
  libc multi 64:256 t=64 rep=2  09:44:41
  umem multi 64:256 t=64 rep=2  09:44:45
  umem@null multi 64:256 t=64 rep=2  09:44:48
  umem-preload multi 64:256 t=64 rep=2  09:44:52
  umem-preload@null multi 64:256 t=64 rep=2  09:44:57
  jemalloc multi 64:256 t=64 rep=2  09:45:01
  tcmalloc multi 64:256 t=64 rep=2  09:45:05
  mimalloc multi 64:256 t=64 rep=2  09:45:09
  snmalloc multi 64:256 t=64 rep=2  09:45:12
  scudo multi 64:256 t=64 rep=2  09:45:15
  rpmalloc multi 64:256 t=64 rep=2  09:45:20
  libc multi 64:256 t=128 rep=1  09:45:23
  umem multi 64:256 t=128 rep=1  09:45:26
  umem@null multi 64:256 t=128 rep=1  09:45:28
  umem-preload multi 64:256 t=128 rep=1  09:45:31
  umem-preload@null multi 64:256 t=128 rep=1  09:45:34
  jemalloc multi 64:256 t=128 rep=1  09:45:37
  tcmalloc multi 64:256 t=128 rep=1  09:45:39
  mimalloc multi 64:256 t=128 rep=1  09:45:41
  snmalloc multi 64:256 t=128 rep=1  09:45:43
  scudo multi 64:256 t=128 rep=1  09:45:46
  rpmalloc multi 64:256 t=128 rep=1  09:45:48
  libc multi 64:256 t=128 rep=2  09:45:51
  umem multi 64:256 t=128 rep=2  09:45:53
  umem@null multi 64:256 t=128 rep=2  09:45:56
  umem-preload multi 64:256 t=128 rep=2  09:45:59
  umem-preload@null multi 64:256 t=128 rep=2  09:46:02
  jemalloc multi 64:256 t=128 rep=2  09:46:05
  tcmalloc multi 64:256 t=128 rep=2  09:46:07
  mimalloc multi 64:256 t=128 rep=2  09:46:10
  snmalloc multi 64:256 t=128 rep=2  09:46:12
  scudo multi 64:256 t=128 rep=2  09:46:14
  rpmalloc multi 64:256 t=128 rep=2  09:46:17
  libc multi 64:256 t=192 rep=1  09:46:19
  umem multi 64:256 t=192 rep=1  09:46:21
  umem@null multi 64:256 t=192 rep=1  09:46:23
  umem-preload multi 64:256 t=192 rep=1  09:46:26
  umem-preload@null multi 64:256 t=192 rep=1  09:46:28
  jemalloc multi 64:256 t=192 rep=1  09:46:30
  tcmalloc multi 64:256 t=192 rep=1  09:46:32
  mimalloc multi 64:256 t=192 rep=1  09:46:34
  snmalloc multi 64:256 t=192 rep=1  09:46:35
  scudo multi 64:256 t=192 rep=1  09:46:37
  rpmalloc multi 64:256 t=192 rep=1  09:46:38
  libc multi 64:256 t=192 rep=2  09:46:41
  umem multi 64:256 t=192 rep=2  09:46:42
  umem@null multi 64:256 t=192 rep=2  09:46:45
  umem-preload multi 64:256 t=192 rep=2  09:46:47
  umem-preload@null multi 64:256 t=192 rep=2  09:46:49
  jemalloc multi 64:256 t=192 rep=2  09:46:51
  tcmalloc multi 64:256 t=192 rep=2  09:46:53
  mimalloc multi 64:256 t=192 rep=2  09:46:55
  snmalloc multi 64:256 t=192 rep=2  09:46:56
  scudo multi 64:256 t=192 rep=2  09:46:58
  rpmalloc multi 64:256 t=192 rep=2  09:47:00
  libc multi 256:1024 t=1 rep=1  09:47:02
  umem multi 256:1024 t=1 rep=1  09:49:02
  umem@null multi 256:1024 t=1 rep=1  09:50:43
  umem-preload multi 256:1024 t=1 rep=1  09:52:24
  umem-preload@null multi 256:1024 t=1 rep=1  09:54:12
  jemalloc multi 256:1024 t=1 rep=1  09:56:00
  tcmalloc multi 256:1024 t=1 rep=1  09:57:56
  mimalloc multi 256:1024 t=1 rep=1  09:59:38
  snmalloc multi 256:1024 t=1 rep=1  10:01:07
  scudo multi 256:1024 t=1 rep=1  10:03:11
  rpmalloc multi 256:1024 t=1 rep=1  10:05:22
  libc multi 256:1024 t=1 rep=2  10:07:02
  umem multi 256:1024 t=1 rep=2  10:08:59
  umem@null multi 256:1024 t=1 rep=2  10:10:40
  umem-preload multi 256:1024 t=1 rep=2  10:12:21
  umem-preload@null multi 256:1024 t=1 rep=2  10:14:09
  jemalloc multi 256:1024 t=1 rep=2  10:15:57
  tcmalloc multi 256:1024 t=1 rep=2  10:17:55
  mimalloc multi 256:1024 t=1 rep=2  10:19:35
  snmalloc multi 256:1024 t=1 rep=2  10:21:05
  scudo multi 256:1024 t=1 rep=2  10:23:09
  rpmalloc multi 256:1024 t=1 rep=2  10:25:20
  libc multi 256:1024 t=8 rep=1  10:27:00
  umem multi 256:1024 t=8 rep=1  10:27:21
  umem@null multi 256:1024 t=8 rep=1  10:27:39
  umem-preload multi 256:1024 t=8 rep=1  10:27:56
  umem-preload@null multi 256:1024 t=8 rep=1  10:28:23
  jemalloc multi 256:1024 t=8 rep=1  10:28:49
  tcmalloc multi 256:1024 t=8 rep=1  10:29:08
  mimalloc multi 256:1024 t=8 rep=1  10:29:28
  snmalloc multi 256:1024 t=8 rep=1  10:29:46
  scudo multi 256:1024 t=8 rep=1  10:30:05
  rpmalloc multi 256:1024 t=8 rep=1  10:30:28
  libc multi 256:1024 t=8 rep=2  10:30:48
  umem multi 256:1024 t=8 rep=2  10:31:08
  umem@null multi 256:1024 t=8 rep=2  10:31:27
  umem-preload multi 256:1024 t=8 rep=2  10:31:46
  umem-preload@null multi 256:1024 t=8 rep=2  10:32:13
  jemalloc multi 256:1024 t=8 rep=2  10:32:37
  tcmalloc multi 256:1024 t=8 rep=2  10:32:56
  mimalloc multi 256:1024 t=8 rep=2  10:33:16
  snmalloc multi 256:1024 t=8 rep=2  10:33:33
  scudo multi 256:1024 t=8 rep=2  10:33:54
  rpmalloc multi 256:1024 t=8 rep=2  10:34:17
  libc multi 256:1024 t=32 rep=1  10:34:37
  umem multi 256:1024 t=32 rep=1  10:34:43
  umem@null multi 256:1024 t=32 rep=1  10:34:48
  umem-preload multi 256:1024 t=32 rep=1  10:34:53
  umem-preload@null multi 256:1024 t=32 rep=1  10:34:59
  jemalloc multi 256:1024 t=32 rep=1  10:35:06
  tcmalloc multi 256:1024 t=32 rep=1  10:35:11
  mimalloc multi 256:1024 t=32 rep=1  10:35:16
  snmalloc multi 256:1024 t=32 rep=1  10:35:21
  scudo multi 256:1024 t=32 rep=1  10:35:26
  rpmalloc multi 256:1024 t=32 rep=1  10:35:33
  libc multi 256:1024 t=32 rep=2  10:35:38
  umem multi 256:1024 t=32 rep=2  10:35:43
  umem@null multi 256:1024 t=32 rep=2  10:35:48
  umem-preload multi 256:1024 t=32 rep=2  10:35:53
  umem-preload@null multi 256:1024 t=32 rep=2  10:36:00
  jemalloc multi 256:1024 t=32 rep=2  10:36:07
  tcmalloc multi 256:1024 t=32 rep=2  10:36:12
  mimalloc multi 256:1024 t=32 rep=2  10:36:17
  snmalloc multi 256:1024 t=32 rep=2  10:36:22
  scudo multi 256:1024 t=32 rep=2  10:36:27
  rpmalloc multi 256:1024 t=32 rep=2  10:36:33
  libc multi 256:1024 t=64 rep=1  10:36:39
  umem multi 256:1024 t=64 rep=1  10:36:43
  umem@null multi 256:1024 t=64 rep=1  10:36:47
  umem-preload multi 256:1024 t=64 rep=1  10:36:50
  umem-preload@null multi 256:1024 t=64 rep=1  10:36:55
  jemalloc multi 256:1024 t=64 rep=1  10:37:00
  tcmalloc multi 256:1024 t=64 rep=1  10:37:04
  mimalloc multi 256:1024 t=64 rep=1  10:37:07
  snmalloc multi 256:1024 t=64 rep=1  10:37:11
  scudo multi 256:1024 t=64 rep=1  10:37:15
  rpmalloc multi 256:1024 t=64 rep=1  10:37:19
  libc multi 256:1024 t=64 rep=2  10:37:23
  umem multi 256:1024 t=64 rep=2  10:37:27
  umem@null multi 256:1024 t=64 rep=2  10:37:31
  umem-preload multi 256:1024 t=64 rep=2  10:37:35
  umem-preload@null multi 256:1024 t=64 rep=2  10:37:39
  jemalloc multi 256:1024 t=64 rep=2  10:37:44
  tcmalloc multi 256:1024 t=64 rep=2  10:37:48
  mimalloc multi 256:1024 t=64 rep=2  10:37:52
  snmalloc multi 256:1024 t=64 rep=2  10:37:55
  scudo multi 256:1024 t=64 rep=2  10:37:59
  rpmalloc multi 256:1024 t=64 rep=2  10:38:03
  libc multi 256:1024 t=128 rep=1  10:38:07
  umem multi 256:1024 t=128 rep=1  10:38:10
  umem@null multi 256:1024 t=128 rep=1  10:38:12
  umem-preload multi 256:1024 t=128 rep=1  10:38:15
  umem-preload@null multi 256:1024 t=128 rep=1  10:38:18
  jemalloc multi 256:1024 t=128 rep=1  10:38:21
  tcmalloc multi 256:1024 t=128 rep=1  10:38:23
  mimalloc multi 256:1024 t=128 rep=1  10:38:26
  snmalloc multi 256:1024 t=128 rep=1  10:38:28
  scudo multi 256:1024 t=128 rep=1  10:38:30
  rpmalloc multi 256:1024 t=128 rep=1  10:38:33
  libc multi 256:1024 t=128 rep=2  10:38:36
  umem multi 256:1024 t=128 rep=2  10:38:38
  umem@null multi 256:1024 t=128 rep=2  10:38:41
  umem-preload multi 256:1024 t=128 rep=2  10:38:43
  umem-preload@null multi 256:1024 t=128 rep=2  10:38:46
  jemalloc multi 256:1024 t=128 rep=2  10:38:49
  tcmalloc multi 256:1024 t=128 rep=2  10:38:52
  mimalloc multi 256:1024 t=128 rep=2  10:38:54
  snmalloc multi 256:1024 t=128 rep=2  10:38:57
  scudo multi 256:1024 t=128 rep=2  10:38:59
  rpmalloc multi 256:1024 t=128 rep=2  10:39:02
  libc multi 256:1024 t=192 rep=1  10:39:05
  umem multi 256:1024 t=192 rep=1  10:39:07
  umem@null multi 256:1024 t=192 rep=1  10:39:09
  umem-preload multi 256:1024 t=192 rep=1  10:39:11
  umem-preload@null multi 256:1024 t=192 rep=1  10:39:13
  jemalloc multi 256:1024 t=192 rep=1  10:39:15
  tcmalloc multi 256:1024 t=192 rep=1  10:39:17
  mimalloc multi 256:1024 t=192 rep=1  10:39:18
  snmalloc multi 256:1024 t=192 rep=1  10:39:20
  scudo multi 256:1024 t=192 rep=1  10:39:22
  rpmalloc multi 256:1024 t=192 rep=1  10:39:23
  libc multi 256:1024 t=192 rep=2  10:39:28
  umem multi 256:1024 t=192 rep=2  10:39:29
  umem@null multi 256:1024 t=192 rep=2  10:39:32
  umem-preload multi 256:1024 t=192 rep=2  10:39:34
  umem-preload@null multi 256:1024 t=192 rep=2  10:39:36
  jemalloc multi 256:1024 t=192 rep=2  10:39:38
  tcmalloc multi 256:1024 t=192 rep=2  10:39:40
  mimalloc multi 256:1024 t=192 rep=2  10:39:41
  snmalloc multi 256:1024 t=192 rep=2  10:39:43
  scudo multi 256:1024 t=192 rep=2  10:39:45
  rpmalloc multi 256:1024 t=192 rep=2  10:39:47
  libc multi 1024:4096 t=1 rep=1  10:39:50
  umem multi 1024:4096 t=1 rep=1  10:41:55
  umem@null multi 1024:4096 t=1 rep=1  10:43:56
  umem-preload multi 1024:4096 t=1 rep=1  10:45:57
  umem-preload@null multi 1024:4096 t=1 rep=1  10:48:03
  jemalloc multi 1024:4096 t=1 rep=1  10:50:10
  tcmalloc multi 1024:4096 t=1 rep=1  10:52:15
  mimalloc multi 1024:4096 t=1 rep=1  10:54:10
  snmalloc multi 1024:4096 t=1 rep=1  10:55:58
  scudo multi 1024:4096 t=1 rep=1  10:57:47
  rpmalloc multi 1024:4096 t=1 rep=1  11:00:07
  libc multi 1024:4096 t=1 rep=2  11:02:00
  umem multi 1024:4096 t=1 rep=2  11:04:06
  umem@null multi 1024:4096 t=1 rep=2  11:06:07
  umem-preload multi 1024:4096 t=1 rep=2  11:08:08
  umem-preload@null multi 1024:4096 t=1 rep=2  11:10:15
  jemalloc multi 1024:4096 t=1 rep=2  11:12:21
  tcmalloc multi 1024:4096 t=1 rep=2  11:14:29
  mimalloc multi 1024:4096 t=1 rep=2  11:16:25
  snmalloc multi 1024:4096 t=1 rep=2  11:18:13
  scudo multi 1024:4096 t=1 rep=2  11:20:02
  rpmalloc multi 1024:4096 t=1 rep=2  11:22:22
  libc multi 1024:4096 t=8 rep=1  11:24:15
  umem multi 1024:4096 t=8 rep=1  11:24:42
  umem@null multi 1024:4096 t=8 rep=1  11:25:19
  umem-preload multi 1024:4096 t=8 rep=1  11:26:00
  umem-preload@null multi 1024:4096 t=8 rep=1  11:26:34
  jemalloc multi 1024:4096 t=8 rep=1  11:27:14
  tcmalloc multi 1024:4096 t=8 rep=1  11:27:36
  mimalloc multi 1024:4096 t=8 rep=1  11:27:57
  snmalloc multi 1024:4096 t=8 rep=1  11:28:23
  scudo multi 1024:4096 t=8 rep=1  11:28:44
  rpmalloc multi 1024:4096 t=8 rep=1  11:29:10
  libc multi 1024:4096 t=8 rep=2  11:29:32
  umem multi 1024:4096 t=8 rep=2  11:29:59
  umem@null multi 1024:4096 t=8 rep=2  11:30:36
  umem-preload multi 1024:4096 t=8 rep=2  11:31:05
  umem-preload@null multi 1024:4096 t=8 rep=2  11:31:42
  jemalloc multi 1024:4096 t=8 rep=2  11:32:21
  tcmalloc multi 1024:4096 t=8 rep=2  11:32:43
  mimalloc multi 1024:4096 t=8 rep=2  11:33:05
