matrix: instance=c7i.metal-48xl arch=x86_64 vcpu=192 governor=performance
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=10000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.metal-48xl-x86_64/prodcons/matrix.toml
  libc prodcons 16:64 t=1 rep=1  11:44:21
  umem prodcons 16:64 t=1 rep=1  11:44:31
  umem@null prodcons 16:64 t=1 rep=1  11:44:42
  umem-preload prodcons 16:64 t=1 rep=1  11:44:53
  umem-preload@null prodcons 16:64 t=1 rep=1  11:45:04
  jemalloc prodcons 16:64 t=1 rep=1  11:45:16
  tcmalloc prodcons 16:64 t=1 rep=1  11:45:28
  mimalloc prodcons 16:64 t=1 rep=1  11:45:40
  snmalloc prodcons 16:64 t=1 rep=1  11:45:50
  scudo prodcons 16:64 t=1 rep=1  11:46:02
  rpmalloc prodcons 16:64 t=1 rep=1  11:46:14
  libc prodcons 16:64 t=1 rep=2  11:46:25
  umem prodcons 16:64 t=1 rep=2  11:46:36
  umem@null prodcons 16:64 t=1 rep=2  11:46:47
  umem-preload prodcons 16:64 t=1 rep=2  11:46:57
  umem-preload@null prodcons 16:64 t=1 rep=2  11:47:09
  jemalloc prodcons 16:64 t=1 rep=2  11:47:20
  tcmalloc prodcons 16:64 t=1 rep=2  11:47:33
  mimalloc prodcons 16:64 t=1 rep=2  11:47:44
  snmalloc prodcons 16:64 t=1 rep=2  11:47:54
  scudo prodcons 16:64 t=1 rep=2  11:48:06
  rpmalloc prodcons 16:64 t=1 rep=2  11:48:19
  libc prodcons 16:64 t=8 rep=1  11:48:30
  umem prodcons 16:64 t=8 rep=1  11:48:37
  umem@null prodcons 16:64 t=8 rep=1  11:48:44
  umem-preload prodcons 16:64 t=8 rep=1  11:48:51
  umem-preload@null prodcons 16:64 t=8 rep=1  11:48:59
  jemalloc prodcons 16:64 t=8 rep=1  11:49:07
  tcmalloc prodcons 16:64 t=8 rep=1  11:49:14
  mimalloc prodcons 16:64 t=8 rep=1  11:49:24
  snmalloc prodcons 16:64 t=8 rep=1  11:49:31
  scudo prodcons 16:64 t=8 rep=1  11:49:36
  rpmalloc prodcons 16:64 t=8 rep=1  11:49:48
  libc prodcons 16:64 t=8 rep=2  11:49:56
  umem prodcons 16:64 t=8 rep=2  11:50:03
  umem@null prodcons 16:64 t=8 rep=2  11:50:10
  umem-preload prodcons 16:64 t=8 rep=2  11:50:19
  umem-preload@null prodcons 16:64 t=8 rep=2  11:50:26
  jemalloc prodcons 16:64 t=8 rep=2  11:50:34
  tcmalloc prodcons 16:64 t=8 rep=2  11:50:41
  mimalloc prodcons 16:64 t=8 rep=2  11:50:50
  snmalloc prodcons 16:64 t=8 rep=2  11:50:57
  scudo prodcons 16:64 t=8 rep=2  11:51:01
  rpmalloc prodcons 16:64 t=8 rep=2  11:51:14
  libc prodcons 16:64 t=32 rep=1  11:51:21
  umem prodcons 16:64 t=32 rep=1  11:51:36
  umem@null prodcons 16:64 t=32 rep=1  11:51:51
  umem-preload prodcons 16:64 t=32 rep=1  11:52:06
  umem-preload@null prodcons 16:64 t=32 rep=1  11:52:20
  jemalloc prodcons 16:64 t=32 rep=1  11:52:33
  tcmalloc prodcons 16:64 t=32 rep=1  11:52:50
  mimalloc prodcons 16:64 t=32 rep=1  11:53:06
  snmalloc prodcons 16:64 t=32 rep=1  11:53:21
  scudo prodcons 16:64 t=32 rep=1  11:53:36
  rpmalloc prodcons 16:64 t=32 rep=1  11:53:56
  libc prodcons 16:64 t=32 rep=2  11:54:10
  umem prodcons 16:64 t=32 rep=2  11:54:26
  umem@null prodcons 16:64 t=32 rep=2  11:54:42
  umem-preload prodcons 16:64 t=32 rep=2  11:54:58
  umem-preload@null prodcons 16:64 t=32 rep=2  11:55:12
  jemalloc prodcons 16:64 t=32 rep=2  11:55:25
  tcmalloc prodcons 16:64 t=32 rep=2  11:55:39
  mimalloc prodcons 16:64 t=32 rep=2  11:55:54
  snmalloc prodcons 16:64 t=32 rep=2  11:56:10
  scudo prodcons 16:64 t=32 rep=2  11:56:25
  rpmalloc prodcons 16:64 t=32 rep=2  11:56:45
  libc prodcons 16:64 t=64 rep=1  11:57:02
  umem prodcons 16:64 t=64 rep=1  11:57:20
  umem@null prodcons 16:64 t=64 rep=1  11:57:39
  umem-preload prodcons 16:64 t=64 rep=1  11:58:00
  umem-preload@null prodcons 16:64 t=64 rep=1  11:58:18
  jemalloc prodcons 16:64 t=64 rep=1  11:58:40
  tcmalloc prodcons 16:64 t=64 rep=1  11:58:58
  mimalloc prodcons 16:64 t=64 rep=1  11:59:19
  snmalloc prodcons 16:64 t=64 rep=1  11:59:37
  scudo prodcons 16:64 t=64 rep=1  11:59:55
  rpmalloc prodcons 16:64 t=64 rep=1  12:00:22
  libc prodcons 16:64 t=64 rep=2  12:00:41
  umem prodcons 16:64 t=64 rep=2  12:00:59
  umem@null prodcons 16:64 t=64 rep=2  12:01:20
  umem-preload prodcons 16:64 t=64 rep=2  12:01:39
  umem-preload@null prodcons 16:64 t=64 rep=2  12:01:58
  jemalloc prodcons 16:64 t=64 rep=2  12:02:17
  tcmalloc prodcons 16:64 t=64 rep=2  12:02:34
  mimalloc prodcons 16:64 t=64 rep=2  12:02:52
  snmalloc prodcons 16:64 t=64 rep=2  12:03:11
  scudo prodcons 16:64 t=64 rep=2  12:03:29
  rpmalloc prodcons 16:64 t=64 rep=2  12:03:56
  libc prodcons 16:64 t=128 rep=1  12:04:15
  umem prodcons 16:64 t=128 rep=1  12:04:41
  umem@null prodcons 16:64 t=128 rep=1  12:05:13
  umem-preload prodcons 16:64 t=128 rep=1  12:05:45
  umem-preload@null prodcons 16:64 t=128 rep=1  12:06:14
  jemalloc prodcons 16:64 t=128 rep=1  12:06:42
  tcmalloc prodcons 16:64 t=128 rep=1  12:07:14
  mimalloc prodcons 16:64 t=128 rep=1  12:07:47
  snmalloc prodcons 16:64 t=128 rep=1  12:08:14
  scudo prodcons 16:64 t=128 rep=1  12:08:39
  rpmalloc prodcons 16:64 t=128 rep=1  12:09:14
  libc prodcons 16:64 t=128 rep=2  12:09:42
  umem prodcons 16:64 t=128 rep=2  12:10:11
  umem@null prodcons 16:64 t=128 rep=2  12:10:40
  umem-preload prodcons 16:64 t=128 rep=2  12:11:11
  umem-preload@null prodcons 16:64 t=128 rep=2  12:11:41
  jemalloc prodcons 16:64 t=128 rep=2  12:12:09
  tcmalloc prodcons 16:64 t=128 rep=2  12:12:42
  mimalloc prodcons 16:64 t=128 rep=2  12:13:14
  snmalloc prodcons 16:64 t=128 rep=2  12:13:39
  scudo prodcons 16:64 t=128 rep=2  12:14:04
  rpmalloc prodcons 16:64 t=128 rep=2  12:14:38
  libc prodcons 16:64 t=192 rep=1  12:15:07
  umem prodcons 16:64 t=192 rep=1  12:15:50
  umem@null prodcons 16:64 t=192 rep=1  12:16:29
  umem-preload prodcons 16:64 t=192 rep=1  12:17:14
  umem-preload@null prodcons 16:64 t=192 rep=1  12:18:02
  jemalloc prodcons 16:64 t=192 rep=1  12:18:49
  tcmalloc prodcons 16:64 t=192 rep=1  12:19:37
  mimalloc prodcons 16:64 t=192 rep=1  12:20:18
  snmalloc prodcons 16:64 t=192 rep=1  12:21:02
  scudo prodcons 16:64 t=192 rep=1  12:21:47
  rpmalloc prodcons 16:64 t=192 rep=1  12:22:21
  libc prodcons 16:64 t=192 rep=2  12:23:04
  umem prodcons 16:64 t=192 rep=2  12:23:42
  umem@null prodcons 16:64 t=192 rep=2  12:24:26
  umem-preload prodcons 16:64 t=192 rep=2  12:25:09
  umem-preload@null prodcons 16:64 t=192 rep=2  12:26:00
  jemalloc prodcons 16:64 t=192 rep=2  12:26:46
  tcmalloc prodcons 16:64 t=192 rep=2  12:27:36
  mimalloc prodcons 16:64 t=192 rep=2  12:28:20
  snmalloc prodcons 16:64 t=192 rep=2  12:29:03
  scudo prodcons 16:64 t=192 rep=2  12:29:46
  rpmalloc prodcons 16:64 t=192 rep=2  12:30:19
  libc prodcons 64:256 t=1 rep=1  12:31:04
  umem prodcons 64:256 t=1 rep=1  12:31:14
  umem@null prodcons 64:256 t=1 rep=1  12:31:25
  umem-preload prodcons 64:256 t=1 rep=1  12:31:37
  umem-preload@null prodcons 64:256 t=1 rep=1  12:31:49
  jemalloc prodcons 64:256 t=1 rep=1  12:32:01
  tcmalloc prodcons 64:256 t=1 rep=1  12:32:13
  mimalloc prodcons 64:256 t=1 rep=1  12:32:24
  snmalloc prodcons 64:256 t=1 rep=1  12:32:34
  scudo prodcons 64:256 t=1 rep=1  12:32:45
  rpmalloc prodcons 64:256 t=1 rep=1  12:32:57
  libc prodcons 64:256 t=1 rep=2  12:33:07
  umem prodcons 64:256 t=1 rep=2  12:33:18
  umem@null prodcons 64:256 t=1 rep=2  12:33:29
  umem-preload prodcons 64:256 t=1 rep=2  12:33:41
  umem-preload@null prodcons 64:256 t=1 rep=2  12:33:53
  jemalloc prodcons 64:256 t=1 rep=2  12:34:05
  tcmalloc prodcons 64:256 t=1 rep=2  12:34:18
  mimalloc prodcons 64:256 t=1 rep=2  12:34:29
  snmalloc prodcons 64:256 t=1 rep=2  12:34:38
  scudo prodcons 64:256 t=1 rep=2  12:34:49
  rpmalloc prodcons 64:256 t=1 rep=2  12:35:02
  libc prodcons 64:256 t=8 rep=1  12:35:12
  umem prodcons 64:256 t=8 rep=1  12:35:23
  umem@null prodcons 64:256 t=8 rep=1  12:35:30
  umem-preload prodcons 64:256 t=8 rep=1  12:35:38
  umem-preload@null prodcons 64:256 t=8 rep=1  12:35:46
  jemalloc prodcons 64:256 t=8 rep=1  12:35:53
  tcmalloc prodcons 64:256 t=8 rep=1  12:35:59
  mimalloc prodcons 64:256 t=8 rep=1  12:36:06
  snmalloc prodcons 64:256 t=8 rep=1  12:36:13
  scudo prodcons 64:256 t=8 rep=1  12:36:18
  rpmalloc prodcons 64:256 t=8 rep=1  12:36:33
  libc prodcons 64:256 t=8 rep=2  12:36:41
  umem prodcons 64:256 t=8 rep=2  12:36:52
  umem@null prodcons 64:256 t=8 rep=2  12:36:59
  umem-preload prodcons 64:256 t=8 rep=2  12:37:05
  umem-preload@null prodcons 64:256 t=8 rep=2  12:37:12
  jemalloc prodcons 64:256 t=8 rep=2  12:37:19
  tcmalloc prodcons 64:256 t=8 rep=2  12:37:26
  mimalloc prodcons 64:256 t=8 rep=2  12:37:33
  snmalloc prodcons 64:256 t=8 rep=2  12:37:41
  scudo prodcons 64:256 t=8 rep=2  12:37:46
  rpmalloc prodcons 64:256 t=8 rep=2  12:38:00
  libc prodcons 64:256 t=32 rep=1  12:38:06
  umem prodcons 64:256 t=32 rep=1  12:38:20
  umem@null prodcons 64:256 t=32 rep=1  12:38:37
  umem-preload prodcons 64:256 t=32 rep=1  12:38:55
  umem-preload@null prodcons 64:256 t=32 rep=1  12:39:07
  jemalloc prodcons 64:256 t=32 rep=1  12:39:20
  tcmalloc prodcons 64:256 t=32 rep=1  12:39:36
  mimalloc prodcons 64:256 t=32 rep=1  12:39:48
  snmalloc prodcons 64:256 t=32 rep=1  12:40:05
  scudo prodcons 64:256 t=32 rep=1  12:40:21
  rpmalloc prodcons 64:256 t=32 rep=1  12:40:40
  libc prodcons 64:256 t=32 rep=2  12:40:55
  umem prodcons 64:256 t=32 rep=2  12:41:12
  umem@null prodcons 64:256 t=32 rep=2  12:41:27
  umem-preload prodcons 64:256 t=32 rep=2  12:41:43
  umem-preload@null prodcons 64:256 t=32 rep=2  12:41:56
  jemalloc prodcons 64:256 t=32 rep=2  12:42:08
  tcmalloc prodcons 64:256 t=32 rep=2  12:42:25
  mimalloc prodcons 64:256 t=32 rep=2  12:42:39
  snmalloc prodcons 64:256 t=32 rep=2  12:42:54
  scudo prodcons 64:256 t=32 rep=2  12:43:11
  rpmalloc prodcons 64:256 t=32 rep=2  12:43:27
  libc prodcons 64:256 t=64 rep=1  12:43:43
  umem prodcons 64:256 t=64 rep=1  12:44:05
  umem@null prodcons 64:256 t=64 rep=1  12:44:26
  umem-preload prodcons 64:256 t=64 rep=1  12:44:45
  umem-preload@null prodcons 64:256 t=64 rep=1  12:45:05
  jemalloc prodcons 64:256 t=64 rep=1  12:45:25
  tcmalloc prodcons 64:256 t=64 rep=1  12:45:43
  mimalloc prodcons 64:256 t=64 rep=1  12:46:02
  snmalloc prodcons 64:256 t=64 rep=1  12:46:21
  scudo prodcons 64:256 t=64 rep=1  12:46:39
  rpmalloc prodcons 64:256 t=64 rep=1  12:47:07
  libc prodcons 64:256 t=64 rep=2  12:47:25
  umem prodcons 64:256 t=64 rep=2  12:47:45
  umem@null prodcons 64:256 t=64 rep=2  12:48:07
  umem-preload prodcons 64:256 t=64 rep=2  12:48:27
  umem-preload@null prodcons 64:256 t=64 rep=2  12:48:49
  jemalloc prodcons 64:256 t=64 rep=2  12:49:07
  tcmalloc prodcons 64:256 t=64 rep=2  12:49:25
  mimalloc prodcons 64:256 t=64 rep=2  12:49:42
  snmalloc prodcons 64:256 t=64 rep=2  12:50:02
  scudo prodcons 64:256 t=64 rep=2  12:50:19
  rpmalloc prodcons 64:256 t=64 rep=2  12:50:48
  libc prodcons 64:256 t=128 rep=1  12:51:06
  umem prodcons 64:256 t=128 rep=1  12:51:44
  umem@null prodcons 64:256 t=128 rep=1  12:52:15
  umem-preload prodcons 64:256 t=128 rep=1  12:52:45
  umem-preload@null prodcons 64:256 t=128 rep=1  12:53:17
  jemalloc prodcons 64:256 t=128 rep=1  12:53:48
  tcmalloc prodcons 64:256 t=128 rep=1  12:54:18
  mimalloc prodcons 64:256 t=128 rep=1  12:54:52
  snmalloc prodcons 64:256 t=128 rep=1  12:55:19
  scudo prodcons 64:256 t=128 rep=1  12:55:46
  rpmalloc prodcons 64:256 t=128 rep=1  12:56:23
  libc prodcons 64:256 t=128 rep=2  12:56:49
  umem prodcons 64:256 t=128 rep=2  12:57:27
  umem@null prodcons 64:256 t=128 rep=2  12:57:59
  umem-preload prodcons 64:256 t=128 rep=2  12:58:29
  umem-preload@null prodcons 64:256 t=128 rep=2  12:58:56
  jemalloc prodcons 64:256 t=128 rep=2  12:59:23
  tcmalloc prodcons 64:256 t=128 rep=2  12:59:52
  mimalloc prodcons 64:256 t=128 rep=2  13:00:23
  snmalloc prodcons 64:256 t=128 rep=2  13:00:50
  scudo prodcons 64:256 t=128 rep=2  13:01:21
  rpmalloc prodcons 64:256 t=128 rep=2  13:01:58
  libc prodcons 64:256 t=192 rep=1  13:02:25
  umem prodcons 64:256 t=192 rep=1  13:03:14
  umem@null prodcons 64:256 t=192 rep=1  13:04:00
  umem-preload prodcons 64:256 t=192 rep=1  13:04:45
  umem-preload@null prodcons 64:256 t=192 rep=1  13:05:35
  jemalloc prodcons 64:256 t=192 rep=1  13:06:22
  tcmalloc prodcons 64:256 t=192 rep=1  13:07:07
  mimalloc prodcons 64:256 t=192 rep=1  13:07:53
  snmalloc prodcons 64:256 t=192 rep=1  13:08:35
  scudo prodcons 64:256 t=192 rep=1  13:09:19
  rpmalloc prodcons 64:256 t=192 rep=1  13:09:57
  libc prodcons 64:256 t=192 rep=2  13:10:35
  umem prodcons 64:256 t=192 rep=2  13:11:25
  umem@null prodcons 64:256 t=192 rep=2  13:12:13
  umem-preload prodcons 64:256 t=192 rep=2  13:12:57
  umem-preload@null prodcons 64:256 t=192 rep=2  13:13:50
  jemalloc prodcons 64:256 t=192 rep=2  13:14:40
  tcmalloc prodcons 64:256 t=192 rep=2  13:15:27
  mimalloc prodcons 64:256 t=192 rep=2  13:16:12
  snmalloc prodcons 64:256 t=192 rep=2  13:16:54
  scudo prodcons 64:256 t=192 rep=2  13:17:38
  rpmalloc prodcons 64:256 t=192 rep=2  13:18:12
  libc prodcons 256:1024 t=1 rep=1  13:18:53
  umem prodcons 256:1024 t=1 rep=1  13:19:04
  umem@null prodcons 256:1024 t=1 rep=1  13:19:16
  umem-preload prodcons 256:1024 t=1 rep=1  13:19:28
  umem-preload@null prodcons 256:1024 t=1 rep=1  13:19:41
  jemalloc prodcons 256:1024 t=1 rep=1  13:19:53
  tcmalloc prodcons 256:1024 t=1 rep=1  13:20:06
  mimalloc prodcons 256:1024 t=1 rep=1  13:20:17
  snmalloc prodcons 256:1024 t=1 rep=1  13:20:28
  scudo prodcons 256:1024 t=1 rep=1  13:20:41
  rpmalloc prodcons 256:1024 t=1 rep=1  13:20:56
  libc prodcons 256:1024 t=1 rep=2  13:21:10
  umem prodcons 256:1024 t=1 rep=2  13:21:22
  umem@null prodcons 256:1024 t=1 rep=2  13:21:34
  umem-preload prodcons 256:1024 t=1 rep=2  13:21:46
  umem-preload@null prodcons 256:1024 t=1 rep=2  13:21:58
  jemalloc prodcons 256:1024 t=1 rep=2  13:22:10
  tcmalloc prodcons 256:1024 t=1 rep=2  13:22:23
  mimalloc prodcons 256:1024 t=1 rep=2  13:22:34
  snmalloc prodcons 256:1024 t=1 rep=2  13:22:45
  scudo prodcons 256:1024 t=1 rep=2  13:22:58
  rpmalloc prodcons 256:1024 t=1 rep=2  13:23:13
  libc prodcons 256:1024 t=8 rep=1  13:23:27
