matrix: instance=c7i.metal-48xl arch=x86_64 vcpu=192 governor=performance
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.metal-48xl-x86_64/single/matrix.toml
  libc single 16:64 t=1 rep=1  07:40:30
  umem single 16:64 t=1 rep=1  07:40:44
  umem@null single 16:64 t=1 rep=1  07:40:54
  umem-preload single 16:64 t=1 rep=1  07:41:05
  umem-preload@null single 16:64 t=1 rep=1  07:41:19
  jemalloc single 16:64 t=1 rep=1  07:41:32
  tcmalloc single 16:64 t=1 rep=1  07:41:44
  mimalloc single 16:64 t=1 rep=1  07:41:57
  snmalloc single 16:64 t=1 rep=1  07:42:09
  scudo single 16:64 t=1 rep=1  07:42:22
  rpmalloc single 16:64 t=1 rep=1  07:42:35
  libc single 16:64 t=1 rep=2  07:42:48
  umem single 16:64 t=1 rep=2  07:43:02
  umem@null single 16:64 t=1 rep=2  07:43:13
  umem-preload single 16:64 t=1 rep=2  07:43:23
  umem-preload@null single 16:64 t=1 rep=2  07:43:36
  jemalloc single 16:64 t=1 rep=2  07:43:49
  tcmalloc single 16:64 t=1 rep=2  07:44:02
  mimalloc single 16:64 t=1 rep=2  07:44:15
  snmalloc single 16:64 t=1 rep=2  07:44:26
  scudo single 16:64 t=1 rep=2  07:44:39
  rpmalloc single 16:64 t=1 rep=2  07:44:52
  libc single 64:256 t=1 rep=1  07:45:05
  umem single 64:256 t=1 rep=1  07:45:19
  umem@null single 64:256 t=1 rep=1  07:45:30
  umem-preload single 64:256 t=1 rep=1  07:45:41
  umem-preload@null single 64:256 t=1 rep=1  07:45:52
  jemalloc single 64:256 t=1 rep=1  07:46:03
  tcmalloc single 64:256 t=1 rep=1  07:46:15
  mimalloc single 64:256 t=1 rep=1  07:46:26
  snmalloc single 64:256 t=1 rep=1  07:46:35
  scudo single 64:256 t=1 rep=1  07:46:48
  rpmalloc single 64:256 t=1 rep=1  07:47:01
  libc single 64:256 t=1 rep=2  07:47:11
  umem single 64:256 t=1 rep=2  07:47:25
  umem@null single 64:256 t=1 rep=2  07:47:36
  umem-preload single 64:256 t=1 rep=2  07:47:47
  umem-preload@null single 64:256 t=1 rep=2  07:47:58
  jemalloc single 64:256 t=1 rep=2  07:48:09
  tcmalloc single 64:256 t=1 rep=2  07:48:21
  mimalloc single 64:256 t=1 rep=2  07:48:32
  snmalloc single 64:256 t=1 rep=2  07:48:42
  scudo single 64:256 t=1 rep=2  07:48:55
  rpmalloc single 64:256 t=1 rep=2  07:49:08
  libc single 256:1024 t=1 rep=1  07:49:18
  umem single 256:1024 t=1 rep=1  07:49:30
  umem@null single 256:1024 t=1 rep=1  07:49:42
  umem-preload single 256:1024 t=1 rep=1  07:49:53
  umem-preload@null single 256:1024 t=1 rep=1  07:50:04
  jemalloc single 256:1024 t=1 rep=1  07:50:16
  tcmalloc single 256:1024 t=1 rep=1  07:50:29
  mimalloc single 256:1024 t=1 rep=1  07:50:39
  snmalloc single 256:1024 t=1 rep=1  07:50:49
  scudo single 256:1024 t=1 rep=1  07:51:02
  rpmalloc single 256:1024 t=1 rep=1  07:51:17
  libc single 256:1024 t=1 rep=2  07:51:28
  umem single 256:1024 t=1 rep=2  07:51:41
  umem@null single 256:1024 t=1 rep=2  07:51:52
  umem-preload single 256:1024 t=1 rep=2  07:52:03
  umem-preload@null single 256:1024 t=1 rep=2  07:52:15
  jemalloc single 256:1024 t=1 rep=2  07:52:26
  tcmalloc single 256:1024 t=1 rep=2  07:52:38
  mimalloc single 256:1024 t=1 rep=2  07:52:50
  snmalloc single 256:1024 t=1 rep=2  07:52:59
  scudo single 256:1024 t=1 rep=2  07:53:12
  rpmalloc single 256:1024 t=1 rep=2  07:53:27
  libc single 1024:4096 t=1 rep=1  07:53:38
  umem single 1024:4096 t=1 rep=1  07:53:50
  umem@null single 1024:4096 t=1 rep=1  07:54:03
  umem-preload single 1024:4096 t=1 rep=1  07:54:16
  umem-preload@null single 1024:4096 t=1 rep=1  07:54:29
  jemalloc single 1024:4096 t=1 rep=1  07:54:42
  tcmalloc single 1024:4096 t=1 rep=1  07:54:55
  mimalloc single 1024:4096 t=1 rep=1  07:55:07
  snmalloc single 1024:4096 t=1 rep=1  07:55:19
  scudo single 1024:4096 t=1 rep=1  07:55:31
  rpmalloc single 1024:4096 t=1 rep=1  07:55:46
  libc single 1024:4096 t=1 rep=2  07:55:58
  umem single 1024:4096 t=1 rep=2  07:56:10
  umem@null single 1024:4096 t=1 rep=2  07:56:23
  umem-preload single 1024:4096 t=1 rep=2  07:56:36
  umem-preload@null single 1024:4096 t=1 rep=2  07:56:50
  jemalloc single 1024:4096 t=1 rep=2  07:57:03
  tcmalloc single 1024:4096 t=1 rep=2  07:57:16
  mimalloc single 1024:4096 t=1 rep=2  07:57:28
  snmalloc single 1024:4096 t=1 rep=2  07:57:40
  scudo single 1024:4096 t=1 rep=2  07:57:52
  rpmalloc single 1024:4096 t=1 rep=2  07:58:07
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.metal-48xl-x86_64/single/matrix.toml
