# umem frag t=192 size=64:256 ops=38171775 alloc_failures=0
throughput_mops = 9.665
lat_p50_ns = 285
lat_p99_ns = 124349
lat_p999_ns = 715777
lat_max_ns = 358699836
# umem contention dump
# rseq_enabled=1 asm_safe=1 ncpus=192
cache                          cc_alloc  full_reload   empty_reld    dep_local   dep_remote   dep_conten     rseq_alloc      rseq_free   rseq_rstrt
umem_magazine_3                       0            0            0            0            0            0              0              0            0
umem_magazine_127                     0            0            0            0            0            0              0              0            0
umem_magazine_255                     0            0            0            0            0            2              0              0            0
umem_slab_cache                       0            0            0            0            0            1              0              0            0
umem_bufctl_cache                     0            0            0            0            0        16618              0              0            0
umem_va_4096                          0            0            0            0            0         2164              0              0            0
umem_va_24576                         0            0            0            0            0            0              0              0            0
umem_alloc_80                         0            0            0          193            0            2              0              0            0
umem_alloc_96                    360261            0            0         2262         4692         3339              0              0            0
umem_alloc_112                   359724            0            0         2275         4738         2944              0              0            0
umem_alloc_128                   359593            0            0         2259         4692         2494              0              0            0
umem_alloc_160                   489191            0            0         5229        13201        22925              0              0            0
umem_alloc_192                   483371            0            0         5211        13253        19320              0              0            0
umem_alloc_224                   475664            0            0         5262        13158        21367              0              0            0
umem_alloc_256                   485583            0            0         5223        13214        19741              0              0            0
umem_alloc_320                   238681            0            0         5245        13172         2702              0              0            0
umem_alloc_24576                      0            0            0          189            0            0              0              0            0
