# umem multi t=192 size=256:1024 ops=199999872 alloc_failures=0
throughput_mops = 430.670
lat_p50_ns = 36
lat_p99_ns = 38
lat_p999_ns = 39
lat_max_ns = 230952182
# umem contention dump
# rseq_enabled=1 asm_safe=1 ncpus=192
cache                          cc_alloc  full_reload   empty_reld    dep_local   dep_remote   dep_conten     rseq_alloc      rseq_free   rseq_rstrt
umem_magazine_7                       0            0            0            0            0            0              0              0            0
umem_magazine_63                      0            0            0            0            0            0              0              0            0
umem_magazine_127                     0            0            0            0            0            0              0              0            0
umem_slab_cache                       0            0            0            0            0            0              0              0            0
umem_bufctl_cache                     0            0            0            0            0         8939              0              0            0
umem_va_4096                          0            0            0            0            0            0              0              0            0
umem_va_8192                          0            0            0            0            0            0              0              0            0
umem_va_12288                         0            0            0            0            0            0              0              0            0
umem_va_16384                         0            0            0            0            0            0              0              0            0
umem_va_20480                         0            0            0            0            0            0              0              0            0
umem_va_24576                         0            0            0            0            0            1              0              0            0
umem_alloc_320                        0            0            0           96            0            0              0              0            0
umem_alloc_384                        1            0            0          125            0            0              0              0            0
umem_alloc_448                        1            0            0          141            0            0              0              0            0
umem_alloc_512                        1            0            0          143            0            0              0              0            0
umem_alloc_640                        1            0            0          143            0            0              0              0            0
umem_alloc_768                        1            0            0          143            0            0              0              0            0
umem_alloc_896                        1            0            0          143            0            0              0              0            0
umem_alloc_1024                       1            0            0          141            0            0              0              0            0
umem_alloc_1280                       1            0            0          141            0            0              0              0            0
umem_alloc_24576                      0            0            0          140            0            3              0              0            0
