matrix: instance=c8g.metal-48xl arch=aarch64 vcpu=192 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64
  sizes:      256:1024
  runs=3 warmups=1 replicates=2 pin=1 ops=8000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c8g.metal-48xl-aarch64/frag-mid/matrix.toml
  libc frag 256:1024 t=1 rep=1  15:21:37
  umem frag 256:1024 t=1 rep=1  15:22:03
  umem@null frag 256:1024 t=1 rep=1  15:22:45
  umem-preload frag 256:1024 t=1 rep=1  15:23:27
  umem-preload@null frag 256:1024 t=1 rep=1  15:24:08
  jemalloc frag 256:1024 t=1 rep=1  15:24:50
  tcmalloc frag 256:1024 t=1 rep=1  15:25:03
  mimalloc frag 256:1024 t=1 rep=1  15:25:22
  snmalloc frag 256:1024 t=1 rep=1  15:25:38
  scudo frag 256:1024 t=1 rep=1  15:25:53
  rpmalloc frag 256:1024 t=1 rep=1  15:26:15
  libc frag 256:1024 t=1 rep=2  15:26:32
  umem frag 256:1024 t=1 rep=2  15:26:59
  umem@null frag 256:1024 t=1 rep=2  15:27:41
  umem-preload frag 256:1024 t=1 rep=2  15:28:23
  umem-preload@null frag 256:1024 t=1 rep=2  15:29:04
  jemalloc frag 256:1024 t=1 rep=2  15:29:45
  tcmalloc frag 256:1024 t=1 rep=2  15:29:59
  mimalloc frag 256:1024 t=1 rep=2  15:30:17
  snmalloc frag 256:1024 t=1 rep=2  15:30:34
  scudo frag 256:1024 t=1 rep=2  15:30:49
  rpmalloc frag 256:1024 t=1 rep=2  15:31:11
  libc frag 256:1024 t=8 rep=1  15:31:28
  umem frag 256:1024 t=8 rep=1  15:31:32
  umem@null frag 256:1024 t=8 rep=1  15:31:46
  umem-preload frag 256:1024 t=8 rep=1  15:31:59
  umem-preload@null frag 256:1024 t=8 rep=1  15:32:12
  jemalloc frag 256:1024 t=8 rep=1  15:32:27
  tcmalloc frag 256:1024 t=8 rep=1  15:32:30
  mimalloc frag 256:1024 t=8 rep=1  15:32:33
  snmalloc frag 256:1024 t=8 rep=1  15:32:36
  scudo frag 256:1024 t=8 rep=1  15:32:39
  rpmalloc frag 256:1024 t=8 rep=1  15:32:44
  libc frag 256:1024 t=8 rep=2  15:32:47
  umem frag 256:1024 t=8 rep=2  15:32:52
  umem@null frag 256:1024 t=8 rep=2  15:33:05
  umem-preload frag 256:1024 t=8 rep=2  15:33:19
  umem-preload@null frag 256:1024 t=8 rep=2  15:33:32
  jemalloc frag 256:1024 t=8 rep=2  15:33:46
  tcmalloc frag 256:1024 t=8 rep=2  15:33:49
  mimalloc frag 256:1024 t=8 rep=2  15:33:52
  snmalloc frag 256:1024 t=8 rep=2  15:33:56
  scudo frag 256:1024 t=8 rep=2  15:33:59
  rpmalloc frag 256:1024 t=8 rep=2  15:34:03
  libc frag 256:1024 t=32 rep=1  15:34:06
  umem frag 256:1024 t=32 rep=1  15:34:09
  umem@null frag 256:1024 t=32 rep=1  15:34:14
  umem-preload frag 256:1024 t=32 rep=1  15:34:19
  umem-preload@null frag 256:1024 t=32 rep=1  15:34:24
  jemalloc frag 256:1024 t=32 rep=1  15:34:29
  tcmalloc frag 256:1024 t=32 rep=1  15:34:32
  mimalloc frag 256:1024 t=32 rep=1  15:34:35
  snmalloc frag 256:1024 t=32 rep=1  15:34:38
  scudo frag 256:1024 t=32 rep=1  15:34:41
  rpmalloc frag 256:1024 t=32 rep=1  15:34:45
  libc frag 256:1024 t=32 rep=2  15:34:49
  umem frag 256:1024 t=32 rep=2  15:34:51
  umem@null frag 256:1024 t=32 rep=2  15:34:56
  umem-preload frag 256:1024 t=32 rep=2  15:35:01
  umem-preload@null frag 256:1024 t=32 rep=2  15:35:06
  jemalloc frag 256:1024 t=32 rep=2  15:35:11
  tcmalloc frag 256:1024 t=32 rep=2  15:35:14
  mimalloc frag 256:1024 t=32 rep=2  15:35:17
  snmalloc frag 256:1024 t=32 rep=2  15:35:20
  scudo frag 256:1024 t=32 rep=2  15:35:23
  rpmalloc frag 256:1024 t=32 rep=2  15:35:28
  libc frag 256:1024 t=64 rep=1  15:35:31
  umem frag 256:1024 t=64 rep=1  15:35:33
  umem@null frag 256:1024 t=64 rep=1  15:35:37
  umem-preload frag 256:1024 t=64 rep=1  15:35:41
  umem-preload@null frag 256:1024 t=64 rep=1  15:35:46
  jemalloc frag 256:1024 t=64 rep=1  15:35:50
  tcmalloc frag 256:1024 t=64 rep=1  15:35:52
  mimalloc frag 256:1024 t=64 rep=1  15:35:55
  snmalloc frag 256:1024 t=64 rep=1  15:35:58
  scudo frag 256:1024 t=64 rep=1  15:36:01
  rpmalloc frag 256:1024 t=64 rep=1  15:36:05
  libc frag 256:1024 t=64 rep=2  15:36:08
  umem frag 256:1024 t=64 rep=2  15:36:11
  umem@null frag 256:1024 t=64 rep=2  15:36:15
  umem-preload frag 256:1024 t=64 rep=2  15:36:19
  umem-preload@null frag 256:1024 t=64 rep=2  15:36:22
  jemalloc frag 256:1024 t=64 rep=2  15:36:26
  tcmalloc frag 256:1024 t=64 rep=2  15:36:29
  mimalloc frag 256:1024 t=64 rep=2  15:36:32
  snmalloc frag 256:1024 t=64 rep=2  15:36:35
  scudo frag 256:1024 t=64 rep=2  15:36:37
  rpmalloc frag 256:1024 t=64 rep=2  15:36:42
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c8g.metal-48xl-aarch64/frag-mid/matrix.toml
