matrix: instance=c8g.metal-48xl arch=aarch64 vcpu=192 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  sizes:      16:64 64:256
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c8g.metal-48xl-aarch64/frag/matrix.toml
  libc frag 16:64 t=1 rep=1  14:18:46
  umem frag 16:64 t=1 rep=1  14:19:16
  umem@null frag 16:64 t=1 rep=1  14:20:17
  umem-preload frag 16:64 t=1 rep=1  14:21:18
  umem-preload@null frag 16:64 t=1 rep=1  14:22:19
  jemalloc frag 16:64 t=1 rep=1  14:23:20
  tcmalloc frag 16:64 t=1 rep=1  14:23:45
  mimalloc frag 16:64 t=1 rep=1  14:24:13
  snmalloc frag 16:64 t=1 rep=1  14:24:39
  scudo frag 16:64 t=1 rep=1  14:25:05
  rpmalloc frag 16:64 t=1 rep=1  14:25:41
  libc frag 16:64 t=1 rep=2  14:26:08
  umem frag 16:64 t=1 rep=2  14:26:38
  umem@null frag 16:64 t=1 rep=2  14:27:40
  umem-preload frag 16:64 t=1 rep=2  14:28:41
  umem-preload@null frag 16:64 t=1 rep=2  14:29:42
  jemalloc frag 16:64 t=1 rep=2  14:30:43
  tcmalloc frag 16:64 t=1 rep=2  14:31:07
  mimalloc frag 16:64 t=1 rep=2  14:31:35
  snmalloc frag 16:64 t=1 rep=2  14:32:02
  scudo frag 16:64 t=1 rep=2  14:32:27
  rpmalloc frag 16:64 t=1 rep=2  14:33:03
  libc frag 16:64 t=8 rep=1  14:33:30
  umem frag 16:64 t=8 rep=1  14:33:38
  umem@null frag 16:64 t=8 rep=1  14:33:58
  umem-preload frag 16:64 t=8 rep=1  14:34:19
  umem-preload@null frag 16:64 t=8 rep=1  14:34:39
  jemalloc frag 16:64 t=8 rep=1  14:34:59
  tcmalloc frag 16:64 t=8 rep=1  14:35:06
  mimalloc frag 16:64 t=8 rep=1  14:35:12
