matrix: instance=c8g.metal-48xl arch=aarch64 vcpu=192 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=200000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c8g.metal-48xl-aarch64/multi/matrix.toml
  libc multi 16:64 t=1 rep=1  07:54:56
  umem multi 16:64 t=1 rep=1  07:56:51
  umem@null multi 16:64 t=1 rep=1  07:58:50
  umem-preload multi 16:64 t=1 rep=1  08:00:50
  umem-preload@null multi 16:64 t=1 rep=1  08:03:01
  jemalloc multi 16:64 t=1 rep=1  08:05:13
  tcmalloc multi 16:64 t=1 rep=1  08:07:03
  mimalloc multi 16:64 t=1 rep=1  08:09:08
  snmalloc multi 16:64 t=1 rep=1  08:10:57
  scudo multi 16:64 t=1 rep=1  08:12:48
  rpmalloc multi 16:64 t=1 rep=1  08:15:00
  libc multi 16:64 t=1 rep=2  08:16:52
  umem multi 16:64 t=1 rep=2  08:18:47
  umem@null multi 16:64 t=1 rep=2  08:20:47
  umem-preload multi 16:64 t=1 rep=2  08:22:46
  umem-preload@null multi 16:64 t=1 rep=2  08:24:58
  jemalloc multi 16:64 t=1 rep=2  08:27:10
  tcmalloc multi 16:64 t=1 rep=2  08:29:00
  mimalloc multi 16:64 t=1 rep=2  08:31:05
  snmalloc multi 16:64 t=1 rep=2  08:32:54
  scudo multi 16:64 t=1 rep=2  08:34:45
  rpmalloc multi 16:64 t=1 rep=2  08:36:57
  libc multi 16:64 t=8 rep=1  08:38:49
  umem multi 16:64 t=8 rep=1  08:39:05
  umem@null multi 16:64 t=8 rep=1  08:39:20
  umem-preload multi 16:64 t=8 rep=1  08:39:36
  umem-preload@null multi 16:64 t=8 rep=1  08:39:54
  jemalloc multi 16:64 t=8 rep=1  08:40:12
  tcmalloc multi 16:64 t=8 rep=1  08:40:27
  mimalloc multi 16:64 t=8 rep=1  08:40:43
  snmalloc multi 16:64 t=8 rep=1  08:40:58
  scudo multi 16:64 t=8 rep=1  08:41:13
  rpmalloc multi 16:64 t=8 rep=1  08:41:31
  libc multi 16:64 t=8 rep=2  08:41:46
  umem multi 16:64 t=8 rep=2  08:42:02
  umem@null multi 16:64 t=8 rep=2  08:42:18
  umem-preload multi 16:64 t=8 rep=2  08:42:33
  umem-preload@null multi 16:64 t=8 rep=2  08:42:52
  jemalloc multi 16:64 t=8 rep=2  08:43:10
  tcmalloc multi 16:64 t=8 rep=2  08:43:25
  mimalloc multi 16:64 t=8 rep=2  08:43:41
  snmalloc multi 16:64 t=8 rep=2  08:43:56
  scudo multi 16:64 t=8 rep=2  08:44:11
  rpmalloc multi 16:64 t=8 rep=2  08:44:29
  libc multi 16:64 t=32 rep=1  08:44:44
  umem multi 16:64 t=32 rep=1  08:44:48
  umem@null multi 16:64 t=32 rep=1  08:44:52
  umem-preload multi 16:64 t=32 rep=1  08:44:57
  umem-preload@null multi 16:64 t=32 rep=1  08:45:01
  jemalloc multi 16:64 t=32 rep=1  08:45:06
  tcmalloc multi 16:64 t=32 rep=1  08:45:10
  mimalloc multi 16:64 t=32 rep=1  08:45:14
  snmalloc multi 16:64 t=32 rep=1  08:45:18
  scudo multi 16:64 t=32 rep=1  08:45:22
  rpmalloc multi 16:64 t=32 rep=1  08:45:27
  libc multi 16:64 t=32 rep=2  08:45:31
  umem multi 16:64 t=32 rep=2  08:45:35
  umem@null multi 16:64 t=32 rep=2  08:45:39
  umem-preload multi 16:64 t=32 rep=2  08:45:43
  umem-preload@null multi 16:64 t=32 rep=2  08:45:48
  jemalloc multi 16:64 t=32 rep=2  08:45:52
  tcmalloc multi 16:64 t=32 rep=2  08:45:56
  mimalloc multi 16:64 t=32 rep=2  08:46:01
  snmalloc multi 16:64 t=32 rep=2  08:46:04
  scudo multi 16:64 t=32 rep=2  08:46:08
  rpmalloc multi 16:64 t=32 rep=2  08:46:13
  libc multi 16:64 t=64 rep=1  08:46:17
  umem multi 16:64 t=64 rep=1  08:46:19
  umem@null multi 16:64 t=64 rep=1  08:46:22
  umem-preload multi 16:64 t=64 rep=1  08:46:24
  umem-preload@null multi 16:64 t=64 rep=1  08:46:26
  jemalloc multi 16:64 t=64 rep=1  08:46:28
  tcmalloc multi 16:64 t=64 rep=1  08:46:30
  mimalloc multi 16:64 t=64 rep=1  08:46:33
  snmalloc multi 16:64 t=64 rep=1  08:46:34
  scudo multi 16:64 t=64 rep=1  08:46:36
  rpmalloc multi 16:64 t=64 rep=1  08:46:39
  libc multi 16:64 t=64 rep=2  08:46:41
  umem multi 16:64 t=64 rep=2  08:46:43
  umem@null multi 16:64 t=64 rep=2  08:46:45
  umem-preload multi 16:64 t=64 rep=2  08:46:47
  umem-preload@null multi 16:64 t=64 rep=2  08:46:50
  jemalloc multi 16:64 t=64 rep=2  08:46:52
  tcmalloc multi 16:64 t=64 rep=2  08:46:54
  mimalloc multi 16:64 t=64 rep=2  08:46:56
  snmalloc multi 16:64 t=64 rep=2  08:46:58
  scudo multi 16:64 t=64 rep=2  08:47:00
  rpmalloc multi 16:64 t=64 rep=2  08:47:03
  libc multi 16:64 t=128 rep=1  08:47:05
  umem multi 16:64 t=128 rep=1  08:47:07
  umem@null multi 16:64 t=128 rep=1  08:47:08
  umem-preload multi 16:64 t=128 rep=1  08:47:10
  umem-preload@null multi 16:64 t=128 rep=1  08:47:12
  jemalloc multi 16:64 t=128 rep=1  08:47:15
  tcmalloc multi 16:64 t=128 rep=1  08:47:16
  mimalloc multi 16:64 t=128 rep=1  08:47:18
  snmalloc multi 16:64 t=128 rep=1  08:47:20
  scudo multi 16:64 t=128 rep=1  08:47:22
  rpmalloc multi 16:64 t=128 rep=1  08:47:24
  libc multi 16:64 t=128 rep=2  08:47:25
  umem multi 16:64 t=128 rep=2  08:47:27
  umem@null multi 16:64 t=128 rep=2  08:47:29
  umem-preload multi 16:64 t=128 rep=2  08:47:31
  umem-preload@null multi 16:64 t=128 rep=2  08:47:34
  jemalloc multi 16:64 t=128 rep=2  08:47:36
  tcmalloc multi 16:64 t=128 rep=2  08:47:38
  mimalloc multi 16:64 t=128 rep=2  08:47:40
  snmalloc multi 16:64 t=128 rep=2  08:47:41
  scudo multi 16:64 t=128 rep=2  08:47:43
  rpmalloc multi 16:64 t=128 rep=2  08:47:45
  libc multi 16:64 t=192 rep=1  08:47:47
  umem multi 16:64 t=192 rep=1  08:47:48
  umem@null multi 16:64 t=192 rep=1  08:47:50
  umem-preload multi 16:64 t=192 rep=1  08:47:52
  umem-preload@null multi 16:64 t=192 rep=1  08:47:53
  jemalloc multi 16:64 t=192 rep=1  08:47:55
  tcmalloc multi 16:64 t=192 rep=1  08:47:57
  mimalloc multi 16:64 t=192 rep=1  08:47:58
  snmalloc multi 16:64 t=192 rep=1  08:48:00
  scudo multi 16:64 t=192 rep=1  08:48:01
  rpmalloc multi 16:64 t=192 rep=1  08:48:03
  libc multi 16:64 t=192 rep=2  08:48:04
  umem multi 16:64 t=192 rep=2  08:48:06
  umem@null multi 16:64 t=192 rep=2  08:48:07
  umem-preload multi 16:64 t=192 rep=2  08:48:09
  umem-preload@null multi 16:64 t=192 rep=2  08:48:11
  jemalloc multi 16:64 t=192 rep=2  08:48:12
  tcmalloc multi 16:64 t=192 rep=2  08:48:14
  mimalloc multi 16:64 t=192 rep=2  08:48:15
  snmalloc multi 16:64 t=192 rep=2  08:48:17
  scudo multi 16:64 t=192 rep=2  08:48:18
  rpmalloc multi 16:64 t=192 rep=2  08:48:20
  libc multi 64:256 t=1 rep=1  08:48:21
  umem multi 64:256 t=1 rep=1  08:50:20
  umem@null multi 64:256 t=1 rep=1  08:52:20
  umem-preload multi 64:256 t=1 rep=1  08:54:19
  umem-preload@null multi 64:256 t=1 rep=1  08:56:33
  jemalloc multi 64:256 t=1 rep=1  08:58:45
  tcmalloc multi 64:256 t=1 rep=1  09:00:37
  mimalloc multi 64:256 t=1 rep=1  09:02:29
  snmalloc multi 64:256 t=1 rep=1  09:04:21
  scudo multi 64:256 t=1 rep=1  09:06:14
  rpmalloc multi 64:256 t=1 rep=1  09:08:26
  libc multi 64:256 t=1 rep=2  09:10:21
  umem multi 64:256 t=1 rep=2  09:12:19
  umem@null multi 64:256 t=1 rep=2  09:14:19
  umem-preload multi 64:256 t=1 rep=2  09:16:19
  umem-preload@null multi 64:256 t=1 rep=2  09:18:34
  jemalloc multi 64:256 t=1 rep=2  09:20:47
  tcmalloc multi 64:256 t=1 rep=2  09:22:38
  mimalloc multi 64:256 t=1 rep=2  09:24:31
  snmalloc multi 64:256 t=1 rep=2  09:26:22
  scudo multi 64:256 t=1 rep=2  09:28:15
  rpmalloc multi 64:256 t=1 rep=2  09:30:25
  libc multi 64:256 t=8 rep=1  09:32:19
  umem multi 64:256 t=8 rep=1  09:32:36
  umem@null multi 64:256 t=8 rep=1  09:32:52
  umem-preload multi 64:256 t=8 rep=1  09:33:07
  umem-preload@null multi 64:256 t=8 rep=1  09:33:26
  jemalloc multi 64:256 t=8 rep=1  09:33:44
  tcmalloc multi 64:256 t=8 rep=1  09:34:00
  mimalloc multi 64:256 t=8 rep=1  09:34:16
  snmalloc multi 64:256 t=8 rep=1  09:34:31
  scudo multi 64:256 t=8 rep=1  09:34:46
  rpmalloc multi 64:256 t=8 rep=1  09:35:05
  libc multi 64:256 t=8 rep=2  09:35:20
  umem multi 64:256 t=8 rep=2  09:35:36
  umem@null multi 64:256 t=8 rep=2  09:35:52
  umem-preload multi 64:256 t=8 rep=2  09:36:07
  umem-preload@null multi 64:256 t=8 rep=2  09:36:26
  jemalloc multi 64:256 t=8 rep=2  09:36:44
  tcmalloc multi 64:256 t=8 rep=2  09:36:59
  mimalloc multi 64:256 t=8 rep=2  09:37:15
  snmalloc multi 64:256 t=8 rep=2  09:37:31
  scudo multi 64:256 t=8 rep=2  09:37:46
  rpmalloc multi 64:256 t=8 rep=2  09:38:04
  libc multi 64:256 t=32 rep=1  09:38:20
  umem multi 64:256 t=32 rep=1  09:38:24
  umem@null multi 64:256 t=32 rep=1  09:38:28
  umem-preload multi 64:256 t=32 rep=1  09:38:32
  umem-preload@null multi 64:256 t=32 rep=1  09:38:37
  jemalloc multi 64:256 t=32 rep=1  09:38:42
  tcmalloc multi 64:256 t=32 rep=1  09:38:46
  mimalloc multi 64:256 t=32 rep=1  09:38:50
  snmalloc multi 64:256 t=32 rep=1  09:38:54
  scudo multi 64:256 t=32 rep=1  09:38:58
  rpmalloc multi 64:256 t=32 rep=1  09:39:03
  libc multi 64:256 t=32 rep=2  09:39:07
  umem multi 64:256 t=32 rep=2  09:39:11
  umem@null multi 64:256 t=32 rep=2  09:39:15
  umem-preload multi 64:256 t=32 rep=2  09:39:19
  umem-preload@null multi 64:256 t=32 rep=2  09:39:24
  jemalloc multi 64:256 t=32 rep=2  09:39:29
  tcmalloc multi 64:256 t=32 rep=2  09:39:33
  mimalloc multi 64:256 t=32 rep=2  09:39:37
  snmalloc multi 64:256 t=32 rep=2  09:39:41
  scudo multi 64:256 t=32 rep=2  09:39:45
  rpmalloc multi 64:256 t=32 rep=2  09:39:50
  libc multi 64:256 t=64 rep=1  09:39:54
  umem multi 64:256 t=64 rep=1  09:39:56
  umem@null multi 64:256 t=64 rep=1  09:39:58
  umem-preload multi 64:256 t=64 rep=1  09:40:00
  umem-preload@null multi 64:256 t=64 rep=1  09:40:03
  jemalloc multi 64:256 t=64 rep=1  09:40:05
  tcmalloc multi 64:256 t=64 rep=1  09:40:07
  mimalloc multi 64:256 t=64 rep=1  09:40:09
  snmalloc multi 64:256 t=64 rep=1  09:40:11
  scudo multi 64:256 t=64 rep=1  09:40:13
  rpmalloc multi 64:256 t=64 rep=1  09:40:15
  libc multi 64:256 t=64 rep=2  09:40:18
  umem multi 64:256 t=64 rep=2  09:40:20
  umem@null multi 64:256 t=64 rep=2  09:40:22
  umem-preload multi 64:256 t=64 rep=2  09:40:24
  umem-preload@null multi 64:256 t=64 rep=2  09:40:26
  jemalloc multi 64:256 t=64 rep=2  09:40:29
  tcmalloc multi 64:256 t=64 rep=2  09:40:31
  mimalloc multi 64:256 t=64 rep=2  09:40:33
  snmalloc multi 64:256 t=64 rep=2  09:40:35
  scudo multi 64:256 t=64 rep=2  09:40:37
  rpmalloc multi 64:256 t=64 rep=2  09:40:39
  libc multi 64:256 t=128 rep=1  09:40:41
  umem multi 64:256 t=128 rep=1  09:40:43
  umem@null multi 64:256 t=128 rep=1  09:40:45
  umem-preload multi 64:256 t=128 rep=1  09:40:47
  umem-preload@null multi 64:256 t=128 rep=1  09:40:49
  jemalloc multi 64:256 t=128 rep=1  09:40:51
  tcmalloc multi 64:256 t=128 rep=1  09:40:53
  mimalloc multi 64:256 t=128 rep=1  09:40:55
  snmalloc multi 64:256 t=128 rep=1  09:40:57
  scudo multi 64:256 t=128 rep=1  09:40:59
  rpmalloc multi 64:256 t=128 rep=1  09:41:01
  libc multi 64:256 t=128 rep=2  09:41:02
  umem multi 64:256 t=128 rep=2  09:41:04
  umem@null multi 64:256 t=128 rep=2  09:41:06
  umem-preload multi 64:256 t=128 rep=2  09:41:08
  umem-preload@null multi 64:256 t=128 rep=2  09:41:10
  jemalloc multi 64:256 t=128 rep=2  09:41:12
  tcmalloc multi 64:256 t=128 rep=2  09:41:14
  mimalloc multi 64:256 t=128 rep=2  09:41:16
  snmalloc multi 64:256 t=128 rep=2  09:41:18
  scudo multi 64:256 t=128 rep=2  09:41:19
  rpmalloc multi 64:256 t=128 rep=2  09:41:21
  libc multi 64:256 t=192 rep=1  09:41:23
  umem multi 64:256 t=192 rep=1  09:41:25
  umem@null multi 64:256 t=192 rep=1  09:41:26
  umem-preload multi 64:256 t=192 rep=1  09:41:28
  umem-preload@null multi 64:256 t=192 rep=1  09:41:30
  jemalloc multi 64:256 t=192 rep=1  09:41:32
  tcmalloc multi 64:256 t=192 rep=1  09:41:33
  mimalloc multi 64:256 t=192 rep=1  09:41:35
  snmalloc multi 64:256 t=192 rep=1  09:41:36
  scudo multi 64:256 t=192 rep=1  09:41:37
  rpmalloc multi 64:256 t=192 rep=1  09:41:39
  libc multi 64:256 t=192 rep=2  09:41:41
  umem multi 64:256 t=192 rep=2  09:41:42
  umem@null multi 64:256 t=192 rep=2  09:41:44
  umem-preload multi 64:256 t=192 rep=2  09:41:45
  umem-preload@null multi 64:256 t=192 rep=2  09:41:47
  jemalloc multi 64:256 t=192 rep=2  09:41:49
  tcmalloc multi 64:256 t=192 rep=2  09:41:50
  mimalloc multi 64:256 t=192 rep=2  09:41:52
  snmalloc multi 64:256 t=192 rep=2  09:41:53
  scudo multi 64:256 t=192 rep=2  09:41:55
  rpmalloc multi 64:256 t=192 rep=2  09:41:56
  libc multi 256:1024 t=1 rep=1  09:41:58
  umem multi 256:1024 t=1 rep=1  09:44:01
  umem@null multi 256:1024 t=1 rep=1  09:46:01
  umem-preload multi 256:1024 t=1 rep=1  09:48:02
  umem-preload@null multi 256:1024 t=1 rep=1  09:50:17
  jemalloc multi 256:1024 t=1 rep=1  09:52:31
  tcmalloc multi 256:1024 t=1 rep=1  09:54:27
  mimalloc multi 256:1024 t=1 rep=1  09:56:24
  snmalloc multi 256:1024 t=1 rep=1  09:58:20
  scudo multi 256:1024 t=1 rep=1  10:00:16
  rpmalloc multi 256:1024 t=1 rep=1  10:02:37
  libc multi 256:1024 t=1 rep=2  10:04:34
  umem multi 256:1024 t=1 rep=2  10:06:37
  umem@null multi 256:1024 t=1 rep=2  10:08:38
  umem-preload multi 256:1024 t=1 rep=2  10:10:39
  umem-preload@null multi 256:1024 t=1 rep=2  10:12:54
  jemalloc multi 256:1024 t=1 rep=2  10:15:08
  tcmalloc multi 256:1024 t=1 rep=2  10:17:04
  mimalloc multi 256:1024 t=1 rep=2  10:19:02
  snmalloc multi 256:1024 t=1 rep=2  10:20:57
  scudo multi 256:1024 t=1 rep=2  10:22:54
  rpmalloc multi 256:1024 t=1 rep=2  10:25:10
  libc multi 256:1024 t=8 rep=1  10:27:08
  umem multi 256:1024 t=8 rep=1  10:27:24
  umem@null multi 256:1024 t=8 rep=1  10:27:41
  umem-preload multi 256:1024 t=8 rep=1  10:27:57
  umem-preload@null multi 256:1024 t=8 rep=1  10:28:16
  jemalloc multi 256:1024 t=8 rep=1  10:28:35
  tcmalloc multi 256:1024 t=8 rep=1  10:28:51
  mimalloc multi 256:1024 t=8 rep=1  10:29:09
  snmalloc multi 256:1024 t=8 rep=1  10:29:24
  scudo multi 256:1024 t=8 rep=1  10:29:40
  rpmalloc multi 256:1024 t=8 rep=1  10:30:00
  libc multi 256:1024 t=8 rep=2  10:30:16
  umem multi 256:1024 t=8 rep=2  10:30:33
  umem@null multi 256:1024 t=8 rep=2  10:30:49
  umem-preload multi 256:1024 t=8 rep=2  10:31:06
  umem-preload@null multi 256:1024 t=8 rep=2  10:31:24
  jemalloc multi 256:1024 t=8 rep=2  10:31:43
  tcmalloc multi 256:1024 t=8 rep=2  10:32:00
  mimalloc multi 256:1024 t=8 rep=2  10:32:17
  snmalloc multi 256:1024 t=8 rep=2  10:32:33
  scudo multi 256:1024 t=8 rep=2  10:32:49
  rpmalloc multi 256:1024 t=8 rep=2  10:33:08
  libc multi 256:1024 t=32 rep=1  10:33:25
  umem multi 256:1024 t=32 rep=1  10:33:30
  umem@null multi 256:1024 t=32 rep=1  10:33:34
  umem-preload multi 256:1024 t=32 rep=1  10:33:38
  umem-preload@null multi 256:1024 t=32 rep=1  10:33:43
  jemalloc multi 256:1024 t=32 rep=1  10:33:48
  tcmalloc multi 256:1024 t=32 rep=1  10:33:52
  mimalloc multi 256:1024 t=32 rep=1  10:33:56
  snmalloc multi 256:1024 t=32 rep=1  10:34:01
  scudo multi 256:1024 t=32 rep=1  10:34:05
  rpmalloc multi 256:1024 t=32 rep=1  10:34:10
  libc multi 256:1024 t=32 rep=2  10:34:14
  umem multi 256:1024 t=32 rep=2  10:34:18
  umem@null multi 256:1024 t=32 rep=2  10:34:23
  umem-preload multi 256:1024 t=32 rep=2  10:34:27
  umem-preload@null multi 256:1024 t=32 rep=2  10:34:32
  jemalloc multi 256:1024 t=32 rep=2  10:34:37
  tcmalloc multi 256:1024 t=32 rep=2  10:34:41
  mimalloc multi 256:1024 t=32 rep=2  10:34:45
  snmalloc multi 256:1024 t=32 rep=2  10:34:49
  scudo multi 256:1024 t=32 rep=2  10:34:53
  rpmalloc multi 256:1024 t=32 rep=2  10:34:58
  libc multi 256:1024 t=64 rep=1  10:35:03
  umem multi 256:1024 t=64 rep=1  10:35:05
  umem@null multi 256:1024 t=64 rep=1  10:35:07
  umem-preload multi 256:1024 t=64 rep=1  10:35:09
  umem-preload@null multi 256:1024 t=64 rep=1  10:35:12
  jemalloc multi 256:1024 t=64 rep=1  10:35:14
  tcmalloc multi 256:1024 t=64 rep=1  10:35:16
  mimalloc multi 256:1024 t=64 rep=1  10:35:18
  snmalloc multi 256:1024 t=64 rep=1  10:35:20
  scudo multi 256:1024 t=64 rep=1  10:35:23
  rpmalloc multi 256:1024 t=64 rep=1  10:35:25
  libc multi 256:1024 t=64 rep=2  10:35:27
  umem multi 256:1024 t=64 rep=2  10:35:30
  umem@null multi 256:1024 t=64 rep=2  10:35:32
  umem-preload multi 256:1024 t=64 rep=2  10:35:34
  umem-preload@null multi 256:1024 t=64 rep=2  10:35:36
  jemalloc multi 256:1024 t=64 rep=2  10:35:39
  tcmalloc multi 256:1024 t=64 rep=2  10:35:41
  mimalloc multi 256:1024 t=64 rep=2  10:35:43
  snmalloc multi 256:1024 t=64 rep=2  10:35:45
  scudo multi 256:1024 t=64 rep=2  10:35:47
  rpmalloc multi 256:1024 t=64 rep=2  10:35:50
  libc multi 256:1024 t=128 rep=1  10:35:52
  umem multi 256:1024 t=128 rep=1  10:35:55
  umem@null multi 256:1024 t=128 rep=1  10:35:57
  umem-preload multi 256:1024 t=128 rep=1  10:36:00
  umem-preload@null multi 256:1024 t=128 rep=1  10:36:03
  jemalloc multi 256:1024 t=128 rep=1  10:36:06
  tcmalloc multi 256:1024 t=128 rep=1  10:36:09
  mimalloc multi 256:1024 t=128 rep=1  10:36:12
  snmalloc multi 256:1024 t=128 rep=1  10:36:15
  scudo multi 256:1024 t=128 rep=1  10:36:17
  rpmalloc multi 256:1024 t=128 rep=1  10:36:20
  libc multi 256:1024 t=128 rep=2  10:36:23
  umem multi 256:1024 t=128 rep=2  10:36:26
  umem@null multi 256:1024 t=128 rep=2  10:36:29
  umem-preload multi 256:1024 t=128 rep=2  10:36:31
  umem-preload@null multi 256:1024 t=128 rep=2  10:36:34
  jemalloc multi 256:1024 t=128 rep=2  10:36:37
  tcmalloc multi 256:1024 t=128 rep=2  10:36:39
  mimalloc multi 256:1024 t=128 rep=2  10:36:42
  snmalloc multi 256:1024 t=128 rep=2  10:36:45
  scudo multi 256:1024 t=128 rep=2  10:36:47
  rpmalloc multi 256:1024 t=128 rep=2  10:36:50
  libc multi 256:1024 t=192 rep=1  10:36:53
  umem multi 256:1024 t=192 rep=1  10:36:55
  umem@null multi 256:1024 t=192 rep=1  10:36:56
  umem-preload multi 256:1024 t=192 rep=1  10:36:58
  umem-preload@null multi 256:1024 t=192 rep=1  10:37:00
  jemalloc multi 256:1024 t=192 rep=1  10:37:02
  tcmalloc multi 256:1024 t=192 rep=1  10:37:03
  mimalloc multi 256:1024 t=192 rep=1  10:37:05
  snmalloc multi 256:1024 t=192 rep=1  10:37:06
  scudo multi 256:1024 t=192 rep=1  10:37:08
  rpmalloc multi 256:1024 t=192 rep=1  10:37:09
  libc multi 256:1024 t=192 rep=2  10:37:18
  umem multi 256:1024 t=192 rep=2  10:37:19
  umem@null multi 256:1024 t=192 rep=2  10:37:21
  umem-preload multi 256:1024 t=192 rep=2  10:37:22
  umem-preload@null multi 256:1024 t=192 rep=2  10:37:24
  jemalloc multi 256:1024 t=192 rep=2  10:37:26
  tcmalloc multi 256:1024 t=192 rep=2  10:37:27
  mimalloc multi 256:1024 t=192 rep=2  10:37:29
  snmalloc multi 256:1024 t=192 rep=2  10:37:31
  scudo multi 256:1024 t=192 rep=2  10:37:32
  rpmalloc multi 256:1024 t=192 rep=2  10:37:34
  libc multi 1024:4096 t=1 rep=1  10:37:40
  umem multi 1024:4096 t=1 rep=1  10:40:30
  umem@null multi 1024:4096 t=1 rep=1  10:43:04
  umem-preload multi 1024:4096 t=1 rep=1  10:45:37
  umem-preload@null multi 1024:4096 t=1 rep=1  10:48:26
  jemalloc multi 1024:4096 t=1 rep=1  10:51:14
  tcmalloc multi 1024:4096 t=1 rep=1  10:53:30
  mimalloc multi 1024:4096 t=1 rep=1  10:55:48
  snmalloc multi 1024:4096 t=1 rep=1  10:58:05
  scudo multi 1024:4096 t=1 rep=1  11:00:17
  rpmalloc multi 1024:4096 t=1 rep=1  11:02:56
  libc multi 1024:4096 t=1 rep=2  11:05:15
  umem multi 1024:4096 t=1 rep=2  11:08:04
  umem@null multi 1024:4096 t=1 rep=2  11:10:38
  umem-preload multi 1024:4096 t=1 rep=2  11:13:12
  umem-preload@null multi 1024:4096 t=1 rep=2  11:16:00
  jemalloc multi 1024:4096 t=1 rep=2  11:18:49
  tcmalloc multi 1024:4096 t=1 rep=2  11:21:05
  mimalloc multi 1024:4096 t=1 rep=2  11:23:23
  snmalloc multi 1024:4096 t=1 rep=2  11:25:40
  scudo multi 1024:4096 t=1 rep=2  11:27:52
  rpmalloc multi 1024:4096 t=1 rep=2  11:30:31
  libc multi 1024:4096 t=8 rep=1  11:32:50
  umem multi 1024:4096 t=8 rep=1  11:33:15
  umem@null multi 1024:4096 t=8 rep=1  11:33:41
  umem-preload multi 1024:4096 t=8 rep=1  11:34:04
  umem-preload@null multi 1024:4096 t=8 rep=1  11:34:29
  jemalloc multi 1024:4096 t=8 rep=1  11:34:54
  tcmalloc multi 1024:4096 t=8 rep=1  11:35:13
  mimalloc multi 1024:4096 t=8 rep=1  11:35:34
  snmalloc multi 1024:4096 t=8 rep=1  11:35:54
  scudo multi 1024:4096 t=8 rep=1  11:36:13
  rpmalloc multi 1024:4096 t=8 rep=1  11:36:36
  libc multi 1024:4096 t=8 rep=2  11:36:56
  umem multi 1024:4096 t=8 rep=2  11:37:21
  umem@null multi 1024:4096 t=8 rep=2  11:37:48
  umem-preload multi 1024:4096 t=8 rep=2  11:38:11
  umem-preload@null multi 1024:4096 t=8 rep=2  11:38:39
  jemalloc multi 1024:4096 t=8 rep=2  11:39:08
  tcmalloc multi 1024:4096 t=8 rep=2  11:39:27
  mimalloc multi 1024:4096 t=8 rep=2  11:39:48
