matrix: instance=c8g.metal-48xl arch=aarch64 vcpu=192 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=10000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c8g.metal-48xl-aarch64/prodcons/matrix.toml
  libc prodcons 16:64 t=1 rep=1  11:47:50
  umem prodcons 16:64 t=1 rep=1  11:48:02
  umem@null prodcons 16:64 t=1 rep=1  11:48:15
  umem-preload prodcons 16:64 t=1 rep=1  11:48:28
  umem-preload@null prodcons 16:64 t=1 rep=1  11:48:40
  jemalloc prodcons 16:64 t=1 rep=1  11:48:53
  tcmalloc prodcons 16:64 t=1 rep=1  11:49:06
  mimalloc prodcons 16:64 t=1 rep=1  11:49:19
  snmalloc prodcons 16:64 t=1 rep=1  11:49:30
  scudo prodcons 16:64 t=1 rep=1  11:49:42
  rpmalloc prodcons 16:64 t=1 rep=1  11:49:55
  libc prodcons 16:64 t=1 rep=2  11:50:07
  umem prodcons 16:64 t=1 rep=2  11:50:19
  umem@null prodcons 16:64 t=1 rep=2  11:50:32
  umem-preload prodcons 16:64 t=1 rep=2  11:50:45
  umem-preload@null prodcons 16:64 t=1 rep=2  11:50:58
  jemalloc prodcons 16:64 t=1 rep=2  11:51:11
  tcmalloc prodcons 16:64 t=1 rep=2  11:51:24
  mimalloc prodcons 16:64 t=1 rep=2  11:51:36
  snmalloc prodcons 16:64 t=1 rep=2  11:51:48
  scudo prodcons 16:64 t=1 rep=2  11:51:59
  rpmalloc prodcons 16:64 t=1 rep=2  11:52:13
  libc prodcons 16:64 t=8 rep=1  11:52:25
  umem prodcons 16:64 t=8 rep=1  11:52:30
  umem@null prodcons 16:64 t=8 rep=1  11:52:37
  umem-preload prodcons 16:64 t=8 rep=1  11:52:45
  umem-preload@null prodcons 16:64 t=8 rep=1  11:52:51
  jemalloc prodcons 16:64 t=8 rep=1  11:52:59
  tcmalloc prodcons 16:64 t=8 rep=1  11:53:07
  mimalloc prodcons 16:64 t=8 rep=1  11:53:14
  snmalloc prodcons 16:64 t=8 rep=1  11:53:19
  scudo prodcons 16:64 t=8 rep=1  11:53:24
  rpmalloc prodcons 16:64 t=8 rep=1  11:53:34
  libc prodcons 16:64 t=8 rep=2  11:53:40
  umem prodcons 16:64 t=8 rep=2  11:53:47
  umem@null prodcons 16:64 t=8 rep=2  11:53:55
  umem-preload prodcons 16:64 t=8 rep=2  11:54:03
  umem-preload@null prodcons 16:64 t=8 rep=2  11:54:10
  jemalloc prodcons 16:64 t=8 rep=2  11:54:18
  tcmalloc prodcons 16:64 t=8 rep=2  11:54:25
  mimalloc prodcons 16:64 t=8 rep=2  11:54:31
  snmalloc prodcons 16:64 t=8 rep=2  11:54:39
  scudo prodcons 16:64 t=8 rep=2  11:54:46
  rpmalloc prodcons 16:64 t=8 rep=2  11:54:56
  libc prodcons 16:64 t=32 rep=1  11:55:05
  umem prodcons 16:64 t=32 rep=1  11:55:09
  umem@null prodcons 16:64 t=32 rep=1  11:55:14
  umem-preload prodcons 16:64 t=32 rep=1  11:55:19
  umem-preload@null prodcons 16:64 t=32 rep=1  11:55:24
  jemalloc prodcons 16:64 t=32 rep=1  11:55:29
  tcmalloc prodcons 16:64 t=32 rep=1  11:55:34
  mimalloc prodcons 16:64 t=32 rep=1  11:55:40
  snmalloc prodcons 16:64 t=32 rep=1  11:55:45
  scudo prodcons 16:64 t=32 rep=1  11:55:49
  rpmalloc prodcons 16:64 t=32 rep=1  11:56:00
  libc prodcons 16:64 t=32 rep=2  11:56:04
  umem prodcons 16:64 t=32 rep=2  11:56:09
  umem@null prodcons 16:64 t=32 rep=2  11:56:14
  umem-preload prodcons 16:64 t=32 rep=2  11:56:19
  umem-preload@null prodcons 16:64 t=32 rep=2  11:56:24
  jemalloc prodcons 16:64 t=32 rep=2  11:56:29
  tcmalloc prodcons 16:64 t=32 rep=2  11:56:34
  mimalloc prodcons 16:64 t=32 rep=2  11:56:41
  snmalloc prodcons 16:64 t=32 rep=2  11:56:45
  scudo prodcons 16:64 t=32 rep=2  11:56:49
  rpmalloc prodcons 16:64 t=32 rep=2  11:57:01
  libc prodcons 16:64 t=64 rep=1  11:57:06
  umem prodcons 16:64 t=64 rep=1  11:57:13
  umem@null prodcons 16:64 t=64 rep=1  11:57:20
  umem-preload prodcons 16:64 t=64 rep=1  11:57:28
  umem-preload@null prodcons 16:64 t=64 rep=1  11:57:35
  jemalloc prodcons 16:64 t=64 rep=1  11:57:43
  tcmalloc prodcons 16:64 t=64 rep=1  11:57:50
  mimalloc prodcons 16:64 t=64 rep=1  11:57:57
  snmalloc prodcons 16:64 t=64 rep=1  11:58:04
  scudo prodcons 16:64 t=64 rep=1  11:58:11
  rpmalloc prodcons 16:64 t=64 rep=1  11:58:23
  libc prodcons 16:64 t=64 rep=2  11:58:30
  umem prodcons 16:64 t=64 rep=2  11:58:37
  umem@null prodcons 16:64 t=64 rep=2  11:58:45
  umem-preload prodcons 16:64 t=64 rep=2  11:58:52
  umem-preload@null prodcons 16:64 t=64 rep=2  11:58:59
  jemalloc prodcons 16:64 t=64 rep=2  11:59:07
  tcmalloc prodcons 16:64 t=64 rep=2  11:59:14
  mimalloc prodcons 16:64 t=64 rep=2  11:59:22
  snmalloc prodcons 16:64 t=64 rep=2  11:59:29
  scudo prodcons 16:64 t=64 rep=2  11:59:35
  rpmalloc prodcons 16:64 t=64 rep=2  11:59:46
  libc prodcons 16:64 t=128 rep=1  11:59:53
  umem prodcons 16:64 t=128 rep=1  12:00:10
  umem@null prodcons 16:64 t=128 rep=1  12:00:29
  umem-preload prodcons 16:64 t=128 rep=1  12:00:43
  umem-preload@null prodcons 16:64 t=128 rep=1  12:01:01
  jemalloc prodcons 16:64 t=128 rep=1  12:01:18
  tcmalloc prodcons 16:64 t=128 rep=1  12:01:39
  mimalloc prodcons 16:64 t=128 rep=1  12:02:03
  snmalloc prodcons 16:64 t=128 rep=1  12:02:44
  scudo prodcons 16:64 t=128 rep=1  12:03:04
  rpmalloc prodcons 16:64 t=128 rep=1  12:03:35
  libc prodcons 16:64 t=128 rep=2  12:03:58
  umem prodcons 16:64 t=128 rep=2  12:04:17
  umem@null prodcons 16:64 t=128 rep=2  12:04:40
  umem-preload prodcons 16:64 t=128 rep=2  12:05:05
  umem-preload@null prodcons 16:64 t=128 rep=2  12:05:32
  jemalloc prodcons 16:64 t=128 rep=2  12:05:50
  tcmalloc prodcons 16:64 t=128 rep=2  12:06:13
  mimalloc prodcons 16:64 t=128 rep=2  12:06:37
  snmalloc prodcons 16:64 t=128 rep=2  12:07:16
  scudo prodcons 16:64 t=128 rep=2  12:07:32
  rpmalloc prodcons 16:64 t=128 rep=2  12:08:03
  libc prodcons 16:64 t=192 rep=1  12:08:30
  umem prodcons 16:64 t=192 rep=1  12:09:02
  umem@null prodcons 16:64 t=192 rep=1  12:09:47
  umem-preload prodcons 16:64 t=192 rep=1  12:10:31
  umem-preload@null prodcons 16:64 t=192 rep=1  12:11:09
  jemalloc prodcons 16:64 t=192 rep=1  12:11:57
  tcmalloc prodcons 16:64 t=192 rep=1  12:12:28
  mimalloc prodcons 16:64 t=192 rep=1  12:13:03
  snmalloc prodcons 16:64 t=192 rep=1  12:13:33
  scudo prodcons 16:64 t=192 rep=1  12:14:08
  rpmalloc prodcons 16:64 t=192 rep=1  12:14:51
  libc prodcons 16:64 t=192 rep=2  12:15:28
  umem prodcons 16:64 t=192 rep=2  12:16:01
  umem@null prodcons 16:64 t=192 rep=2  12:16:40
  umem-preload prodcons 16:64 t=192 rep=2  12:17:20
  umem-preload@null prodcons 16:64 t=192 rep=2  12:18:08
  jemalloc prodcons 16:64 t=192 rep=2  12:18:51
  tcmalloc prodcons 16:64 t=192 rep=2  12:19:24
  mimalloc prodcons 16:64 t=192 rep=2  12:20:03
  snmalloc prodcons 16:64 t=192 rep=2  12:20:41
  scudo prodcons 16:64 t=192 rep=2  12:21:15
  rpmalloc prodcons 16:64 t=192 rep=2  12:21:57
  libc prodcons 64:256 t=1 rep=1  12:22:33
  umem prodcons 64:256 t=1 rep=1  12:22:45
  umem@null prodcons 64:256 t=1 rep=1  12:22:59
  umem-preload prodcons 64:256 t=1 rep=1  12:23:13
  umem-preload@null prodcons 64:256 t=1 rep=1  12:23:28
  jemalloc prodcons 64:256 t=1 rep=1  12:23:43
  tcmalloc prodcons 64:256 t=1 rep=1  12:23:55
  mimalloc prodcons 64:256 t=1 rep=1  12:24:08
  snmalloc prodcons 64:256 t=1 rep=1  12:24:19
  scudo prodcons 64:256 t=1 rep=1  12:24:31
  rpmalloc prodcons 64:256 t=1 rep=1  12:24:45
  libc prodcons 64:256 t=1 rep=2  12:24:57
  umem prodcons 64:256 t=1 rep=2  12:25:09
  umem@null prodcons 64:256 t=1 rep=2  12:25:22
  umem-preload prodcons 64:256 t=1 rep=2  12:25:36
  umem-preload@null prodcons 64:256 t=1 rep=2  12:25:50
  jemalloc prodcons 64:256 t=1 rep=2  12:26:04
  tcmalloc prodcons 64:256 t=1 rep=2  12:26:16
  mimalloc prodcons 64:256 t=1 rep=2  12:26:29
  snmalloc prodcons 64:256 t=1 rep=2  12:26:40
  scudo prodcons 64:256 t=1 rep=2  12:26:52
  rpmalloc prodcons 64:256 t=1 rep=2  12:27:06
  libc prodcons 64:256 t=8 rep=1  12:27:18
  umem prodcons 64:256 t=8 rep=1  12:27:26
  umem@null prodcons 64:256 t=8 rep=1  12:27:35
  umem-preload prodcons 64:256 t=8 rep=1  12:27:44
  umem-preload@null prodcons 64:256 t=8 rep=1  12:27:52
  jemalloc prodcons 64:256 t=8 rep=1  12:28:00
  tcmalloc prodcons 64:256 t=8 rep=1  12:28:09
  mimalloc prodcons 64:256 t=8 rep=1  12:28:13
  snmalloc prodcons 64:256 t=8 rep=1  12:28:21
  scudo prodcons 64:256 t=8 rep=1  12:28:26
  rpmalloc prodcons 64:256 t=8 rep=1  12:28:37
  libc prodcons 64:256 t=8 rep=2  12:28:43
  umem prodcons 64:256 t=8 rep=2  12:28:50
  umem@null prodcons 64:256 t=8 rep=2  12:28:58
  umem-preload prodcons 64:256 t=8 rep=2  12:29:05
  umem-preload@null prodcons 64:256 t=8 rep=2  12:29:12
  jemalloc prodcons 64:256 t=8 rep=2  12:29:19
  tcmalloc prodcons 64:256 t=8 rep=2  12:29:26
  mimalloc prodcons 64:256 t=8 rep=2  12:29:31
  snmalloc prodcons 64:256 t=8 rep=2  12:29:38
  scudo prodcons 64:256 t=8 rep=2  12:29:46
  rpmalloc prodcons 64:256 t=8 rep=2  12:29:56
  libc prodcons 64:256 t=32 rep=1  12:30:02
  umem prodcons 64:256 t=32 rep=1  12:30:07
  umem@null prodcons 64:256 t=32 rep=1  12:30:13
  umem-preload prodcons 64:256 t=32 rep=1  12:30:19
  umem-preload@null prodcons 64:256 t=32 rep=1  12:30:24
  jemalloc prodcons 64:256 t=32 rep=1  12:30:30
  tcmalloc prodcons 64:256 t=32 rep=1  12:30:35
  mimalloc prodcons 64:256 t=32 rep=1  12:30:40
  snmalloc prodcons 64:256 t=32 rep=1  12:30:44
  scudo prodcons 64:256 t=32 rep=1  12:30:48
  rpmalloc prodcons 64:256 t=32 rep=1  12:30:59
  libc prodcons 64:256 t=32 rep=2  12:31:04
  umem prodcons 64:256 t=32 rep=2  12:31:09
  umem@null prodcons 64:256 t=32 rep=2  12:31:14
  umem-preload prodcons 64:256 t=32 rep=2  12:31:20
  umem-preload@null prodcons 64:256 t=32 rep=2  12:31:26
  jemalloc prodcons 64:256 t=32 rep=2  12:31:32
  tcmalloc prodcons 64:256 t=32 rep=2  12:31:36
  mimalloc prodcons 64:256 t=32 rep=2  12:31:41
  snmalloc prodcons 64:256 t=32 rep=2  12:31:45
  scudo prodcons 64:256 t=32 rep=2  12:31:50
  rpmalloc prodcons 64:256 t=32 rep=2  12:32:02
  libc prodcons 64:256 t=64 rep=1  12:32:06
  umem prodcons 64:256 t=64 rep=1  12:32:14
  umem@null prodcons 64:256 t=64 rep=1  12:32:21
  umem-preload prodcons 64:256 t=64 rep=1  12:32:29
  umem-preload@null prodcons 64:256 t=64 rep=1  12:32:37
  jemalloc prodcons 64:256 t=64 rep=1  12:32:45
  tcmalloc prodcons 64:256 t=64 rep=1  12:32:52
  mimalloc prodcons 64:256 t=64 rep=1  12:32:59
  snmalloc prodcons 64:256 t=64 rep=1  12:33:06
  scudo prodcons 64:256 t=64 rep=1  12:33:13
  rpmalloc prodcons 64:256 t=64 rep=1  12:33:24
  libc prodcons 64:256 t=64 rep=2  12:33:31
  umem prodcons 64:256 t=64 rep=2  12:33:38
  umem@null prodcons 64:256 t=64 rep=2  12:33:46
  umem-preload prodcons 64:256 t=64 rep=2  12:33:54
  umem-preload@null prodcons 64:256 t=64 rep=2  12:34:02
  jemalloc prodcons 64:256 t=64 rep=2  12:34:10
  tcmalloc prodcons 64:256 t=64 rep=2  12:34:17
  mimalloc prodcons 64:256 t=64 rep=2  12:34:25
  snmalloc prodcons 64:256 t=64 rep=2  12:34:32
  scudo prodcons 64:256 t=64 rep=2  12:34:39
  rpmalloc prodcons 64:256 t=64 rep=2  12:34:51
  libc prodcons 64:256 t=128 rep=1  12:34:58
  umem prodcons 64:256 t=128 rep=1  12:35:12
  umem@null prodcons 64:256 t=128 rep=1  12:35:38
  umem-preload prodcons 64:256 t=128 rep=1  12:36:07
  umem-preload@null prodcons 64:256 t=128 rep=1  12:36:35
  jemalloc prodcons 64:256 t=128 rep=1  12:37:01
  tcmalloc prodcons 64:256 t=128 rep=1  12:37:20
  mimalloc prodcons 64:256 t=128 rep=1  12:37:36
  snmalloc prodcons 64:256 t=128 rep=1  12:38:14
  scudo prodcons 64:256 t=128 rep=1  12:38:28
  rpmalloc prodcons 64:256 t=128 rep=1  12:39:03
  libc prodcons 64:256 t=128 rep=2  12:39:25
  umem prodcons 64:256 t=128 rep=2  12:39:39
  umem@null prodcons 64:256 t=128 rep=2  12:40:05
  umem-preload prodcons 64:256 t=128 rep=2  12:40:35
  umem-preload@null prodcons 64:256 t=128 rep=2  12:41:04
  jemalloc prodcons 64:256 t=128 rep=2  12:41:28
  tcmalloc prodcons 64:256 t=128 rep=2  12:41:49
  mimalloc prodcons 64:256 t=128 rep=2  12:42:06
  snmalloc prodcons 64:256 t=128 rep=2  12:42:39
  scudo prodcons 64:256 t=128 rep=2  12:42:57
  rpmalloc prodcons 64:256 t=128 rep=2  12:43:31
  libc prodcons 64:256 t=192 rep=1  12:43:54
  umem prodcons 64:256 t=192 rep=1  12:44:33
  umem@null prodcons 64:256 t=192 rep=1  12:45:16
  umem-preload prodcons 64:256 t=192 rep=1  12:46:02
  umem-preload@null prodcons 64:256 t=192 rep=1  12:46:42
  jemalloc prodcons 64:256 t=192 rep=1  12:47:23
  tcmalloc prodcons 64:256 t=192 rep=1  12:47:51
  mimalloc prodcons 64:256 t=192 rep=1  12:48:24
  snmalloc prodcons 64:256 t=192 rep=1  12:48:53
  scudo prodcons 64:256 t=192 rep=1  12:49:25
  rpmalloc prodcons 64:256 t=192 rep=1  12:50:08
  libc prodcons 64:256 t=192 rep=2  12:50:43
  umem prodcons 64:256 t=192 rep=2  12:51:24
  umem@null prodcons 64:256 t=192 rep=2  12:52:08
  umem-preload prodcons 64:256 t=192 rep=2  12:52:50
  umem-preload@null prodcons 64:256 t=192 rep=2  12:53:38
  jemalloc prodcons 64:256 t=192 rep=2  12:54:19
  tcmalloc prodcons 64:256 t=192 rep=2  12:54:41
  mimalloc prodcons 64:256 t=192 rep=2  12:55:19
  snmalloc prodcons 64:256 t=192 rep=2  12:55:57
  scudo prodcons 64:256 t=192 rep=2  12:56:32
  rpmalloc prodcons 64:256 t=192 rep=2  12:57:17
  libc prodcons 256:1024 t=1 rep=1  12:57:52
  umem prodcons 256:1024 t=1 rep=1  12:58:04
  umem@null prodcons 256:1024 t=1 rep=1  12:58:17
  umem-preload prodcons 256:1024 t=1 rep=1  12:58:30
  umem-preload@null prodcons 256:1024 t=1 rep=1  12:58:43
  jemalloc prodcons 256:1024 t=1 rep=1  12:58:56
  tcmalloc prodcons 256:1024 t=1 rep=1  12:59:10
  mimalloc prodcons 256:1024 t=1 rep=1  12:59:22
  snmalloc prodcons 256:1024 t=1 rep=1  12:59:35
  scudo prodcons 256:1024 t=1 rep=1  12:59:47
  rpmalloc prodcons 256:1024 t=1 rep=1  13:00:05
  libc prodcons 256:1024 t=1 rep=2  13:00:21
  umem prodcons 256:1024 t=1 rep=2  13:00:34
  umem@null prodcons 256:1024 t=1 rep=2  13:00:46
  umem-preload prodcons 256:1024 t=1 rep=2  13:00:59
  umem-preload@null prodcons 256:1024 t=1 rep=2  13:01:12
  jemalloc prodcons 256:1024 t=1 rep=2  13:01:25
  tcmalloc prodcons 256:1024 t=1 rep=2  13:01:39
  mimalloc prodcons 256:1024 t=1 rep=2  13:01:51
  snmalloc prodcons 256:1024 t=1 rep=2  13:02:04
  scudo prodcons 256:1024 t=1 rep=2  13:02:16
  rpmalloc prodcons 256:1024 t=1 rep=2  13:02:34
  libc prodcons 256:1024 t=8 rep=1  13:02:50
